date,year,month,day,source,is_event_day,is_grand_opening,kamata7_diff,kamata7_weekday_strategy,kamata7_full_half,kamata1_diff,kamata1_weekday_strategy,kamata1_full_half,kamata7_content,kamata1_content
20260106,2026,1,6,poco,0,0,162300.0,火曜日→角◯：2Fモンキー側→角9、2F北斗転生側→角5、2Fノーマル機→角3、3Fヴヴヴ2側AT機→角10、3Fヴヴヴ2側ノーマル機→角6、3F東京喰種側AT機→角3、3F東京喰種側ノーマル機→角7,鉄拳6、ななつま,,火曜日→角◯→ジャグラー角6、その他機種角10,東リベ,火曜日→角◯：2Fモンキー側→角9、2F北斗転生側→角5、2Fノーマル機→角3、3Fヴヴヴ2側AT機→角10、3Fヴヴヴ2側ノーマル機→角6、3F東京喰種側AT機→角3、3F東京喰種側ノーマル機→角7、全→鉄拳6、ななつま,火曜日→角◯→ジャグラー角6、その他機種角10、全→東リベ
20260107,2026,1,7,poco,1,0,249600.0,,鉄拳6、戦国乙女、初代ヴヴヴ、ガルパン,69500.0,,東リベ、戦国乙女、DMC,全→鉄拳6、戦国乙女、初代ヴヴヴ、ガルパン,全→東リベ、戦国乙女、DMC
20260108,2026,1,8,poco,0,0,97300.0,木曜日→他の曜日仕掛けのいずれかが発動→角◯：2Fモンキー側AT機→角8、2F北斗転生側AT機→角3、2Fノーマル機→角4、3Fヴヴヴ2側AT機→角5、3F東京喰種側AT機→角2、3Fノーマル機→角9,鉄拳6,,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角1、その他機種→角8,スタアライト,木曜日→他の曜日仕掛けのいずれかが発動→角◯：2Fモンキー側AT機→角8、2F北斗転生側AT機→角3、2Fノーマル機→角4、3Fヴヴヴ2側AT機→角5、3F東京喰種側AT機→角2、3Fノーマル機→角9、全→鉄拳6,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角1、その他機種→角8、全→スタアライト
20260109,2026,1,9,poco,0,0,57500.0,金曜日→列イチ以上,シャーマン、ダリフラ,79300.0,金曜日→列イチ以上,ToLOVEる、秘宝伝、DMC,金曜日→列イチ以上、全→シャーマン、ダリフラ,金曜日→列イチ以上、全→ToLOVEる、秘宝伝、DMC
20260110,2026,1,10,poco,0,0,174700.0,土曜日→3台並び→末尾2絡み,鉄拳6、旧北斗、L炎炎,6000.0,土曜日→3台並び→末尾3絡み,新鬼武者3,土曜日→3台並び→末尾2絡み、全→鉄拳6、旧北斗、L炎炎,土曜日→3台並び→末尾3絡み、全→新鬼武者3
20260111,2026,1,11,poco,1,0,115000.0,,鉄拳6、3台以下設置機種,86300.0,,旧北斗、東リベ、クレアBT、エヴァBTなど,全→鉄拳6、3台以下設置機種,全→旧北斗、東リベ、バラエティBOX(クレアBT、エヴァBTなど)
20260112,2026,1,12,poco,0,0,,月曜日→列全仕掛け：モンキー(2041-2052番台),鉄拳6,,月曜日→列全仕掛け：キンハナ〜ドラハナ(2317-2330番台),キンハナ、ドラハナ,月曜日→列全仕掛け：モンキー(2041-2052番台)、全→鉄拳6,月曜日→列全仕掛け：キンハナ〜ドラハナ(2317-2330番台)、全→キンハナ、ドラハナ
20260113,2026,1,13,poco,0,0,,火曜日→角◯：列ごとに角1、角2、角3、、、とスライド,不明,62000.0,火曜日→角◯→ジャグラー角4、その他機種角3,銭形5,火曜日→角◯：列ごとに角1、角2、角3、、、とスライド、全→不明,火曜日→角◯→ジャグラー角4、その他機種角3、全→銭形5
20260114,2026,1,14,poco,0,0,136000.0,水曜日→末尾：2Fモンキー側→末尾1、2F北斗転生側→末尾0、3Fヴヴヴ2側→末尾6、3F東京喰種側→末尾2,超電磁砲2、エヴァBT、吉宗、スタアライト、ウルミラ,26300.0,水曜日→末尾→ジャグラー末尾0、その他機種末尾8,ToLOVEる,水曜日→末尾：2Fモンキー側→末尾1、2F北斗転生側→末尾0、3Fヴヴヴ2側→末尾6、3F東京喰種側→末尾2、全→超電磁砲2、エヴァBT、吉宗、スタアライト、ウルミラ,水曜日→末尾→ジャグラー末尾0、その他機種末尾8、全→ToLOVEる
20260115,2026,1,15,poco,0,0,119400.0,木曜日→他の曜日仕掛けのいずれかが発動→機種イチ,ヴヴヴ、ToLOVEる、シャーマン、グランベルム,20500.0,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角8、その他機種→角10,秘宝伝,木曜日→他の曜日仕掛けのいずれかが発動→機種イチ、全→ヴヴヴ、ToLOVEる、シャーマン、グランベルム,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角8、その他機種→角10、全→秘宝伝
