poco_machine,mapped_name,status,db_match
1列ピックアップ→ハナ横の壁1列,,NOT FOUND,
1台設置機種,,NOT FOUND,
3台以下設置機種,,NOT FOUND,
3台設置機種,,NOT FOUND,
DMC,デビル メイ クライ5 スタイリッシュトライブ,FOUND,デビル メイ クライ5 スタイリッシュトライブ
GE,ゴッドイーター,FOUND,ゴッドイーター
L炎炎,炎炎ノ消防隊,FOUND,炎炎ノ消防隊
SAO,ソードアート・オンライン,FOUND,ソードアート・オンライン
SAO？スタアライト？,[DELETE - 重複/曖昧],DELETE,[DELETE - 重複/曖昧]
SBJ,スーパーブラックジャック,FOUND,スーパーブラックジャック
Sこのすば,Sこの素晴らしい世界に祝福を！,FOUND,Sこの素晴らしい世界に祝福を！
S炎炎,炎炎ノ消防隊,FOUND,炎炎ノ消防隊
ToLOVEる,ToLOVEるダークネス TRANCE ver.8.7 | ToLOVEるダークネス,PARTIAL,ToLOVEるダークネス TRANCE ver.8.7 | ToLOVEるダークネス
いざ審判,いざ！番長,FOUND,いざ！番長
かぐや様,かぐや様は告らせたい,PARTIAL,かぐや様は告らせたい
からくり,からくりサーカス,FOUND,からくりサーカス
ななつま,7つの魔剣,FOUND,7つの魔剣
わた婚,わたしの幸せな結婚,FOUND,わたしの幸せな結婚
アズレン,アズールレーン,FOUND,アズールレーン
アレックス,アレックス ブライト,PARTIAL,アレックス ブライト
ウルミラ,ウルトラミラクルジャグラー,FOUND,ウルトラミラクルジャグラー
エウレカART,パチスロ交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,FOUND,パチスロ交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART
エヴァBT,LBパチスロ ヱヴァンゲリヲン ～約束の扉～,FOUND,LBパチスロ ヱヴァンゲリヲン ～約束の扉～
エヴァBTなど),[DELETE - OCRエラー],DELETE,[DELETE - OCRエラー]
カバネリ,甲鉄城のカバネリ | 甲鉄城のカバネリ 海門(うなと)決戦,PARTIAL,甲鉄城のカバネリ | 甲鉄城のカバネリ 海門(うなと)決戦
ガルパン,ガールズ&パンツァー,FOUND,ガールズ&パンツァー
ガールズ,ガールズ&パンツァー 最終章 | ジャグラーガールズ,PARTIAL,ガールズ&パンツァー 最終章 | ジャグラーガールズ
キンハナ,キングハナハナ,FOUND,キングハナハナ
ギルクラ2,ギルティクラウン2,FOUND,ギルティクラウン2
ククリ,クランキークレスト,FOUND,クランキークレスト
クレアBT,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガー,FOUND,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガー
グラレ,クランキークレスト,FOUND,クランキークレスト
グランベルム,グランベルム,OK,グランベルム
ゴッドイーター,ゴッドイーター リザレクション,PARTIAL,ゴッドイーター リザレクション
ゴージャグ,ゴーゴージャグラー3,PARTIAL,ゴーゴージャグラー3
シェイクBT,SHAKE BONUS TRIGGER,FOUND,SHAKE BONUS TRIGGER
シャーマン,シャーマンキング,PARTIAL,シャーマンキング
シャーマンキング,シャーマンキング,OK,シャーマンキング
スタアライト,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,FOUND,少女☆歌劇 レヴュースタァライト ‐The SLOT‐
スタアライト？,,NOT FOUND,
