poco_machine,category,db_match,action_needed
1列ピックアップ→ハナ横の壁1列,NOT FOUND,,USER_CLARIFICATION
1台設置機種,NOT FOUND,,USER_CLARIFICATION
3台以下設置機種,NOT FOUND,,USER_CLARIFICATION
3台設置機種,NOT FOUND,,USER_CLARIFICATION
GE,PARTIAL,SHAKE BONUS TRIGGER,CONFIRM_DB_MATCH
SAO？スタアライト？,NOT FOUND,,USER_CLARIFICATION
Sこのすば,NOT FOUND,,USER_CLARIFICATION
ToLOVEる,PARTIAL,ToLOVEるダークネス TRANCE ver.8.7 | ToLOVEるダークネス,CONFIRM_DB_MATCH
いざ審判,NOT FOUND,,USER_CLARIFICATION
かぐや様,PARTIAL,かぐや様は告らせたい,CONFIRM_DB_MATCH
ななつま,NOT FOUND,,USER_CLARIFICATION
わた婚,NOT FOUND,,USER_CLARIFICATION
アズレン,NOT FOUND,,USER_CLARIFICATION
アレックス,PARTIAL,アレックス ブライト,CONFIRM_DB_MATCH
ウルミラ,NOT FOUND,,USER_CLARIFICATION
エウレカART,NOT FOUND,,USER_CLARIFICATION
エヴァBT,NOT FOUND,,USER_CLARIFICATION
エヴァBTなど),NOT FOUND,,USER_CLARIFICATION
カバネリ,PARTIAL,甲鉄城のカバネリ | 甲鉄城のカバネリ 海門(うなと)決戦,CONFIRM_DB_MATCH
ガールズ,PARTIAL,ガールズ&パンツァー 最終章 | ジャグラーガールズ,CONFIRM_DB_MATCH
ククリ,NOT FOUND,,USER_CLARIFICATION
クレアBT,NOT FOUND,,USER_CLARIFICATION
グラレ,NOT FOUND,,USER_CLARIFICATION
グランベルム,OK,グランベルム,ADD_DIRECTLY
ゴッドイーター,PARTIAL,ゴッドイーター リザレクション,CONFIRM_DB_MATCH
ゴージャグ,PARTIAL,ゴーゴージャグラー3,CONFIRM_DB_MATCH
シャーマン,PARTIAL,シャーマンキング,CONFIRM_DB_MATCH
シャーマンキング,OK,シャーマンキング,ADD_DIRECTLY
スタアライト？,NOT FOUND,,USER_CLARIFICATION
ニブ→東京喰種,PARTIAL,東京喰種,CONFIRM_DB_MATCH
ハッピー,PARTIAL,ハッピージャグラーVIII,CONFIRM_DB_MATCH
ハーレム,PARTIAL,翔べ！ハーレムエース | LB翔べ!ハーレムエースCF,CONFIRM_DB_MATCH
バラエティBOX(クレアBT,NOT FOUND,,USER_CLARIFICATION
ファンキー,PARTIAL,ファンキージャグラー2,CONFIRM_DB_MATCH
プリズムナナ,OK,プリズムナナ,ADD_DIRECTLY
マイジャグ,PARTIAL,マイジャグラーV,CONFIRM_DB_MATCH
ミスター,PARTIAL,ミスタージャグラー,CONFIRM_DB_MATCH
ミラクル,PARTIAL,ウルトラミラクルジャグラー,CONFIRM_DB_MATCH
モンキー,PARTIAL,モンキーターンV,CONFIRM_DB_MATCH
ルパン,PARTIAL,ルパン三世 大航海者の秘宝,CONFIRM_DB_MATCH
ヴァルヴレイヴ,PARTIAL,革命機ヴァルヴレイヴ | 革命機ヴァルヴレイヴ2,CONFIRM_DB_MATCH
ヴヴヴ,NOT FOUND,,USER_CLARIFICATION
ヴヴヴ2？からくり？,NOT FOUND,,USER_CLARIFICATION
一騎当千,PARTIAL,真・一騎当千,CONFIRM_DB_MATCH
不明,NOT FOUND,,USER_CLARIFICATION
乙女,PARTIAL,戦国乙女4 戦乱に閃く炯眼の軍師,CONFIRM_DB_MATCH
乾潮,NOT FOUND,,USER_CLARIFICATION
仕掛け→ヴヴヴ2,NOT FOUND,,USER_CLARIFICATION
仕掛け→末尾1,NOT FOUND,,USER_CLARIFICATION
仕掛け→末尾7,NOT FOUND,,USER_CLARIFICATION
仕掛け→末尾ゾロ目,NOT FOUND,,USER_CLARIFICATION
他多数,NOT FOUND,,USER_CLARIFICATION
全台系,NOT FOUND,,USER_CLARIFICATION
化物語,OK,化物語,ADD_DIRECTLY
北斗,PARTIAL,スマスロ北斗の拳 | 北斗の拳 転生の章2,CONFIRM_DB_MATCH
吉宗,OK,吉宗,ADD_DIRECTLY
咲,PARTIAL,咲‐Saki‐ 頂上決戦,CONFIRM_DB_MATCH
喰種,PARTIAL,東京喰種,CONFIRM_DB_MATCH
天膳,PARTIAL,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,CONFIRM_DB_MATCH
戦国乙女？,NOT FOUND,,USER_CLARIFICATION
新鬼武者3,OK,新鬼武者3,ADD_DIRECTLY
東京喰種,OK,東京喰種,ADD_DIRECTLY
炎炎,PARTIAL,スマスロ炎炎ノ消防隊 | スマスロ炎炎ノ消防隊2,CONFIRM_DB_MATCH
番長4,PARTIAL,押忍！番長4,CONFIRM_DB_MATCH
番長ZERO,PARTIAL,押忍!番長ZERO,CONFIRM_DB_MATCH
秘宝伝,PARTIAL,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver. | スマスロ秘宝伝,CONFIRM_DB_MATCH
貫通→戦国乙女,NOT FOUND,,USER_CLARIFICATION
超電磁砲2,PARTIAL,とある科学の超電磁砲2,CONFIRM_DB_MATCH
鉄拳6,OK,鉄拳6,ADD_DIRECTLY
銭形5,PARTIAL,主役は銭形5,CONFIRM_DB_MATCH
鏡,PARTIAL,HEY！エリートサラリーマン鏡,CONFIRM_DB_MATCH
高配分→ヴヴヴ,NOT FOUND,,USER_CLARIFICATION
麻雀格闘,PARTIAL,麻雀格闘倶楽部 覚醒,CONFIRM_DB_MATCH
麻雀物語,PARTIAL,L麻雀物語,CONFIRM_DB_MATCH
