poco_machine,mapped_name,category,db_match
緋弾ドン,[要確認：緋弾のアリア複合],UNCONFIRMED,
沖ドキBLACK,沖ドキ！BLACK,NOT IN DB,[店舗データなし]
末尾ルーレット,[原文確認],UNCONFIRMED,
平和オリンピア,[メーカー名・原文確認],UNCONFIRMED,
吠,[原文確認],UNCONFIRMED,
テラフォーマーズ,[原文確認],UNCONFIRMED,
