date,year,month,day,kamata7_diff,kamata7_content,kamata1_diff,kamata1_content
20250707,2025,7,7,1857400.0,全機種全台,156900.0,東日本合同→北斗、全→マイジャグ、鏡、ハーレム、スタアライト
20250708,2025,7,8,541700.0,グランド2日目→角2、発表→3〜7台設置機種,112400.0,メガグランド2日目→角2、発表→ヴヴヴ、モンキーロング島
20250709,2025,7,9,735900.0,グランド3日目→末尾3、発表→3にまつわる機種(3台設置、ゴージャグ3、キンハナ30等多数),201900.0,メガグランド3日目→末尾3、発表→ヴヴヴ、カバネリ、ToLOVEる、戦国乙女
20250710,2025,7,10,621000.0,グランド4日目→角4、発表→4にまつわる機種(戦国乙女4、番長4),70200.0,メガグランド4日目→角4、発表→ギルクラ2
20250711,2025,7,11,435200.0,貫通→吉宗、発表→モンハンライズ,133900.0,貫通→吉宗、発表→SBJ、戦国乙女、ハーレム、モンキーロング島
20250712,2025,7,12,640800.0,グランド6日目→末尾6単品・3台並び、発表→マギレコ,41100.0,メガグランド6日目→末尾6単品・3台並び、発表→防振り、SAO、番長ZERO
20250713,2025,7,13,319300.0,日曜日→機種イチ以上、発表→東京喰種,160300.0,日曜日→機種イチ以上、発表→ToLOVEる、戦国乙女、麻雀物語、ルパン、鏡、ミラクル
20250714,2025,7,14,466500.0,月曜日→列全仕掛け：エヴァ約束(2179-2186)、発表→8にまつわる機種(8台設置、ハッピーVIII、マジハロ8),66300.0,月曜日→列全仕掛け：モンキー(2167-2176)、吉宗・ヴヴヴ(2110-2120)
20250715,2025,7,15,390900.0,火曜日→角◯→角4、貫通→麻雀物語、メガ仕掛け→4台設置機種,53300.0,火曜日→角◯→角4、貫通→麻雀物語
20250716,2025,7,16,206300.0,水曜日→末尾→ニブイチ末尾1と7、メガ仕掛け→17台設置(GE、吉宗),18600.0,水曜日→末尾→ニブイチ末尾1と7
20250717,2025,7,17,404100.0,発表→ファンキー、3台以下設置機種,30200.0,発表→からくり、ToLOVEる、戦国乙女
20250718,2025,7,18,256500.0,金曜日→列イチ以上、発表→バイオ5、番長4,49600.0,金曜日→列イチ以上、発表→S炎炎
20250719,2025,7,19,160100.0,土曜日→3台並び→ジャグ末尾3、AT末尾8,33500.0,土曜日→3台並び→ジャグ末尾3、AT末尾8、合同機種→東京喰種
20250720,2025,7,20,427400.0,日曜日→機種イチ以上、発表→マイジャグ,,日曜日→機種イチ以上、発表→バイオ5
20250721,2025,7,21,466400.0,発表→マイジャグ、北斗,105400.0,発表→キンハナ、戦国乙女、バイオRE2
20250722,2025,7,22,321600.0,発表→ToLOVEる、SBJ、ハッピー、2台設置機種,48200.0,ゾロ目→3台並び→ジャグ末尾3、AT末尾9、発表→戦国乙女、スタアライト、SAO
20250723,2025,7,23,244200.0,水曜日→末尾→末尾5(発表は末尾1も)、バロマー8→8台設置機種,40100.0,水曜日→末尾→ジャグ末尾6、AT末尾5
20250724,2025,7,24,229500.0,木曜日→その他曜日仕掛け→角10、発表→10台設置機種,29600.0,木曜日→その他曜日仕掛け→角6、発表→番長ZERO
20250725,2025,7,25,211300.0,金曜日→列イチ以上、発表→平和オリンピア全、モンキー高配分,134600.0,金曜日→列イチ以上、発表→ゴージャグ、ヴヴヴ、防振り
20250726,2025,7,26,329600.0,土曜日→3台並び→ジャグ末尾3、AT末尾7、発表→マギレコ,13200.0,土曜日→3台並び→ジャグ末尾5、AT末尾9、発表→ギルティクラウン2
20250727,2025,7,27,354800.0,発表→ファンキー、ガールズ、SBJ、バイオ5、ななつま、麻雀物語、ガルパン、クランキー,170500.0,発表→マギレコ
20250728,2025,7,28,142400.0,月曜日→列全仕掛け：乙女・バイオ5(2053-)、ななつま(2165-)、SAO・SBJ(2298-)、からくり(3088-)、東京喰種(3209-)、他多数,,月曜日→列全仕掛け：吉宗・ヴヴヴ(2110-2120)、ルパン・ガルパン・ToLOVEる(2203-2212)
20250729,2025,7,29,193600.0,火曜日→角◯→角7、発表→カバネリ、シャーマン、ガールズ、クランキー,,火曜日→角◯→角10
20250730,2025,7,30,173900.0,貫通→ハッピー、発表→アイム、バイオ5、エウレカ、ハイパーラッシュ、ゾンサガ等,71800.0,貫通→ハッピー、発表→ヴヴヴ、SAO
20250731,2025,7,31,445400.0,発表→かぐや様、番長4、ディスク2、エウレカ、防振り、一騎当千、ラブ嬢3、カイジ等,72800.0,発表→DMC5、スタアライト、麻雀物語
20250801,2025,8,1,383900.0,貫通→北斗,211800.0,貫通→北斗、全→バイオ5、麻雀物語
20250802,2025,8,2,327000.0,土曜日→3台並び：ジャグ末尾7絡み、AT末尾1絡み、全→SBJ,35400.0,土曜日→3台並び：ジャグ末尾3絡み、AT末尾0絡み、全→戦国乙女
20250803,2025,8,3,344700.0,日曜日→機種イチ以上、貫通→戦国乙女、全→ゴージャグ、ななつま、Sこのすば,6800.0,日曜日→機種イチ以上、貫通→戦国乙女
20250804,2025,8,4,264800.0,月曜日→列全仕掛け：乙女(2001-)、番長4・モンキー(2102-)、北斗(2230-)、吉宗(3043-)、貫通→乙女、全→番長4,60100.0,月曜日→列全仕掛け、全→ミスター、貫通→戦国乙女
20250805,2025,8,5,400000.0,火曜日→角◯→角5、全→戦国乙女、番長4,19500.0,火曜日→角◯→角9、全→ルパン
20250806,2025,8,6,297600.0,水曜日→末尾：ニブイチ末尾1・8、全→バイオ5、わた婚、SAO,35600.0,水曜日→末尾：ジャグ末尾4、AT末尾9、全→ルパン
20250807,2025,8,7,328000.0,全→北斗、ななつま,45600.0,全→マギレコ、カバネリ
20250808,2025,8,8,283900.0,全→平和オリンピア,,全→バイオ5、番長ZERO
20250809,2025,8,9,217500.0,土曜日→3台並び：ジャグ末尾6絡み、AT末尾9絡み、全→からくり,117100.0,土曜日→3台並び：ジャグ末尾7絡み、AT末尾4絡み、全→からくり、喰種、ToLOVEる
20250810,2025,8,10,77200.0,日曜日→機種イチ以上、全→ガールズ、バイオ5、バイオRE2、ゾンサガ,68500.0,全→東京喰種、カバネリ
20250811,2025,8,11,269200.0,全→モンキー,,全→ToLOVEる
20250812,2025,8,12,204800.0,火曜日→角◯→ノーマル角1、AT角6、全→戦国乙女,,火曜日→角◯→角6
20250813,2025,8,13,138300.0,水曜日→末尾：ノーマル末尾0、AT末尾5、全→3台設置機種,,水曜日→末尾：ノーマル末尾2、AT末尾7、全→ギルクラ2
20250814,2025,8,14,117600.0,木曜日→他の曜日仕掛けのいずれかが発動→機種イチ以上、全→ファンキー,7700.0,木曜日→他の曜日仕掛けのいずれかが発動→ニブ以上、全→乙女、麻雀物語
20250815,2025,8,15,129800.0,金曜日→列イチ以上、全→ゴージャグ,,金曜日→列イチ以上
20250816,2025,8,16,250300.0,土曜日→3台並び：ノーマル末尾3絡み、AT末尾8絡み、全→デビルメイクライ5,,土曜日→3台並び：ノーマル末尾3絡み、AT末尾8絡み、全→S炎炎
20250817,2025,8,17,180800.0,全→バイオ5、わた婚、防振り、SAO、スタアライト、麻雀物語、カバネリ,,全→バイオ5、わた婚、防振り、SAO、スタアライト、麻雀物語、カバネリ
20250818,2025,8,18,189200.0,月曜日→列全仕掛け：番長4・モンキー(2102-)、北斗(2187-)、ハッピー・ミラクル(3295-)、全→番長4、ハッピー、ミラクル,,仕掛け不明
20250819,2025,8,19,115400.0,火曜日→角◯→ノーマル角8、AT角4、全→スタアライト,,仕掛け不明
20250820,2025,8,20,75300.0,水曜日→末尾：ノーマル末尾5、AT末尾8、全→SBJ,,仕掛け不明
20250821,2025,8,21,121600.0,全→ToLOVEる、エウレカART、番長ZERO,,仕掛け不明
20250822,2025,8,22,317300.0,全→モンハンライズ、SAO,,仕掛け不明
20250823,2025,8,23,161900.0,土曜日→3台並び：ノーマル末尾2絡み、AT末尾7絡み、全→ヴァルヴレイヴ,,仕掛け不明
20250824,2025,8,24,208500.0,日曜日→機種イチ以上、全→キンハナ,,仕掛け不明
20250825,2025,8,25,342200.0,月曜日→列全仕掛け：北斗(2230-)、からくり(3088-)、ToLOVEる(3250-)、全→ToLOVEる,,仕掛け不明
20250826,2025,8,26,163100.0,火曜日→角◯：ノーマル角3・7、AT角2・4、全→番長4、カバネリ、麻雀物語,,仕掛け不明
20250827,2025,8,27,249200.0,全→ハッピー,,仕掛け不明
20250828,2025,8,28,113700.0,木曜日→他の曜日仕掛けのいずれかが発動→機種イチ以上、全→カバネリ,,仕掛け不明
20250829,2025,8,29,94700.0,金曜日→列イチ以上、全→スタアライト,,仕掛け不明
20250830,2025,8,30,396900.0,全→ハッピー、スタアライト,,仕掛け不明
20250831,2025,8,31,226100.0,全→マイジャグ,,仕掛け不明
20250901,2025,9,1,,全→不明,225000.0,全→東京喰種、ヴヴヴ、ルパン、カバネリ、1台設置機種、仕掛け→末尾1
20250902,2025,9,2,103400.0,火曜日→角◯：ノーマル角7、AT角6、全→ハッピー,138000.0,火曜日→角◯→角2、全→ファンキー、吉宗、ギルクラ2、SAO、ハーレム、緋弾ドン
20250903,2025,9,3,222100.0,水曜日→末尾：ノーマル末尾5、AT末尾1と4、全→バイオ5,165900.0,水曜日→末尾：ノーマル末尾3、AT末尾3と9、全→ヴヴヴ、バイオ5、SAO
