variant,segment,event_type,n_days,mean_vs_other,ci_lower,ci_upper,se,wins,losses,win_pct,p_value_wilcoxon,p_value_sign,verdict,loo_min_mean,loo_max_mean,loo_sign_flips,loo_fragile,q_value_wilcoxon,q_value_sign
v6a_hit_an,2F_L_N,event,46,142.7095337873232,-2.400242273441593,288.39966605552644,73.9790725537345,27,19,58.7,0.07848859826958687,0.3019956131896606,ns,123.5095046854083,166.26331994645247,0,False,0.10465146435944916,0.35070458305896074
v6a_hit_an,2F_L_N,non_event,127,90.47206147424345,29.535020396546813,153.38734821174464,31.87006353151957,72,55,56.7,0.01654985412302352,0.15540010008390495,maybe,80.8626410403519,96.57099827882962,0,False,0.028289203317923162,0.25429107286457175
v6a_hit_an,2F_R_N,event,46,97.17286537454163,-66.50046817705606,263.8670082503928,84.56870838727401,25,21,54.3,0.515669967548348,0.6587380770236564,ns,57.4552878179384,119.58621151271751,0,False,0.515669967548348,0.6587380770236564
v6a_hit_an,2F_R_N,non_event,127,52.099895645574435,-20.50319585428328,125.60937885399866,37.51060267679608,67,60,52.8,0.2919249346741436,0.5946154859354927,ns,42.48403136354945,58.23135398737809,0,False,0.30909698965497556,0.6486714392023557
v6a_hit_an,3F_L_A,event,46,196.56809848088008,86.94385149292823,319.3208387899423,59.30180340239519,28,18,60.9,0.004955552600677038,0.18392482137699062,USEFUL,157.21084337349401,206.46733601070954,0,False,0.014866657802031114,0.2557144066979951
v6a_hit_an,3F_L_A,non_event,127,80.29480125225312,43.41990679252442,116.54278650033204,18.723998191255035,85,42,66.9,6.230966207035055e-05,0.0001700944782962523,USEFUL,75.6832568368713,84.31564352648692,0,False,0.0007477159448442066,0.0030617006093325416
v6a_hit_an,3F_L_N,event,46,-237.43281822943948,-389.17405382399164,-82.39811746987955,77.90588801131378,14,32,30.4,0.0019724583209494995,0.011351591436778108,WORSE,-267.37269076305216,-211.10923694779115,0,False,0.007100849955418198,0.03143517628646245
v6a_hit_an,3F_L_N,non_event,127,-44.761882174366775,-120.43525400815862,33.098591215254714,39.351932875837036,56,71,44.1,0.15086257476124568,0.2139651540354208,ns,-55.84538152610443,-36.57525339453052,0,False,0.1751952481098337,0.28528687204722775
v6a_hit_an,3F_R_A,event,46,122.18530644316394,11.830683603981152,261.09744630696684,63.895207928908654,27,19,58.7,0.11890162904620638,0.3019956131896606,ns,73.0028112449799,135.91593038821952,0,False,0.1476020222642562,0.35070458305896074
v6a_hit_an,3F_R_A,non_event,127,56.87524902760649,19.880837918603554,96.09388103595481,19.3781080781245,78,49,61.4,0.01120892573567277,0.012660684520477191,maybe,49.559906291834004,61.17766303308472,0,False,0.025630212300093547,0.03255604590979849
v6a_hit_an,3F_R_N,event,46,-195.4960712414877,-386.4195553954951,6.464015845992621,100.99185921666458,13,33,28.3,0.01727018216848819,0.004533861582189047,bad?,-238.34993306559574,-162.55609103078982,0,False,0.028289203317923162,0.01813544632875619
v6a_hit_an,3F_R_N,non_event,127,-146.39901337634,-237.00527582772034,-54.26279171805333,46.95510634973843,47,80,37.0,0.00043903650615222876,0.004330818115086325,WORSE,-159.09370816599733,-135.91704914897687,0,False,0.0026342190369133722,0.01813544632875619
v9b_blend_05,2F_L_N,event,46,153.41579360921946,8.994719093766353,299.5794427710843,74.23339901329369,25,21,54.3,0.07120234473441656,0.6587380770236564,ns,126.60910307898259,181.22195448460508,0,False,0.09858786193996139,0.6587380770236564
v9b_blend_05,2F_L_N,non_event,128,85.67225150602408,24.331105280496992,148.18032285391564,31.574168674766884,76,52,59.4,0.026177380542735697,0.0416382838395025,maybe,76.10070202068114,91.42443790911676,0,False,0.04097329128428196,0.083276567679005
v9b_blend_05,2F_R_N,event,46,83.33420639078052,-65.1279662126768,233.09855945521213,76.53333278576012,25,21,54.3,0.4350899118340976,0.6587380770236564,ns,48.57416331994646,104.44819277108434,0,False,0.4475210521722147,0.6587380770236564
v9b_blend_05,2F_R_N,non_event,128,62.25084713855422,-6.365537932981929,132.18663403614457,35.26742444306662,72,56,56.2,0.13161928784273455,0.18468262705966312,ns,52.790627075230056,69.07437624513804,0,False,0.15794314541128146,0.2557144066979951
