baseline,variant,segment,event_type,n_days,acf_acf_lag1,acf_acf_lag2,acf_acf_lag3,acf_acf_threshold,acf_serial_correlation_detected,acf_recommended_bootstrap,additive_mean_diff,additive_ci_lower,additive_ci_upper,additive_se,p_value_wilcoxon,loo_min_mean,loo_max_mean,loo_sign_flips,loo_fragile,wins,losses,ties,win_pct,p_value_sign,lift_t2500_pooled_diff,lift_t2500_ci_lower,lift_t2500_ci_upper,lift_t2500_p_value,lift_t3500_pooled_diff,lift_t3500_ci_lower,lift_t3500_ci_upper,lift_t3500_p_value,lift_t4500_pooled_diff,lift_t4500_ci_lower,lift_t4500_ci_upper,lift_t4500_p_value,q_value_wilcoxon,q_value_sign,lift_t2500_q_value,lift_t3500_q_value,lift_t4500_q_value
v6a_hit_an,v9b_blend_05,2F_L_N,event,46,0.02533593476426139,-0.13791969909702131,-0.24268727890033626,0.29488391230979427,False,iid,14.586694604504991,-43.666579360921936,72.79555395495021,30.00552330949997,0.4972689163292979,1.9594377510040304,27.33654618473897,0,False,21,19,6,52.5,0.8746293123804207,0.011158429380738522,-0.030860510805500896,0.050018730935619024,0.6086,0.008447204968944133,-0.04507893557880954,0.06382693480397698,0.8158,0.018513396715644115,-0.058766642260052425,0.097365366350068,0.6886,0.9192522710928803,1.0,0.9721411764705882,0.9798260869565216,0.9090285714285715
v6a_hit_an,v9b_blend_05,2F_L_N,non_event,127,0.03104927789160984,-0.008264135369366833,-0.003160704263173704,0.17747130188322277,False,iid,-10.63447490750403,-45.40057157764917,25.096429418461245,18.054829220058288,0.5222054259230999,-19.372489959839356,-4.949799196787146,0,False,54,57,16,48.6,0.8495501873144536,-0.007345679012345618,-0.03798741147132175,0.024650706251972417,0.6618,-0.018740157480314545,-0.05824045913293289,0.022802774743455816,0.3838,-0.015510884541598546,-0.059721686138372455,0.02885325334166236,0.5236,0.9192522710928803,1.0,0.9721411764705882,0.9211199999999999,0.9090285714285715
v6a_hit_an,v9b_blend_05,2F_R_N,event,46,0.3955090713818611,0.17997307564017176,0.014325671385119258,0.29488391230979427,True,block,-20.10345730749083,-84.35379518072288,75.84696787148592,40.93978973724267,0.26424521094426767,-36.464658634538154,-11.756626506024096,0,False,18,21,7,46.2,0.7492586247608418,-0.0027896073451847414,-0.04473925149143728,0.04064728667905718,0.9292,-0.012670807453416089,-0.06455793544151117,0.044263230864846854,0.6772,-0.051185774697957154,-0.12791763250926239,0.029911159083320073,0.2058,0.7421893829493318,1.0,1.0,0.9798260869565216,0.8420571428571428
v6a_hit_an,v9b_blend_05,2F_R_N,non_event,127,0.048254358879654256,0.20790196261029562,0.07100183919215505,0.17747130188322277,True,block,31.547813300445885,-4.748530120481923,58.05379156626499,16.084900531091943,0.1631000876642209,26.38755020080322,34.751004016064265,0,False,57,49,21,53.8,0.4967543930289459,0.014691358024691237,-0.01105928921779542,0.04149399188297783,0.2894,0.02418447107868671,-0.009278963646542586,0.05926098842070609,0.1746,0.007991386148010093,-0.03754648964053346,0.05749512290285918,0.7718,0.6779623104200639,0.9935087860578918,0.9605999999999999,0.6701999999999999,0.9090285714285715
v6a_hit_an,v9b_blend_05,3F_L_A,event,46,0.11846525864617999,0.23029189754264687,-0.1638749258141401,0.29488391230979427,False,iid,11.921817705605008,-17.625589313776853,39.17953444211626,14.517682346392474,0.060218238044293305,7.933333333333313,18.590763052208818,0,False,30,16,0,65.2,0.054076031858869555,-0.017453656549195284,-0.06881996834263529,0.02943116240725474,0.5292,0.005481172650394939,-0.0748492316151862,0.07186459546434085,0.8018,0.020786026200873442,-0.04984511038699519,0.09562713639410192,0.7352,0.44160041232481756,0.3832047015753592,0.9721411764705882,0.9798260869565216,0.9090285714285715
v6a_hit_an,v9b_blend_05,3F_L_A,non_event,127,0.12498879751296892,0.06474773970346918,-0.07612320730579328,0.17747130188322277,False,iid,-9.923252063371594,-24.825064035670234,5.148322028270562,7.679342362073613,0.127169507696092,-12.237951807228914,-7.612449799196784,0,False,49,69,9,41.5,0.07983431282819983,0.0048467335481908735,-0.019297550529804922,0.0293857921875618,0.6886,0.004137615377762416,-0.01903752059211256,0.028654228547381873,0.7402,-0.023573512486479875,-0.06973346889977126,0.00490127893467485,0.212,0.6779623104200639,0.3832047015753592,0.9721411764705882,0.9798260869565216,0.8420571428571428
v6a_hit_an,v9b_blend_05,3F_L_N,event,46,-0.08177237561716381,0.03055081874428308,-0.17312993849777145,0.29488391230979427,False,iid,-1.6363279203771623,-51.009016500785755,41.188711367207965,23.773340646818546,0.710331300389953,-10.370682730923697,14.385140562248994,7,True,21,13,12,61.8,0.22948101302608848,-0.01673764407110756,-0.0490921788737578,0.0115045896618797,0.3202,-0.025341614906832177,-0.06640023950535644,0.008995986117848959,0.2234,-0.024244482173174875,-0.07790180444817452,0.02361330738764765,0.4,0.9192522710928803,0.6562838659100755,0.9605999999999999,0.6701999999999999,0.9090285714285715
v6a_hit_an,v9b_blend_05,3F_L_N,non_event,127,-0.0665802847295313,0.14010611633716197,-0.14797013592227537,0.17747130188322277,False,iid,15.71463807987857,-14.410729532302438,45.01109240110045,15.179644300800867,0.1848988119327447,10.565261044176708,23.400602409638555,0,False,51,39,37,56.7,0.24610644971627832,0.024485596707818802,0.0024375830062727368,0.04632928385324795,0.032,0.036999611348620176,0.008807050696532747,0.06613818914977006,0.0164,0.021394912696320434,-0.02150283058769503,0.06337315614073431,0.3328,0.6779623104200639,0.6562838659100755,0.384,0.1312,0.9090285714285715
v6a_hit_an,v9b_blend_05,3F_R_A,event,46,0.11929386338249297,0.12256191143564014,-0.02835236281967778,0.29488391230979427,False,iid,-7.947878470403352,-35.95246202200103,17.99960712414876,13.83443852006633,0.9900236822376528,-12.138955823293173,-2.1506024096385534,0,False,23,19,4,54.8,0.6439689563703723,0.020038882457767082,-0.008539010069114328,0.05099902365779721,0.1968,0.009600249774137426,-0.027732436770945407,0.05138607484557927,0.7018,0.028829764222366383,-0.05585579944240391,0.1552360307590143,0.6632,0.9900236822376528,1.0,0.9605999999999999,0.9798260869565216,0.9090285714285715
v6a_hit_an,v9b_blend_05,3F_R_A,non_event,127,-0.07850771831848387,-0.08306582232123733,0.05437479364675518,0.17747130188322277,False,iid,-16.121051133668537,-31.43012285361921,-1.7272554786073433,7.49701061698601,0.033344702097679826,-18.553212851405625,-13.620481927710848,0,False,41,69,17,37.3,0.00972219403941886,-0.005400043985320568,-0.027787856303158623,0.017399428458775384,0.6434,0.02234165264679694,-0.0006310165882898814,0.04728993297880013,0.0574,-0.007399702138766451,-0.03358561626822574,0.014633828619873876,0.5738,0.3667917230744781,0.11666632847302633,0.9721411764705882,0.3444,0.9090285714285715
