date,weekday,avg_diff,is_anomaly,anomaly_direction,zscore,rolling_median,iqd_bound_upper,iqd_bound_lower
2025-01-01,水,-102,0,,,,,
2025-01-02,木,-66,0,,,,,
2025-01-03,金,195,0,,,,,
2025-01-04,土,790,0,,,,,
2025-01-05,日,-47,0,,,,,
2025-01-06,月,-62,0,,,,,
2025-01-07,火,434,0,,,,,
2025-01-08,水,-73,0,,,,,
2025-01-09,木,-113,0,,,,,
2025-01-10,金,-101,0,,,,,
2025-01-11,土,17,0,,,,,
2025-01-12,日,-206,0,,,,,
2025-01-13,月,-287,0,,,,,
2025-01-14,火,205,0,,1.4385768087215065,-64.0,440.5,-568.5
2025-01-15,水,-130,0,,-0.404384074941452,-66.0,361.0,-493.0
2025-01-16,木,-126,0,,-0.42879606188466945,-69.5,286.0,-425.0
2025-01-17,金,2,0,,0.7056307692307693,-66.0,194.0,-326.0
2025-01-18,土,-27,0,,0.40415384615384614,-64.0,183.0,-311.0
2025-01-19,日,-100,0,,-0.392017094017094,-66.0,168.0,-300.0
2025-01-20,月,-115,0,,-0.5147127882599581,-69.5,169.0,-308.0
2025-01-21,火,-33,0,,0.38710434782608694,-66.0,164.0,-296.0
2025-01-22,水,-47,0,,0.21840952380952378,-64.0,146.0,-274.0
2025-01-23,木,-55,0,,0.0994,-62.0,128.0,-252.0
2025-01-24,金,68,0,,1.5443303167420814,-58.5,162.5,-279.5
2025-01-25,土,83,0,,1.5643865546218487,-55.0,183.0,-293.0
2025-01-26,日,95,0,,1.254484076433121,-51.0,263.0,-365.0
2025-01-27,月,69,0,,0.9204941176470588,-47.0,293.0,-387.0
2025-01-28,火,-58,0,,-0.05571091445427728,-51.0,288.0,-390.0
2025-01-29,水,-151,0,,-0.7617882352941177,-55.0,285.0,-395.0
2025-01-30,木,30,0,,0.6818658346333853,-51.0,269.5,-371.5
2025-01-31,金,124,0,,1.3609380530973452,-47.0,292.0,-386.0
2025-02-01,土,-109,0,,-0.47589189189189185,-47.0,304.5,-398.5
2025-02-02,日,-154,0,,-0.8149384164222874,-51.0,290.0,-392.0
2025-02-03,月,194,0,,1.9384457478005865,-51.0,290.0,-392.0
2025-02-04,火,194,0,,1.8285200553250347,-51.0,310.5,-412.5
2025-02-05,水,-263,0,,-1.560643929058663,-51.0,315.5,-417.5
2025-02-06,木,-271,0,,-1.592079779917469,-56.5,307.0,-420.0
2025-02-07,金,128,0,,1.2576614583333332,-51.0,333.0,-435.0
2025-02-08,土,9,0,,0.34427604166666664,-40.0,344.0,-424.0
2025-02-09,日,-183,0,,-0.9755094816687736,-40.0,355.5,-435.5
2025-02-10,月,-184,0,,-0.8364428904428904,-51.0,378.0,-480.0
2025-02-11,火,-53,0,,-0.020465233881163083,-50.0,345.5,-445.5
2025-02-12,水,-38,0,,0.0316171875,-42.5,341.5,-426.5
2025-02-13,木,67,0,,0.7733795811518325,-42.5,339.5,-424.5
2025-02-14,金,122,0,,1.1658024691358024,-35.5,329.0,-400.0
2025-02-15,土,-27,0,,0.023059829059829062,-30.0,321.0,-381.0
2025-02-16,日,-105,0,,-0.5304413012729844,-35.5,318.0,-389.0
2025-02-17,月,150,0,,1.3346106666666666,-35.5,339.5,-410.5
2025-02-18,火,56,0,,0.6187413333333334,-30.0,345.0,-405.0
2025-02-19,水,26,0,,0.27331403762662804,-9.0,336.5,-354.5
2025-02-20,木,-145,0,,-0.9784746666666667,-9.0,366.0,-384.0
2025-02-21,金,-254,0,,-1.5336658932714615,-9.0,422.0,-440.0
2025-02-22,土,-181,0,,-1.013222707423581,-9.0,449.0,-467.0
2025-02-23,日,120,0,,0.720583850931677,-9.0,474.0,-492.0
2025-02-24,月,6,0,,0.09352310924369747,-10.5,465.5,-486.5
2025-02-25,火,-98,0,,-0.4053188073394495,-32.5,403.5,-468.5
2025-02-26,水,11,0,,0.2745333333333333,-32.5,395.0,-460.0
2025-02-27,木,60,0,,0.44286146682188593,-10.5,419.0,-440.0
2025-02-28,金,24,0,,0.11060124223602484,7.5,410.0,-395.0
2025-03-01,土,-268,0,,-1.6007718894009217,-10.5,423.5,-444.5
2025-03-02,日,-82,0,,-0.316846975088968,-32.5,389.0,-454.0
2025-03-03,月,53,0,,0.4064602609727165,-10.5,411.0,-432.0
2025-03-04,火,270,0,,1.7683520599250937,7.5,408.0,-393.0
2025-03-05,水,-31,0,,-0.14254896907216494,-10.5,377.5,-398.5
2025-03-06,木,-147,0,,-0.7890061957868649,-29.0,374.5,-432.5
2025-03-07,金,-15,0,,0.04254402102496714,-21.0,359.5,-401.5
2025-03-08,土,-32,0,,-0.09362145110410094,-21.0,296.0,-338.0
2025-03-09,日,197,0,,1.8554069400630915,-21.0,296.0,-338.0
2025-03-10,月,-186,0,,-1.1132352168199735,-29.0,351.5,-409.5
2025-03-11,火,6,0,,0.2297981072555205,-21.0,296.0,-338.0
2025-03-12,水,113,0,,1.0359967320261438,-4.5,301.5,-310.5
2025-03-13,木,-5,0,,-0.04849346405228758,0.5,306.5,-305.5
2025-03-14,金,108,0,,0.8640376766091051,6.0,324.5,-312.5
2025-03-15,土,39,0,,0.29096078431372546,6.0,312.0,-300.0
2025-03-16,日,-44,0,,-0.402214405360134,0.5,299.0,-298.0
2025-03-17,月,120,0,,1.0051372549019608,6.0,312.0,-300.0
2025-03-18,火,141,0,,1.0607863501483679,8.5,345.5,-328.5
2025-03-19,水,-242,0,,-2.186614379084967,6.0,312.0,-300.0
2025-03-20,木,26,0,,0.17720853858784893,6.0,310.5,-298.5
2025-03-21,金,-173,0,,-1.222201044386423,0.5,383.5,-382.5
2025-03-22,土,-155,0,,-1.0868886010362695,0.5,386.5,-385.5
2025-03-23,日,-109,0,,-0.897966565349544,0.5,329.5,-328.5
2025-03-24,月,202,0,,1.3916000000000002,6.0,386.0,-374.0
2025-03-25,火,-132,0,,-1.0865805471124619,0.5,329.5,-328.5
2025-03-26,水,-237,0,,-1.6597452574525746,-10.0,359.0,-379.0
2025-03-27,木,210,0,,1.2716107986501688,0.5,445.0,-444.0
2025-03-28,金,72,0,,0.4282064372918979,0.5,451.0,-450.0
2025-03-29,土,-115,0,,-0.6246747519294377,-10.0,443.5,-463.5
2025-03-30,日,-265,0,,-1.347607843137255,-23.0,461.5,-507.5
2025-03-31,月,-7,0,,0.02379713340683572,-11.0,442.5,-464.5
2025-04-01,火,-63,0,,-0.30936273428886435,-11.0,442.5,-464.5
2025-04-02,水,-132,0,,-0.6365411255411255,-23.0,439.0,-485.0
2025-04-03,木,-106,0,,-0.5134125159642401,-31.5,360.0,-423.0
2025-04-04,金,666,1,high,4.026560606060606,-23.5,438.5,-485.5
2025-04-05,土,130,0,,0.7941920668058455,-11.0,468.0,-490.0
2025-04-06,日,-281,0,,-1.4472348717948718,-19.5,468.0,-507.0
2025-04-07,月,245,0,,1.353042957042957,-6.0,494.5,-506.5
2025-04-08,火,-192,0,,-0.8605689655172414,-25.5,496.5,-547.5
2025-04-09,水,5,0,,0.06087794871794872,-6.0,481.5,-493.5
2025-04-10,木,-84,0,,-0.32376,-25.5,462.0,-513.0
2025-04-11,金,153,0,,0.9670542168674698,-25.5,472.5,-523.5
2025-04-12,土,-70,0,,-0.08939156626506024,-53.5,444.5,-551.5
2025-04-13,日,-278,0,,-1.1090903790087463,-66.5,448.0,-581.0
2025-04-14,月,269,0,,1.6353730803974704,-66.5,487.0,-620.0
2025-04-15,火,-42,0,,0.11942366757000902,-66.5,487.0,-620.0
2025-04-16,水,-160,0,,-0.4082661804922516,-77.0,471.5,-625.5
2025-04-17,木,288,0,,1.7953874202370101,-77.0,471.5,-625.5
2025-04-18,金,-256,0,,-0.8804776663628077,-77.0,471.5,-625.5
2025-04-19,土,89,0,,0.8040718132854577,-77.0,480.0,-634.0
2025-04-20,日,-70,0,,0.0,-70.0,468.0,-608.0
2025-04-21,月,-84,0,,-0.0750188679245283,-70.0,433.5,-573.5
2025-04-22,火,-107,0,,-0.19826415094339622,-70.0,433.5,-573.5
2025-04-23,水,-117,0,,-0.24895040369088814,-77.0,356.5,-510.5
2025-04-24,木,304,0,,2.034379032258064,-70.0,426.0,-566.0
2025-04-25,金,-237,0,,-0.908399193548387,-70.0,426.0,-566.0
2025-04-26,土,-47,0,,0.14566666666666667,-70.0,356.0,-496.0
2025-04-27,日,254,0,,1.7624032258064515,-70.0,426.0,-566.0
2025-04-28,月,-34,0,,0.17678427419354836,-66.5,429.5,-562.5
2025-04-29,火,-306,0,,-1.3027641129032257,-66.5,429.5,-562.5
2025-04-30,水,193,0,,1.270655172413793,-66.5,484.5,-617.5
2025-05-01,木,-134,0,,-0.30751914514692785,-70.0,491.5,-631.5
2025-05-02,金,-160,0,,-0.40369077306733164,-70.0,531.5,-671.5
2025-05-03,土,-187,0,,-0.5136956875508543,-70.0,544.5,-684.5
2025-05-04,日,-125,0,,-0.2314638069705094,-77.0,482.5,-636.5
2025-05-05,月,559,1,high,2.8887676767676767,-77.0,517.0,-671.0
2025-05-06,火,-105,0,,-0.13002409638554216,-77.0,504.0,-658.0
2025-05-07,水,254,0,,1.5370705679862307,-77.0,504.0,-658.0
2025-05-08,木,-97,0,,-0.1003906976744186,-77.0,460.5,-614.5
2025-05-09,金,-172,0,,-0.4086471600688468,-84.0,497.0,-665.0
2025-05-10,土,6,0,,0.38542857142857145,-77.0,504.0,-658.0
2025-05-11,日,135,0,,1.0324476534296028,-77.0,477.0,-631.0
2025-05-12,月,7,0,,0.4090830324909747,-77.0,477.0,-631.0
2025-05-13,火,-96,0,,-0.10041527913809989,-77.0,433.5,-587.5
2025-05-14,水,206,0,,1.4956591576885405,-77.0,433.5,-587.5
2025-05-15,木,-129,0,,-0.20531121951219514,-90.0,422.5,-602.5
2025-05-16,金,-104,0,,-0.07509343936381709,-90.0,413.0,-593.0
2025-05-17,土,94,0,,1.1244212910532274,-90.0,351.5,-531.5
2025-05-18,日,69,0,,0.9128806488991889,-77.0,354.5,-508.5
2025-05-19,月,-120,0,,-0.19134751773049646,-90.0,333.0,-513.0
2025-05-20,火,-75,0,,0.09567375886524823,-90.0,333.0,-513.0
2025-05-21,水,5,0,,0.5772316784869976,-85.5,337.5,-508.5
2025-05-22,木,-38,0,,0.14669976359338063,-61.0,362.0,-484.0
2025-05-23,金,-114,0,,-0.33804728132387707,-61.0,362.0,-484.0
2025-05-24,土,251,0,,1.9900141843971633,-61.0,362.0,-484.0
2025-05-25,日,-26,0,,0.10792,-42.5,370.0,-455.0
2025-05-26,月,75,0,,0.7207653429602888,-36.0,379.5,-451.5
2025-05-27,火,307,0,,2.2272298435619735,-36.0,379.5,-451.5
2025-05-28,水,-248,0,,-1.2128333333333334,-56.5,369.5,-482.5
2025-05-29,木,-178,0,,-0.7695,-56.5,369.5,-482.5
2025-05-30,金,403,1,high,2.9101666666666666,-56.5,369.5,-482.5
2025-05-31,土,-462,0,,-2.568166666666667,-56.5,369.5,-482.5
2025-06-01,日,0,0,,0.20778820697954273,-32.0,383.5,-447.5
2025-06-02,月,19,0,,0.21476616915422883,-13.0,389.0,-415.0
2025-06-03,火,210,0,,1.2196840958605666,2.5,461.5,-456.5
2025-06-04,水,256,0,,1.4900718954248366,2.5,461.5,-456.5
2025-06-05,木,13,0,,0.044570484581497795,5.5,459.5,-448.5
2025-06-06,金,190,0,,1.0964339207048457,5.5,459.5,-448.5
2025-06-07,土,168,0,,0.832334288443171,6.5,530.0,-517.0
