analysis_type,chi2,p_value,cramers_v,dof,is_significant
weekday_vs_top2,0.17296532362729317,0.999898951962498,0.005835091434812034,6,0
day_last_digit_vs_top2,0.82998457885011,0.9997395408570771,0.012782127800653003,9,0
