analysis_type,group_a,group_b,statistic,p_value,is_significant
kruskal_weekday,ALL,,4.258688335958261,0.6417139894043933,0
kruskal_last_digit,ALL,,23.2518012444979,0.005654902287092253,1
posthoc_last_digit,0,1,89037342.5,0.015504855348373018,1
posthoc_last_digit,0,2,88655761.0,0.002537170915912011,1
posthoc_last_digit,0,3,89228168.0,0.03391680922217556,1
posthoc_last_digit,0,4,88586245.5,0.0017605558877306863,1
posthoc_last_digit,0,5,93564143.0,0.5711622266573886,0
posthoc_last_digit,0,6,86005246.0,0.048919744960275735,1
posthoc_last_digit,0,7,86179192.5,0.09129629174900689,0
posthoc_last_digit,0,8,86523063.0,0.2569168597425975,0
posthoc_last_digit,0,9,87150816.0,0.9039073245429394,0
posthoc_last_digit,1,2,93682095.0,0.5599960890371211,0
posthoc_last_digit,1,3,94271388.0,0.7522038521722958,0
posthoc_last_digit,1,4,93576521.5,0.4569785905179461,0
posthoc_last_digit,1,5,98821881.0,0.05878866957293108,0
posthoc_last_digit,1,6,90880076.0,0.6383998185516816,0
posthoc_last_digit,1,7,91038689.0,0.4723135737715345,0
posthoc_last_digit,1,8,91412198.5,0.192040875208482,0
posthoc_last_digit,1,9,92053512.5,0.020862784209011276,1
posthoc_last_digit,2,3,94655266.0,0.36753984113020677,0
posthoc_last_digit,2,4,93947746.5,0.8589047212523925,0
posthoc_last_digit,2,5,99217530.0,0.013256827376911981,1
posthoc_last_digit,2,6,91248200.0,0.29494483123042503,0
posthoc_last_digit,2,7,91405198.0,0.19580886112403972,0
posthoc_last_digit,2,8,91775608.0,0.060852049485154845,0
posthoc_last_digit,2,9,92427366.5,0.003769372658821303,1
posthoc_last_digit,3,4,93364192.0,0.28570009968521637,0
posthoc_last_digit,3,5,98607613.5,0.11598257218893711,0
posthoc_last_digit,3,6,90691258.0,0.8620396464171892,0
posthoc_last_digit,3,7,90844343.0,0.6789544028341385,0
posthoc_last_digit,3,8,91219807.5,0.31595626886212247,0
posthoc_last_digit,3,9,91861739.0,0.044466764965150854,1
posthoc_last_digit,4,5,99319704.5,0.00857898337669377,1
posthoc_last_digit,4,6,91358584.0,0.2222860119505613,0
posthoc_last_digit,4,7,91499664.0,0.14937179516430352,0
posthoc_last_digit,4,8,91887968.0,0.04028595317103633,1
posthoc_last_digit,4,9,92513630.0,0.0024282029387422575,1
posthoc_last_digit,5,6,93014943.5,0.16021061988545238,0
posthoc_last_digit,5,7,93182040.0,0.25039481526563767,0
posthoc_last_digit,5,8,93567900.5,0.5750652289985319,0
posthoc_last_digit,5,9,94229575.0,0.6534036143042569,0
posthoc_last_digit,6,7,87378930.5,0.8046208549326499,0
posthoc_last_digit,6,8,87719649.5,0.4253480822515153,0
posthoc_last_digit,6,9,88375375.0,0.06355384890779858,0
posthoc_last_digit,7,8,87580628.5,0.566750371365335,0
posthoc_last_digit,7,9,88204436.5,0.11423075964929279,0
posthoc_last_digit,8,9,87859264.5,0.3065592670054259,0
