machine_name,hall
アズールレーン THE ANIMATION,"['レイトギャップ', '蒲田1']"
ウルトラミラクルジャグラー,"['ARROW', 'ザシティ']"
ジャグラーガールズ,"['みとや', '蒲田7']"
スマスロ北斗の拳,"['蒲田1', '蒲田7']"
ハッピージャグラーVIII,"['ARROW', 'ヒロキ', 'レイトギャップ', '蒲田1']"
ファンキージャグラー2,"['ヒロキ', '蒲田7']"
マギアレコード 魔法少女まどか☆マギカ外伝,"['みとや', 'ザシティ', 'レイトギャップ']"
ミリオンゴッド‐神々の軌跡‐,"['レイトギャップ', '蒲田1', '蒲田7']"
化物語,"['ARROW', '蒲田7']"
東京喰種,"['みとや', 'レイトギャップ']"
甲鉄城のカバネリ,"['蒲田1', '蒲田7']"
甲鉄城のカバネリ 海門(うなと)決戦,"['みとや', 'ヒロキ']"
