hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
レイトギャップ,マイジャグラーV,2313,dd,plus,chi2,56.037898494669854,0.0027030991360904,0.1060964493648785,2313,31,,
ARROW,戦国乙女4 戦乱に閃く炯眼の軍師,1590,dd,plus,chi2,47.64436139401016,0.0215064251649123,0.1053194624012161,1590,31,,
ARROW,ハッピージャグラーVIII,2685,dd,hit104,chi2,59.61266650161748,0.0010254165431242,0.1050184379232272,2685,31,,
ザシティ,ウルトラミラクルジャグラー,1336,dd,plus,chi2,44.57944775712078,0.0422207215601353,0.1044227363954528,1336,31,,
ヒロキ,ファンキージャグラー2,1949,dd,plus,chi2,50.99227363660128,0.0097591882952652,0.103770989450172,1949,31,,
レイトギャップ,北斗の拳 転生の章2,2208,dd,hit104,chi2,53.5754511078194,0.0051245897238075,0.1033245791661558,2208,31,,
蒲田7,ファンキージャグラー2,8457,dd,hit104,chi2,117.5425061112726,2.6252694883034483e-12,0.1017462011399191,8457,31,,
蒲田1,ハッピージャグラーVIII,5643,dd,plus,chi2,87.67801095293778,1.470520123210757e-07,0.1011040572739695,5643,31,,
蒲田7,化物語,1744,dd,plus,chi2,47.769458982201925,0.0209009238053967,0.10092018716588,1744,31,,
レイトギャップ,東京喰種,4200,dd,hit104,chi2,72.76860084791845,2.0476845230845243e-05,0.1009144409404445,4200,31,,
蒲田7,化物語,1744,dd,hit104,chi2,47.676180942040894,0.0213509249030823,0.1006546986461359,1744,31,,
蒲田7,スマスロ北斗の拳,9705,dd,plus,chi2,127.68550362249448,5.126057632396775e-14,0.1003304582895432,9705,31,,
