machine_name,hall
ハッピージャグラーVIII,4
マギアレコード 魔法少女まどか☆マギカ外伝,3
ミリオンゴッド‐神々の軌跡‐,3
東京喰種,2
甲鉄城のカバネリ,2
化物語,2
アズールレーン THE ANIMATION,2
ジャグラーガールズ,2
スマスロ北斗の拳,2
ファンキージャグラー2,2
ウルトラミラクルジャグラー,2
甲鉄城のカバネリ 海門(うなと)決戦,2
