hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
みとや,うみねこのなく頃に2,dd,hit104,16,16,8,14.0,50.0,25.0
みとや,うみねこのなく頃に2,dd,hit104,17,17,8,-50.25,37.5,25.0
みとや,うみねこのなく頃に2,dd,hit104,18,18,8,272.75,50.0,50.0
みとや,うみねこのなく頃に2,dd,hit104,19,19,8,-642.75,25.0,0.0
みとや,うみねこのなく頃に2,dd,hit104,20,20,8,348.5,62.5,62.5
みとや,うみねこのなく頃に2,dd,hit104,21,21,8,-20.625,62.5,25.0
みとや,うみねこのなく頃に2,dd,hit104,22,22,8,232.625,75.0,62.5
みとや,うみねこのなく頃に2,dd,hit104,23,23,8,-346.75,25.0,12.5
みとや,うみねこのなく頃に2,dd,hit104,24,24,8,1022.125,75.0,62.5
みとや,うみねこのなく頃に2,dd,hit104,25,25,8,-551.875,25.0,0.0
みとや,うみねこのなく頃に2,dd,hit104,26,26,8,379.75,62.5,50.0
みとや,うみねこのなく頃に2,dd,hit104,27,27,8,-519.75,25.0,12.5
みとや,うみねこのなく頃に2,dd,hit104,28,28,7,1.2857142857142858,71.42857142857143,28.57142857142857
みとや,うみねこのなく頃に2,dd,hit104,29,29,8,-173.25,37.5,12.5
みとや,うみねこのなく頃に2,dd,hit104,30,30,6,-294.5,33.33333333333333,33.33333333333333
みとや,うみねこのなく頃に2,dd,hit104,31,31,2,783.5,100.0,100.0
みとや,アズールレーン THE ANIMATION,dd,plus,1,1,26,-915.7692307692307,15.384615384615385,7.6923076923076925
みとや,アズールレーン THE ANIMATION,dd,plus,2,2,22,-569.3636363636364,31.818181818181817,22.727272727272727
みとや,アズールレーン THE ANIMATION,dd,plus,3,3,26,1328.3846153846155,50.0,46.15384615384615
みとや,アズールレーン THE ANIMATION,dd,plus,4,4,27,-346.22222222222223,25.925925925925924,22.22222222222222
みとや,アズールレーン THE ANIMATION,dd,plus,5,5,23,-624.304347826087,34.78260869565217,34.78260869565217
みとや,アズールレーン THE ANIMATION,dd,plus,6,6,24,-268.25,37.5,33.33333333333333
みとや,アズールレーン THE ANIMATION,dd,plus,7,7,27,349.48148148148147,37.03703703703704,33.33333333333333
みとや,アズールレーン THE ANIMATION,dd,plus,8,8,25,-333.48,32.0,32.0
みとや,アズールレーン THE ANIMATION,dd,plus,9,9,24,-904.25,29.166666666666668,25.0
みとや,アズールレーン THE ANIMATION,dd,plus,10,10,24,-777.5416666666666,25.0,25.0
みとや,アズールレーン THE ANIMATION,dd,plus,11,11,25,-153.24,36.0,36.0
みとや,アズールレーン THE ANIMATION,dd,plus,12,12,23,-293.30434782608694,34.78260869565217,34.78260869565217
みとや,アズールレーン THE ANIMATION,dd,plus,13,13,20,-158.4,35.0,35.0
みとや,アズールレーン THE ANIMATION,dd,plus,14,14,27,-614.8148148148148,25.925925925925924,22.22222222222222
みとや,アズールレーン THE ANIMATION,dd,plus,15,15,25,-778.2,20.0,16.0
みとや,アズールレーン THE ANIMATION,dd,plus,16,16,24,-9.708333333333334,50.0,41.66666666666667
みとや,アズールレーン THE ANIMATION,dd,plus,17,17,27,232.92592592592592,40.74074074074074,40.74074074074074
みとや,アズールレーン THE ANIMATION,dd,plus,18,18,24,606.375,50.0,45.83333333333333
みとや,アズールレーン THE ANIMATION,dd,plus,19,19,23,285.5652173913044,30.434782608695656,30.434782608695656
みとや,アズールレーン THE ANIMATION,dd,plus,20,20,26,801.2307692307693,42.30769230769231,38.46153846153847
みとや,アズールレーン THE ANIMATION,dd,plus,21,21,25,-577.76,20.0,16.0
みとや,アズールレーン THE ANIMATION,dd,plus,22,22,26,-523.8461538461538,23.076923076923077,23.076923076923077
みとや,アズールレーン THE ANIMATION,dd,plus,23,23,26,-567.7307692307693,19.230769230769234,19.230769230769234
みとや,アズールレーン THE ANIMATION,dd,plus,24,24,27,-842.4444444444445,22.22222222222222,22.22222222222222
みとや,アズールレーン THE ANIMATION,dd,plus,25,25,26,-890.5384615384615,15.384615384615385,15.384615384615385
みとや,アズールレーン THE ANIMATION,dd,plus,26,26,25,158.76,32.0,32.0
みとや,アズールレーン THE ANIMATION,dd,plus,27,27,26,-203.3846153846154,26.923076923076923,26.923076923076923
みとや,アズールレーン THE ANIMATION,dd,plus,28,28,25,428.92,40.0,28.000000000000004
みとや,アズールレーン THE ANIMATION,dd,plus,29,29,23,-944.9565217391304,17.391304347826086,13.043478260869565
みとや,アズールレーン THE ANIMATION,dd,plus,30,30,21,715.2857142857143,47.61904761904761,38.095238095238095
みとや,アズールレーン THE ANIMATION,dd,plus,31,31,11,-1372.4545454545455,9.090909090909092,9.090909090909092
みとや,アレックス ブライト,dd,hit104,1,1,27,-475.8888888888889,33.33333333333333,18.51851851851852
みとや,アレックス ブライト,dd,hit104,2,2,25,-61.76,44.0,28.000000000000004
みとや,アレックス ブライト,dd,hit104,3,3,25,86.48,48.0,36.0
みとや,アレックス ブライト,dd,hit104,4,4,25,-169.2,44.0,20.0
みとや,アレックス ブライト,dd,hit104,5,5,23,-161.1304347826087,34.78260869565217,21.73913043478261
みとや,アレックス ブライト,dd,hit104,6,6,27,2.111111111111111,44.44444444444444,29.629629629629626
みとや,アレックス ブライト,dd,hit104,7,7,27,82.51851851851852,51.85185185185185,29.629629629629626
みとや,アレックス ブライト,dd,hit104,8,8,27,211.1851851851852,51.85185185185185,29.629629629629626
