hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,いざ！番長,1293,day_of_week,hit104,chi2,7.60761244065225,0.268282462596486,0.03522340726808826,1293,7,,
ヒロキ,いざ！番長,1293,day_of_week,plus,chi2,5.65111810376537,0.46338339261841455,0.0,1293,7,,
ヒロキ,いざ！番長,1293,dd,diff,kruskal,24.67599415423457,0.7406198202041401,0.0,1293,31,0.0,
ヒロキ,いざ！番長,1293,dd,hit104,chi2,32.68155604375817,0.33652716727089343,0.04536008172348221,1293,31,,
ヒロキ,いざ！番長,1293,dd,plus,chi2,28.207953502963402,0.5594177185008802,0.0,1293,31,,
ヒロキ,いざ！番長,1293,dd_bin,diff,kruskal,2.0413659452714485,0.7281505788441225,0.0,1293,5,0.0,
ヒロキ,いざ！番長,1293,dd_bin,hit104,chi2,1.5209760927010287,0.8229194335828501,0.0,1293,5,,
ヒロキ,いざ！番長,1293,dd_bin,plus,chi2,1.0543353863648637,0.9014480589426063,0.0,1293,5,,
ヒロキ,いざ！番長,1293,is_x_day,diff,kruskal,0.009250473161327061,0.9233781071595641,0.0,1293,2,0.0,
ヒロキ,いざ！番長,1293,is_x_day,hit104,chi2,0.01261062037400062,0.9105879057089006,0.0,1293,2,,
ヒロキ,いざ！番長,1293,is_x_day,plus,chi2,0.17957270104404577,0.6717407119170669,0.0,1293,2,,
ヒロキ,かぐや様は告らせたい,2011,day_of_week,diff,kruskal,9.492920530737697,0.1476950230653747,0.0017429743167353777,2011,7,0.0,
ヒロキ,かぐや様は告らせたい,2011,day_of_week,hit104,chi2,15.036706149587307,0.01997313701526878,0.06704020962790053,2011,7,,
ヒロキ,かぐや様は告らせたい,2011,day_of_week,plus,chi2,16.487046035806735,0.01136532499385296,0.07222154815566083,2011,7,,
ヒロキ,かぐや様は告らせたい,2011,dd,diff,kruskal,27.53133086921372,0.5952572697545957,0.0,2011,31,0.0,
ヒロキ,かぐや様は告らせたい,2011,dd,hit104,chi2,28.735554050402367,0.5315182070054888,0.0,2011,31,,
ヒロキ,かぐや様は告らせたい,2011,dd,plus,chi2,34.24682403713485,0.27107272889037887,0.04588488576892317,2011,31,,
ヒロキ,かぐや様は告らせたい,2011,dd_bin,diff,kruskal,9.286134686304543,0.05433212695842858,0.0026351618575795326,2011,5,0.0,
ヒロキ,かぐや様は告らせたい,2011,dd_bin,hit104,chi2,5.833402474340382,0.21194012810926974,0.030185272659384105,2011,5,,
ヒロキ,かぐや様は告らせたい,2011,dd_bin,plus,chi2,2.9807969752931402,0.5610441068158738,0.0,2011,5,,
ヒロキ,かぐや様は告らせたい,2011,is_x_day,diff,kruskal,2.2464307122389537,0.13392299055293727,0.0006204234505918137,2011,2,0.0,
ヒロキ,かぐや様は告らせたい,2011,is_x_day,hit104,chi2,0.05139103073068767,0.8206602160472682,0.0,2011,2,,
ヒロキ,かぐや様は告らせたい,2011,is_x_day,plus,chi2,0.0013369825901179814,0.9708320321852566,0.0,2011,2,,
ヒロキ,からくりサーカス,1751,day_of_week,diff,kruskal,24.949136499988466,0.0003489385619698702,0.010865330561919993,1751,7,0.0,
ヒロキ,からくりサーカス,1751,day_of_week,hit104,chi2,6.018534197393507,0.42111707361426526,0.002937990654209278,1751,7,,
ヒロキ,からくりサーカス,1751,day_of_week,plus,chi2,5.19528062683185,0.5190221238898978,0.0,1751,7,,
ヒロキ,からくりサーカス,1751,dd,diff,kruskal,36.43230806836399,0.19426279991065323,0.0037397139932348763,1751,31,0.0,
ヒロキ,からくりサーカス,1751,dd,hit104,chi2,29.01622514502799,0.5167444396299539,0.0,1751,31,,
ヒロキ,からくりサーカス,1751,dd,plus,chi2,30.828514398492107,0.42387237451786763,0.021532325284650298,1751,31,,
ヒロキ,からくりサーカス,1751,dd_bin,diff,kruskal,1.2595019203912519,0.8682081905599826,0.0,1751,5,0.0,
ヒロキ,からくりサーカス,1751,dd_bin,hit104,chi2,1.1813201549222478,0.881164452874806,0.0,1751,5,,
ヒロキ,からくりサーカス,1751,dd_bin,plus,chi2,0.9507023367113969,0.9171767046439865,0.0,1751,5,,
ヒロキ,からくりサーカス,1751,is_x_day,diff,kruskal,0.3505208823103286,0.5538184192505987,0.0,1751,2,0.0,
ヒロキ,からくりサーカス,1751,is_x_day,hit104,chi2,1.2619394771396313,0.26128429308132856,0.012221015480670975,1751,2,,
ヒロキ,からくりサーカス,1751,is_x_day,plus,chi2,0.28345063657839187,0.594448415133128,0.0,1751,2,,
ヒロキ,この素晴らしい世界に祝福を！,1334,day_of_week,diff,kruskal,10.061249213030793,0.12209626688007139,0.003060474162042798,1334,7,0.0,
ヒロキ,この素晴らしい世界に祝福を！,1334,day_of_week,hit104,chi2,2.4037729171136335,0.8790777446777853,0.0,1334,7,,
ヒロキ,この素晴らしい世界に祝福を！,1334,day_of_week,plus,chi2,2.621226461403613,0.854661432088757,0.0,1334,7,,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd,diff,kruskal,17.605493553628676,0.9645773792360548,0.0,1334,31,0.0,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd,hit104,chi2,24.535402851737565,0.7472807342884764,0.0,1334,31,,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd,plus,chi2,20.048853767502454,0.9152632286208611,0.0,1334,31,,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd_bin,diff,kruskal,5.794933572165108,0.21499511199478671,0.0013505895953085836,1334,5,0.0,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd_bin,hit104,chi2,7.481908238097709,0.11250971419566101,0.05108653974353121,1334,5,,
ヒロキ,この素晴らしい世界に祝福を！,1334,dd_bin,plus,chi2,7.272125171133823,0.12218766721719107,0.04952229608988957,1334,5,,
ヒロキ,この素晴らしい世界に祝福を！,1334,is_x_day,diff,kruskal,0.25412269253502784,0.6141870070296389,0.0,1334,2,0.0,
ヒロキ,この素晴らしい世界に祝福を！,1334,is_x_day,hit104,chi2,0.08105235916263111,0.7758763197060098,0.0,1334,2,,
ヒロキ,この素晴らしい世界に祝福を！,1334,is_x_day,plus,chi2,0.07696049509352726,0.7814595100214285,0.0,1334,2,,
ヒロキ,ひぐらしのなく頃に祭2,717,day_of_week,diff,kruskal,3.3247897753155717,0.7671156233185822,0.0,717,7,0.0,
ヒロキ,ひぐらしのなく頃に祭2,717,day_of_week,hit104,chi2,4.474018449110914,0.6128075630600758,0.0,717,7,,
ヒロキ,ひぐらしのなく頃に祭2,717,day_of_week,plus,chi2,5.080886389432623,0.5334815410753999,0.0,717,7,,
ヒロキ,ひぐらしのなく頃に祭2,717,dd,diff,kruskal,29.611228393670952,0.48568743963715744,0.0,717,31,0.0,
ヒロキ,ひぐらしのなく頃に祭2,717,dd,hit104,chi2,30.54695741292251,0.4379147355445329,0.02655917175698894,717,31,,
ヒロキ,ひぐらしのなく頃に祭2,717,dd,plus,chi2,30.480699159707175,0.441243942425675,0.02475580667457789,717,31,,
