hall,machine_name,outcome,p_value,effect_size,n_obs,n_machine_days
ザシティ,化物語,plus,0.008805136228498,0.1630976421804379,419,419
ヒロキ,アズールレーン THE ANIMATION,plus,0.0456608030224055,0.1625392237387016,259,259
ARROW,ニューパルサーDX3,plus,0.0037739707370071,0.1571123777241554,537,537
レイトギャップ,シャーマンキング,hit104,0.0095795675073302,0.1570879624225059,443,443
ARROW,アズールレーン THE ANIMATION,hit104,0.0423744173055154,0.1553338673662329,292,292
楽園,プリズムナナ,plus,0.017376352125936,0.1533512913564543,400,400
ARROW,ヨルムンガンド,hit104,0.0457747829479164,0.152218779083153,295,295
蒲田7,攻殻機動隊,plus,0.0285161369765649,0.1519871258140082,351,351
蒲田1,攻殻機動隊,plus,0.0284634733494134,0.151816849622671,352,352
ザシティ,化物語,hit104,0.0169719529857525,0.1503162414184452,419,419
レイトギャップ,シャーマンキング,plus,0.0152264737324577,0.1483340594403839,443,443
蒲田7,バーサスリヴァイズ,hit104,7.032625364936626e-05,0.1463527812621253,1059,1059
蒲田7,SHAKE BONUS TRIGGER,plus,0.0016269677104973,0.1458891278088604,719,719
楽園,プリズムナナ,hit104,0.0346641607619379,0.1377176382806474,400,400
蒲田7,不二子BT,hit104,0.0317879768581436,0.133600077986677,438,438
蒲田7,バーサスリヴァイズ,plus,0.0057142522637777,0.1074293039742743,1059,1059
蒲田7,SHAKE BONUS TRIGGER,hit104,0.0305235840773736,0.1049825645429358,719,719
楽園,とある科学の超電磁砲2,plus,0.0153046654245439,0.1026713252051855,923,923
楽園,鉄拳6,plus,0.0362870081523562,0.1013113113656262,727,727
