hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,攻殻機動隊,day_of_week,plus,月,0,51,-409.80392156862746,17.647058823529413,17.647058823529413
蒲田1,攻殻機動隊,day_of_week,plus,火,1,50,380.0,42.0,38.0
蒲田1,攻殻機動隊,day_of_week,plus,水,2,51,19.607843137254903,45.09803921568628,37.254901960784316
蒲田1,攻殻機動隊,day_of_week,plus,木,3,51,-152.94117647058823,35.294117647058826,29.411764705882355
蒲田1,攻殻機動隊,day_of_week,plus,金,4,47,-104.25531914893617,29.78723404255319,25.53191489361702
蒲田1,攻殻機動隊,day_of_week,plus,土,5,51,576.4705882352941,45.09803921568628,39.21568627450981
蒲田1,攻殻機動隊,day_of_week,plus,日,6,51,415.6862745098039,45.09803921568628,37.254901960784316
