date,last_digit,is_rank_1,is_top_3,is_top_5,month_progress,day_of_week,day_of_month,days_since_last_rank1,rolling_avg_diff_7d,rolling_avg_diff_14d,rolling_avg_diff_21d,rolling_avg_diff_28d,rolling_avg_diff_35d,rolling_avg_games_7d,rolling_avg_games_14d,rolling_avg_games_21d,rolling_avg_games_28d,rolling_avg_games_35d,rolling_avg_efficiency_7d,rolling_avg_efficiency_14d,rolling_avg_efficiency_21d,rolling_avg_efficiency_28d,rolling_avg_efficiency_35d,rolling_rank_sum_7d,rolling_rank_sum_14d,rolling_rank_sum_21d,dow_lastdigit_rank1_rate,periodicity_strength,prior_week_rank1_rate,prior_same_weekday_rank1_rate
2025-07-08,ã‚¾ãƒ­ç›®,0,0,0,0.22580644,1.0,8.0,0.0,182500.0,182500.0,182500.0,182500.0,182500.0,403068.0,403068.0,403068.0,403068.0,403068.0,0.4527772,0.4527772,0.4527772,0.4527772,0.4527772,6.0,6.0,6.0,0.09756097,0.038751386,0.0,0.0
2025-07-09,0,0,0,0,0.2580645,2.0,9.0,0.0,116250.0,116250.0,116250.0,116250.0,116250.0,408446.5,408446.5,408446.5,408446.5,408446.5,0.279773,0.279773,0.279773,0.279773,0.279773,10.0,10.0,10.0,0.024390243,0.036321186,0.0,0.0
2025-07-09,1,0,1,1,0.2580645,2.0,9.0,0.0,134900.0,134900.0,134900.0,134900.0,134900.0,419910.0,419910.0,419910.0,419910.0,419910.0,0.3140756,0.3140756,0.3140756,0.3140756,0.3140756,8.0,8.0,8.0,0.19512194,0.046272263,0.14285715,0.0
2025-07-09,2,0,0,1,0.2580645,2.0,9.0,0.0,165250.0,165250.0,165250.0,165250.0,165250.0,398129.0,398129.0,398129.0,398129.0,398129.0,0.4100645,0.4100645,0.4100645,0.4100645,0.4100645,2.0,2.0,2.0,0.12195122,0.047563225,0.0,0.0
2025-07-09,3,1,1,1,0.2580645,2.0,9.0,0.0,107250.0,107250.0,107250.0,107250.0,107250.0,392458.5,392458.5,392458.5,392458.5,392458.5,0.26863796,0.26863796,0.26863796,0.26863796,0.26863796,16.0,16.0,16.0,0.07317073,0.03312406,0.14285715,0.0
2025-07-09,4,0,1,1,0.2580645,2.0,9.0,0.0,100150.0,100150.0,100150.0,100150.0,100150.0,399702.5,399702.5,399702.5,399702.5,399702.5,0.24676134,0.24676134,0.24676134,0.24676134,0.24676134,17.0,17.0,17.0,0.07317073,0.0377796,0.0,0.0
2025-07-09,5,0,0,0,0.2580645,2.0,9.0,0.0,106000.0,106000.0,106000.0,106000.0,106000.0,401740.0,401740.0,401740.0,401740.0,401740.0,0.25989863,0.25989863,0.25989863,0.25989863,0.25989863,14.0,14.0,14.0,0.048780486,0.03521127,0.0,0.0
2025-07-09,6,0,0,0,0.2580645,2.0,9.0,0.0,127450.0,127450.0,127450.0,127450.0,127450.0,398878.0,398878.0,398878.0,398878.0,398878.0,0.31380647,0.31380647,0.31380647,0.31380647,0.31380647,8.0,8.0,8.0,0.07317073,0.033639003,0.14285715,0.0
2025-07-09,7,0,0,0,0.2580645,2.0,9.0,0.0,127950.0,127950.0,127950.0,127950.0,127950.0,393475.5,393475.5,393475.5,393475.5,393475.5,0.3129944,0.3129944,0.3129944,0.3129944,0.3129944,13.0,13.0,13.0,0.07317073,0.052751012,0.2857143,0.0
2025-07-09,8,0,0,0,0.2580645,2.0,9.0,0.0,114300.0,114300.0,114300.0,114300.0,114300.0,404381.0,404381.0,404381.0,404381.0,404381.0,0.27777475,0.27777475,0.27777475,0.27777475,0.27777475,14.0,14.0,14.0,0.17073171,0.045774646,0.14285715,0.0
