hall,machine_name,n_units,n_machine_days,avg_diff,plus_rate,hit104_rate,avg_payout_rate,top3_rate,expected_top3_rate,top3_lift,bottom3_rate,expected_bottom3_rate,bottom3_lift,tier
蒲田7,ルパン三世 大航海者の秘宝,2,30,1263,36.7,36.666666666666664,112.63649142484931,3.3333333333333335,0.421548196210922,7.907359972821465,3.3333333333333335,0.421548196210922,7.907359972821465,C
蒲田7,回胴黙示録カイジ 狂宴,4,126,993,55.6,50.79365079365079,103.67509573144473,0.0,0.43576329684507126,0.0,0.0,0.43576329684507126,0.0,B
蒲田7,バーニングエクスプレス,2,49,945,42.9,34.69387755102041,111.39690589237263,2.0408163265306123,0.471026529108209,4.33269932883499,0.0,0.471026529108209,0.0,C
蒲田7,押忍！番長4,7,337,885,49.0,45.103857566765576,108.22829910454212,0.2967359050445104,0.4390246403113256,0.6758980653889632,0.0,0.4390246403113256,0.0,B
蒲田7,防空少女ラブキューレ2～極限の共鳴～,1,148,800,54.7,47.97297297297297,113.29842838715273,0.0,0.4443135020654185,0.0,0.0,0.4443135020654185,0.0,B
蒲田7,押忍!番長ZERO,3,183,775,53.0,49.18032786885246,104.27932424192147,0.0,0.4397762146545124,0.0,0.0,0.4397762146545124,0.0,B
蒲田7,翔べ！ハーレムエース,3,203,593,54.2,37.4384236453202,100.29782546923342,0.0,0.43659634828853394,0.0,0.0,0.43659634828853394,0.0,B
蒲田7,ラブ嬢3～Wご指名はいかがですか?～,2,126,582,48.4,43.65079365079365,104.2807328888265,0.0,0.43576329684507126,0.0,0.0,0.43576329684507126,0.0,B
蒲田7,麻雀物語,8,389,578,39.1,33.41902313624679,98.81092311098489,2.570694087403599,0.4401544053260452,5.840437029136066,0.7712082262210797,0.4401544053260452,1.7521311087408193,C
蒲田7,わたしの幸せな結婚,18,560,567,37.5,33.92857142857143,108.92290833990978,0.8928571428571428,0.4344110733223037,2.055327770603819,0.17857142857142858,0.4344110733223037,0.4110655541207639,C
蒲田7,バイオハザード5,30,1144,532,36.9,31.818181818181817,104.62571502531866,1.7482517482517483,0.44239370111193155,3.9518007237843045,0.08741258741258741,0.44239370111193155,0.1975900361892152,C
蒲田7,スマスロ北斗の拳,60,9705,501,48.0,41.16434827408552,104.35285149084525,0.09273570324574962,0.4483105604490479,0.2068559419007694,0.05151983513652757,0.4483105604490479,0.11491996772264967,B
蒲田7,麻雀格闘倶楽部 覚醒,1,49,480,44.9,38.775510204081634,103.0366252545381,0.0,0.4611489547820357,0.0,0.0,0.4611489547820357,0.0,C
蒲田7,バンドリ！,5,703,472,37.3,34.85064011379801,105.1584400904609,1.422475106685633,0.4519114922482866,3.147685179699092,0.0,0.4519114922482866,0.0,C
蒲田7,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,20,828,461,38.5,35.990338164251206,103.54015983158091,0.8454106280193237,0.4522821349527278,1.869210748524669,0.24154589371980675,0.4522821349527278,0.5340602138641911,C
蒲田7,ハイパーラッシュ,3,330,455,51.5,38.484848484848484,99.34448983960718,0.0,0.4408429065359483,0.0,0.0,0.4408429065359483,0.0,B
蒲田7,甲鉄城のカバネリ,18,1908,425,50.1,44.0251572327044,102.0788309931826,0.0,0.4512877526645424,0.0,0.0,0.4512877526645424,0.0,B
蒲田7,バイオハザード RE:2,4,183,414,50.3,44.26229508196721,102.41773453861104,0.0,0.43978004158978395,0.0,0.0,0.43978004158978395,0.0,B
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,34,2851,398,42.9,38.51280252542967,102.23245699691388,1.4380918975797967,0.4477268455127165,3.2119849680511314,1.6836197825324448,0.4477268455127165,3.760372645523276,C
蒲田7,痛いのは嫌なので防御力に極振りしたいと思います。,30,2329,398,42.6,35.68054959209962,99.20439005047957,0.042936882782310004,0.4544891197578292,0.09447285075864648,0.08587376556462001,0.4544891197578292,0.18894570151729295,C
蒲田7,戦国乙女4 戦乱に閃く炯眼の軍師,54,4617,393,37.7,30.88585661685077,96.99677236855395,1.061295213341997,0.4519741984849015,2.348132298037474,0.10829542993285683,0.4519741984849015,0.23960533653443608,C
蒲田7,ソードアート・オンライン,31,2254,391,42.1,37.62200532386868,101.26813371526909,0.044365572315882874,0.45251965368114183,0.09804120540396266,0.0,0.45251965368114183,0.0,C
蒲田7,七つの魔剣が支配する,31,1700,381,39.0,33.294117647058826,103.36873895940276,0.35294117647058826,0.44988196061607116,0.7845195126011908,0.0,0.44988196061607116,0.0,C
蒲田7,マジカルハロウィン8,1,345,369,54.5,38.26086956521739,101.13217952945143,0.0,0.451728733805697,0.0,0.0,0.451728733805697,0.0,B
蒲田7,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,8,1335,355,48.0,34.531835205992515,98.51564232602821,0.0,0.45254277323516484,0.0,0.0,0.45254277323516484,0.0,B
蒲田7,モンキーターンV,108,14006,346,40.1,34.84935027845209,100.4936130342266,0.2713122947308297,0.4516102732450117,0.6007664369132606,0.007139797229758675,0.4516102732450117,0.01580964307666475,C
蒲田7,モンスターハンターライズ,65,5511,339,37.9,33.478497550353836,103.17355191365782,0.9072763563781527,0.44788840668398266,2.0256750182379717,0.10887316276537834,0.44788840668398266,0.24308100218855663,C
蒲田7,タクトオーパス デスティニー,4,79,334,30.4,29.11392405063291,106.76830476885397,1.2658227848101267,0.4578571386922771,2.7646675738758724,0.0,0.4578571386922771,0.0,C
蒲田7,この素晴らしい世界に祝福を！,8,854,326,47.8,39.34426229508197,100.95809362004307,0.0,0.4510391240470225,0.0,0.0,0.4510391240470225,0.0,B
