hall,machine_name,n_units,n_machine_days,avg_diff,plus_rate,hit104_rate,avg_payout_rate,top3_rate,expected_top3_rate,top3_lift,bottom3_rate,expected_bottom3_rate,bottom3_lift,tier
みとや,甲鉄城のカバネリ 海門(うなと)決戦,14,1092,387,44.9,37.82051282051282,102.63982816949084,3.7545787545787546,1.3107779743509298,2.864389567148429,3.8461538461538463,1.3107779743509298,2.934252727322781,B
みとや,ラブ嬢3～Wご指名はいかがですか?～,3,70,300,38.6,35.714285714285715,103.21877868187217,2.857142857142857,1.2670207009901544,2.2550088210161445,0.0,1.2670207009901544,0.0,C
みとや,スマスロ北斗の拳,29,7129,271,40.3,33.9318277458269,101.46000394156685,1.3746668536961706,1.2843232257724226,1.0703433731562497,0.2665170430635433,1.2843232257724226,0.2075155519384566,C
みとや,にゃんこ大戦争 超神速,4,65,236,35.4,32.30769230769231,106.95330682152124,4.615384615384616,1.2699888426924544,3.63419304188509,0.0,1.2699888426924544,0.0,C
みとや,ソードアート・オンライン,5,38,227,44.7,39.473684210526315,106.79184731661745,2.631578947368421,1.2675273480457212,2.076151612370179,0.0,1.2675273480457212,0.0,B
みとや,スーパーリオエース2,4,77,222,39.0,33.76623376623377,93.65509658225966,3.896103896103896,1.2854756605763378,3.0308655508553883,2.5974025974025974,1.2854756605763378,2.0205770339035922,C
みとや,東京リベンジャーズ,26,1384,189,35.2,30.057803468208093,95.91387401169874,2.9624277456647397,1.3123194825515756,2.2573982822420784,1.4450867052023122,1.3123194825515756,1.1011698937766237,C
みとや,主役は銭形5,9,413,185,38.5,33.65617433414044,104.47638901861362,3.14769975786925,1.3213020116623566,2.3822712219359037,2.1791767554479415,1.3213020116623566,1.6492646921094711,C
みとや,犬夜叉2,4,62,185,37.1,32.25806451612903,105.21707671515883,6.451612903225806,1.2176420918325146,5.298447669065319,0.0,1.2176420918325146,0.0,C
みとや,モンキーターンV,17,5945,182,36.6,31.724137931034484,98.842367441697,1.984861227922624,1.2946853161857226,1.533083910899856,0.40370058873002523,1.2946853161857226,0.31181367679319105,C
みとや,ネオプラネット,4,91,177,45.1,39.56043956043956,102.20906516082887,0.0,1.3556334930124279,0.0,0.0,1.3556334930124279,0.0,B
みとや,ミリオンゴッド‐神々の軌跡‐,17,657,162,38.1,33.789954337899545,101.97999104681473,4.87062404870624,1.2975737573754467,3.7536394528800177,7.15372907153729,1.2975737573754467,5.513157946417525,C
みとや,マギアレコード 魔法少女まどか☆マギカ外伝,16,2267,157,40.1,34.40670489633877,101.9876742907234,1.76444640494045,1.3033103285740635,1.3538190914752515,1.76444640494045,1.3033103285740635,1.3538190914752515,C
みとや,ゾンビランドサガ,2,78,154,34.6,32.05128205128205,99.53062279456073,1.282051282051282,1.2864312423691702,0.9965952627908649,1.282051282051282,1.2864312423691702,0.9965952627908649,C
みとや,バンドリ！,7,116,134,33.6,31.03448275862069,110.24719497557068,2.586206896551724,1.2461884574385487,2.0752935730663786,1.7241379310344827,1.2461884574385487,1.3835290487109189,C
