dd,rank_from_min,section_size_group,section_machine_count,diff_sum,games_sum,machine_count,pay_rate
1,1,large,22,15600,425652,9,101.22
1,1,medium,14,19400,745048,15,100.87
1,1,small,8,-5400,166135,3,98.92
1,2,large,22,11000,408297,9,100.9
1,2,medium,14,86000,732084,15,103.92
1,2,small,8,8700,144976,3,102.0
1,3,large,22,27100,400580,9,102.26
1,3,medium,14,18500,711496,15,100.87
1,3,small,8,-9200,140447,3,97.82
1,4,large,22,23300,400525,9,101.94
1,4,medium,14,53900,723820,15,102.48
1,4,small,8,-3700,145172,3,99.15
1,5,large,22,-10400,420594,9,99.18
1,5,medium,14,96500,677399,15,104.75
1,5,small,8,9000,148611,3,102.02
1,6,large,22,7900,404165,9,100.65
1,6,medium,14,44200,720339,15,102.05
1,6,small,8,-700,151610,3,99.85
1,7,large,22,62900,401950,9,105.22
1,7,medium,14,28500,736430,15,101.29
1,7,small,8,-5600,157891,3,98.82
1,8,large,22,23200,418695,9,101.85
1,8,medium,14,6000,695675,15,100.29
1,8,small,8,-5300,54526,1,96.76
1,9,large,22,35300,444989,9,102.64
1,9,medium,14,80600,750658,15,103.58
1,10,large,22,-59600,418439,9,95.25
1,10,medium,14,57800,619378,12,103.11
1,11,large,22,70800,396427,9,105.95
1,11,medium,14,32400,525675,10,102.05
1,12,large,22,43700,424169,9,103.43
1,12,medium,14,37100,515689,10,102.4
1,13,large,22,88400,401338,9,107.34
1,13,medium,14,-17400,204549,4,97.16
2,1,large,22,12500,361955,9,101.15
2,1,medium,14,61600,681505,15,103.01
2,1,small,8,-3200,138719,3,99.23
2,2,large,22,43100,369306,9,103.89
2,2,medium,14,6700,601279,15,100.37
2,2,small,8,12800,145531,3,102.93
2,3,large,22,8600,344050,9,100.83
2,3,medium,14,53700,589641,15,103.04
2,3,small,8,9900,141402,3,102.33
2,4,large,22,33800,369260,9,103.05
2,4,medium,14,108300,686866,15,105.26
2,4,small,8,1200,157301,3,100.25
2,5,large,22,20700,333440,9,102.07
2,5,medium,14,42100,604943,15,102.32
2,5,small,8,1200,130461,3,100.31
2,6,large,22,64200,389862,9,105.49
2,6,medium,14,26200,654267,15,101.33
2,6,small,8,4500,144976,3,101.03
2,7,large,22,10200,317851,9,101.07
2,7,medium,14,105500,608163,15,105.78
2,7,small,8,10300,159283,3,102.16
2,8,large,22,25700,338985,9,102.53
2,8,medium,14,95500,600309,15,105.3
2,8,small,8,2400,58759,1,101.36
2,9,large,22,11000,374477,9,100.98
2,9,medium,14,57300,655765,15,102.91
2,10,large,22,9000,343305,9,100.87
2,10,medium,14,37700,517170,12,102.43
2,11,large,22,60100,324143,9,106.18
2,11,medium,14,10000,443764,10,100.75
2,12,large,22,54200,359777,9,105.02
2,12,medium,14,16700,440921,10,101.26
2,13,large,22,-17100,344378,9,98.34
2,13,medium,14,-1500,161433,4,99.69
3,1,large,22,-34200,390022,9,97.08
3,1,medium,14,98300,710444,15,104.61
3,1,small,8,8300,169029,3,101.64
3,2,large,22,-500,355693,9,99.95
3,2,medium,14,80700,662364,15,104.06
3,2,small,8,16300,167982,3,103.23
3,3,large,22,51600,376538,9,104.57
3,3,medium,14,52400,669551,15,102.61
3,3,small,8,14900,175044,3,102.84
3,4,large,22,-19900,368364,9,98.2
3,4,medium,14,99700,641633,15,105.18
3,4,small,8,3800,147771,3,100.86
3,5,large,22,23000,384862,9,101.99
3,5,medium,14,66900,637341,15,103.5
3,5,small,8,17400,149580,3,103.88
3,6,large,22,9600,356197,9,100.9
3,6,medium,14,103500,646308,15,105.34
3,6,small,8,3900,142802,3,100.91
3,7,large,22,27000,352309,9,102.55
3,7,medium,14,45100,653595,15,102.3
3,7,small,8,13200,167101,3,102.63
3,8,large,22,51800,372955,9,104.63
3,8,medium,14,64900,641152,15,103.37
3,8,small,8,-3000,42484,1,97.65
3,9,large,22,71000,383880,9,106.17
3,9,medium,14,78900,678592,15,103.88
3,10,large,22,-10700,372879,9,99.04
3,10,medium,14,16600,544720,12,101.02
3,11,large,22,58000,354531,9,105.45
3,11,medium,14,49200,443578,10,103.7
3,12,large,22,-35300,368029,9,96.8
3,12,medium,14,41200,477202,10,102.88
3,13,large,22,32700,354313,9,103.08
3,13,medium,14,14700,172092,4,102.85
4,1,large,22,-6000,373313,9,99.46
4,1,medium,14,32800,641718,15,101.7
4,1,small,8,-3000,157935,3,99.37
4,2,large,22,55000,360910,9,105.08
4,2,medium,14,33900,601896,15,101.88
4,2,small,8,1700,144202,3,100.39
4,3,large,22,12000,350195,9,101.14
4,3,medium,14,-3700,624694,15,99.8
4,3,small,8,4100,153141,3,100.89
4,4,large,22,-33600,327808,9,96.58
4,4,medium,14,54600,623504,15,102.92
4,4,small,8,-7600,142710,3,98.22
4,5,large,22,17200,369919,9,101.55
4,5,medium,14,-13500,568750,15,99.21
4,5,small,8,-7500,139159,3,98.2
4,6,large,22,25000,323083,9,102.58
4,6,medium,14,102400,638065,15,105.35
4,6,small,8,-10000,145045,3,97.7
4,7,large,22,1000,324746,9,100.1
4,7,medium,14,69600,590558,15,103.93
4,7,small,8,4900,171512,3,100.95
4,8,large,22,41300,336444,9,104.09
4,8,medium,14,86400,624244,15,104.61
4,8,small,8,100,50657,1,100.07
4,9,large,22,21900,349437,9,102.09
4,9,medium,14,-300,609900,15,99.98
4,10,large,22,50600,343204,9,104.91
4,10,medium,14,16800,529139,12,101.06
4,11,large,22,73600,330184,9,107.43
4,11,medium,14,7500,446598,10,100.56
4,12,large,22,-42200,340573,9,95.87
4,12,medium,14,48400,438975,10,103.68
4,13,large,22,26000,370020,9,102.34
4,13,medium,14,49900,162486,4,110.24
5,1,large,22,-9900,349620,9,99.06
5,1,medium,14,17900,646398,15,100.92
5,1,small,8,6600,152284,3,101.44
5,2,large,22,-11800,335538,9,98.83
5,2,medium,14,19600,580915,15,101.12
5,2,small,8,18300,156874,3,103.89
5,3,large,22,33100,333337,9,103.31
5,3,medium,14,27800,556229,15,101.67
5,3,small,8,13100,144793,3,103.02
5,4,large,22,30200,327442,9,103.07
5,4,medium,14,98100,586513,15,105.58
5,4,small,8,11000,160012,3,102.29
5,5,large,22,17300,331397,9,101.74
5,5,medium,14,86700,610486,15,104.73
5,5,small,8,7500,142992,3,101.75
5,6,large,22,10200,318167,9,101.07
5,6,medium,14,108900,563870,15,106.44
5,6,small,8,-3900,136466,3,99.05
5,7,large,22,34800,322424,9,103.6
5,7,medium,14,110900,554990,15,106.66
5,7,small,8,1600,144105,3,100.37
5,8,large,22,57200,341140,9,105.59
5,8,medium,14,112200,596298,15,106.27
5,8,small,8,-4800,49674,1,96.78
5,9,large,22,-5800,359220,9,99.46
5,9,medium,14,50800,621855,15,102.72
5,10,large,22,57900,359499,9,105.37
5,10,medium,14,26200,539358,12,101.62
5,11,large,22,4800,312435,9,100.51
5,11,medium,14,50700,403798,10,104.19
5,12,large,22,-38300,307300,9,95.85
5,12,medium,14,30300,431732,10,102.34
5,13,large,22,44900,339556,9,104.41
5,13,medium,14,44500,157339,4,109.43
6,1,large,22,40400,402063,9,103.35
6,1,medium,14,3200,658948,15,100.16
6,1,small,8,-2100,145016,3,99.52
6,2,large,22,35500,348906,9,103.39
6,2,medium,14,48200,597123,15,102.69
6,2,small,8,17900,159472,3,103.74
6,3,large,22,-8200,375731,9,99.27
6,3,medium,14,65900,655501,15,103.35
6,3,small,8,-400,146357,3,99.91
6,4,large,22,24100,371626,9,102.16
6,4,medium,14,103100,636151,15,105.4
6,4,small,8,4200,145693,3,100.96
6,5,large,22,-18800,367841,9,98.3
6,5,medium,14,11300,611696,15,100.62
6,5,small,8,-2000,131379,3,99.49
6,6,large,22,57200,361871,9,105.27
6,6,medium,14,34300,591085,15,101.93
6,6,small,8,-4700,133159,3,98.82
6,7,large,22,30200,357788,9,102.81
6,7,medium,14,28600,584502,15,101.63
6,7,small,8,-3500,146951,3,99.21
6,8,large,22,49500,368937,9,104.47
6,8,medium,14,53000,612980,15,102.88
6,8,small,8,5000,49648,1,103.36
6,9,large,22,20200,350313,9,101.92
6,9,medium,14,54900,686065,15,102.67
6,10,large,22,1300,346683,9,100.12
6,10,medium,14,38800,486116,12,102.66
6,11,large,22,-1400,332715,9,99.86
6,11,medium,14,4900,412436,10,100.4
6,12,large,22,48500,349704,9,104.62
6,12,medium,14,8100,445409,10,100.61
6,13,large,22,17100,359120,9,101.59
6,13,medium,14,29400,169794,4,105.77
7,1,large,22,55400,537322,9,103.44
7,1,medium,14,21600,877511,15,100.82
7,1,small,8,1700,190551,3,100.3
7,2,large,22,65100,503574,9,104.31
7,2,medium,14,98100,846589,15,103.86
7,2,small,8,21300,206454,3,103.44
7,3,large,22,31400,509720,9,102.05
7,3,medium,14,85700,875291,15,103.26
7,3,small,8,2000,189464,3,100.35
7,4,large,22,21400,511899,9,101.39
7,4,medium,14,144300,872898,15,105.51
7,4,small,8,6300,205141,3,101.02
7,5,large,22,14500,502607,9,100.96
7,5,medium,14,84700,846604,15,103.33
7,5,small,8,16400,199519,3,102.74
7,6,large,22,70300,493560,9,104.75
7,6,medium,14,161900,812636,15,106.64
7,6,small,8,22600,206702,3,103.64
7,7,large,22,55400,509282,9,103.63
7,7,medium,14,108000,873040,15,104.12
7,7,small,8,15600,220089,3,102.36
7,8,large,22,86200,507022,9,105.67
7,8,medium,14,144900,865344,15,105.58
7,8,small,8,8300,69506,1,103.98
7,9,large,22,12200,499358,9,100.81
7,9,medium,14,49300,896386,15,101.83
7,10,large,22,16000,505286,9,101.06
7,10,medium,14,128600,715723,12,105.99
7,11,large,22,97200,487663,9,106.64
7,11,medium,14,13800,574320,10,100.8
7,12,large,22,28800,493555,9,101.95
7,12,medium,14,12500,600185,10,100.69
7,13,large,22,87700,476105,9,106.14
7,13,medium,14,50400,236643,4,107.1
8,1,large,22,14100,418455,9,101.12
8,1,medium,14,10500,717599,15,100.49
8,1,small,8,8300,191496,3,101.44
8,2,large,22,57300,395079,9,104.83
8,2,medium,14,79600,698987,15,103.8
8,2,small,8,6400,141761,3,101.5
8,3,large,22,61900,413636,9,104.99
8,3,medium,14,18600,692790,15,100.89
8,3,small,8,19000,181211,3,103.5
8,4,large,22,63500,403714,9,105.24
8,4,medium,14,70200,682553,15,103.43
8,4,small,8,4900,165544,3,100.99
8,5,large,22,43000,424973,9,103.37
8,5,medium,14,51700,664701,15,102.59
8,5,small,8,6500,159591,3,101.36
8,6,large,22,82700,401493,9,106.87
8,6,medium,14,112000,637205,15,105.86
8,6,small,8,10300,149500,3,102.3
8,7,large,22,39500,389749,9,103.38
8,7,medium,14,39100,661645,15,101.97
8,7,small,8,4800,158076,3,101.01
8,8,large,22,43800,397806,9,103.67
8,8,medium,14,122000,661677,15,106.15
8,8,small,8,-1500,51529,1,99.03
8,9,large,22,20900,379860,9,101.83
8,9,medium,14,74900,690169,15,103.62
8,10,large,22,38600,384894,9,103.34
8,10,medium,14,10400,540187,12,100.64
8,11,large,22,16100,375741,9,101.43
8,11,medium,14,55200,444726,10,104.14
8,12,large,22,50400,350268,9,104.8
8,12,medium,14,21600,470847,10,101.53
8,13,large,22,41500,350871,9,103.94
8,13,medium,14,18700,183666,4,103.39
9,1,large,22,9600,398160,9,100.8
9,1,medium,14,40700,678456,15,102.0
9,1,small,8,-2400,150098,3,99.47
9,2,large,22,-18200,377314,9,98.39
9,2,medium,14,56200,684318,15,102.74
9,2,small,8,-6800,154860,3,98.54
9,3,large,22,-20000,360923,9,98.15
9,3,medium,14,66800,648860,15,103.43
9,3,small,8,21400,149572,3,104.77
9,4,large,22,3700,364295,9,100.34
9,4,medium,14,15900,656120,15,100.81
9,4,small,8,-3200,146872,3,99.27
9,5,large,22,6200,350752,9,100.59
9,5,medium,14,28200,613329,15,101.53
9,5,small,8,6400,149590,3,101.43
9,6,large,22,500,380319,9,100.04
9,6,medium,14,57200,580770,15,103.28
9,6,small,8,-1500,143041,3,99.65
9,7,large,22,1500,398303,9,100.13
9,7,medium,14,85000,662681,15,104.28
9,7,small,8,-1300,163045,3,99.73
9,8,large,22,32300,367753,9,102.93
9,8,medium,14,78900,639527,15,104.11
9,8,small,8,-600,43626,1,99.54
9,9,large,22,-26100,374697,9,97.68
9,9,medium,14,45700,685423,15,102.22
9,10,large,22,20300,354562,9,101.91
9,10,medium,14,-28300,542739,12,98.26
9,11,large,22,-26300,358734,9,97.56
9,11,medium,14,74200,450057,10,105.5
9,12,large,22,25100,344852,9,102.43
9,12,medium,14,4000,469574,10,100.28
9,13,large,22,47900,372888,9,104.28
9,13,medium,14,36100,161284,4,107.46
10,1,large,22,-44100,434098,9,96.61
10,1,medium,14,11300,736434,15,100.51
10,1,small,8,5800,167148,3,101.16
10,2,large,22,34300,437408,9,102.61
10,2,medium,14,131300,666301,15,106.57
10,2,small,8,12300,162022,3,102.53
10,3,large,22,27100,434397,9,102.08
10,3,medium,14,8100,676926,15,100.4
10,3,small,8,8900,162000,3,101.83
10,4,large,22,25800,403794,9,102.13
10,4,medium,14,110800,663953,15,105.56
10,4,small,8,15500,150790,3,103.43
10,5,large,22,10200,446959,9,100.76
10,5,medium,14,93300,692981,15,104.49
10,5,small,8,21900,156395,3,104.67
10,6,large,22,22300,394537,9,101.88
10,6,medium,14,116900,716374,15,105.44
10,6,small,8,7600,164257,3,101.54
10,7,large,22,22200,421945,9,101.75
10,7,medium,14,34900,664225,15,101.75
10,7,small,8,400,152496,3,100.09
10,8,large,22,-13100,423361,9,98.97
10,8,medium,14,70400,695014,15,103.38
10,8,small,8,5600,47911,1,103.9
10,9,large,22,27400,443694,9,102.06
10,9,medium,14,44000,719929,15,102.04
10,10,large,22,53100,413090,9,104.28
10,10,medium,14,151200,576482,12,108.74
10,11,large,22,-29500,378198,9,97.4
10,11,medium,14,34100,480388,10,102.37
10,12,large,22,6900,404507,9,100.57
10,12,medium,14,-25500,501255,10,98.3
10,13,large,22,78100,462061,9,105.63
10,13,medium,14,10300,187840,4,101.83
11,1,large,22,39300,480869,9,102.72
11,1,medium,14,100,840098,15,100.0
11,1,small,8,100,189181,3,100.02
11,2,large,22,75700,467664,9,105.4
11,2,medium,14,1700,814721,15,100.07
11,2,small,8,19400,187230,3,103.45
11,3,large,22,28300,446921,9,102.11
11,3,medium,14,-15000,796626,15,99.37
11,3,small,8,-4400,188986,3,99.22
11,4,large,22,26800,457260,9,101.95
11,4,medium,14,72300,785015,15,103.07
11,4,small,8,14800,156257,3,103.16
11,5,large,22,22100,431461,9,101.71
11,5,medium,14,85200,787019,15,103.61
11,5,small,8,9700,170614,3,101.9
11,6,large,22,8700,440196,9,100.66
11,6,medium,14,102700,721386,15,104.75
11,6,small,8,7400,160360,3,101.54
11,7,large,22,3700,433266,9,100.28
11,7,medium,14,83000,796831,15,103.47
11,7,small,8,-10400,167549,3,97.93
11,8,large,22,39500,438237,9,103.0
11,8,medium,14,45000,793031,15,101.89
11,8,small,8,-6600,48301,1,95.45
11,9,large,22,75100,424929,9,105.89
11,9,medium,14,16100,797226,15,100.67
11,10,large,22,68900,448764,9,105.12
11,10,medium,14,44400,668384,12,102.21
11,11,large,22,2500,435120,9,100.19
11,11,medium,14,41300,524181,10,102.63
11,12,large,22,56200,442094,9,104.24
11,12,medium,14,-11300,580289,10,99.35
11,13,large,22,11600,457087,9,100.85
11,13,medium,14,31100,215540,4,104.81
12,1,large,22,13400,338765,9,101.32
12,1,medium,14,113900,640274,15,105.93
12,1,small,8,-6700,138492,3,98.39
12,2,large,22,43000,302055,9,104.75
12,2,medium,14,58100,603342,15,103.21
12,2,small,8,8700,141144,3,102.05
12,3,large,22,51800,325795,9,105.3
12,3,medium,14,61000,588096,15,103.46
12,3,small,8,200,143929,3,100.05
12,4,large,22,34000,325828,9,103.48
12,4,medium,14,134600,589026,15,107.62
12,4,small,8,10500,131315,3,102.67
12,5,large,22,2300,313017,9,100.24
12,5,medium,14,80000,561650,15,104.75
12,5,small,8,19700,125006,3,105.25
12,6,large,22,48300,308787,9,105.21
12,6,medium,14,78200,561415,15,104.64
12,6,small,8,10300,146859,3,102.34
12,7,large,22,22700,298714,9,102.53
12,7,medium,14,26000,572263,15,101.51
12,7,small,8,-3900,133102,3,99.02
12,8,large,22,-46000,334529,9,95.42
12,8,medium,14,86300,549980,15,105.23
12,8,small,8,-3100,31147,1,96.68
12,9,large,22,77000,340329,9,107.54
12,9,medium,14,114000,647435,15,105.87
12,10,large,22,-26400,330287,9,97.34
12,10,medium,14,15100,502780,12,101.0
12,11,large,22,-600,287253,9,99.93
12,11,medium,14,57100,402997,10,104.72
12,12,large,22,-6900,328601,9,99.3
12,12,medium,14,26100,426777,10,102.04
12,13,large,22,30800,318518,9,103.22
12,13,medium,14,1900,152175,4,100.42
13,1,large,22,-36700,444463,9,97.25
13,1,medium,14,51400,756856,15,102.26
13,1,small,8,7900,173374,3,101.52
13,2,large,22,37200,393506,9,103.15
13,2,medium,14,-700,695686,15,99.97
13,2,small,8,5800,168814,3,101.15
13,3,large,22,-33600,404350,9,97.23
13,3,medium,14,-2200,708690,15,99.9
13,3,small,8,19700,162793,3,104.03
13,4,large,22,34400,401998,9,102.85
13,4,medium,14,51300,695642,15,102.46
13,4,small,8,-3800,181974,3,99.3
13,5,large,22,47300,392500,9,104.02
13,5,medium,14,60800,709829,15,102.86
13,5,small,8,18700,174606,3,103.57
13,6,large,22,44800,417484,9,103.58
13,6,medium,14,-21000,672011,15,98.96
13,6,small,8,7800,163592,3,101.59
13,7,large,22,27400,408690,9,102.23
13,7,medium,14,-8700,702546,15,99.59
13,7,small,8,23300,184049,3,104.22
13,8,large,22,-14600,426386,9,98.86
13,8,medium,14,58200,672758,15,102.88
13,8,small,8,-8400,54564,1,94.87
13,9,large,22,3500,433432,9,100.27
13,9,medium,14,14400,735550,15,100.65
13,10,large,22,-11800,389094,9,98.99
13,10,medium,14,60600,608066,12,103.32
13,11,large,22,33000,410923,9,102.68
13,11,medium,14,10000,496840,10,100.67
13,12,large,22,42000,404738,9,103.46
13,12,medium,14,16900,505016,10,101.12
13,13,large,22,81700,401988,9,106.77
13,13,medium,14,17900,186575,4,103.2
14,1,large,22,3200,429370,9,100.25
14,1,medium,14,56600,772069,15,102.44
14,1,small,8,3000,172226,3,100.58
14,2,large,22,-27100,356776,9,97.47
14,2,medium,14,79900,708727,15,103.76
14,2,small,8,-7000,165691,3,98.59
14,3,large,22,36800,401876,9,103.05
14,3,medium,14,58500,712718,15,102.74
14,3,small,8,26700,177214,3,105.02
14,4,large,22,-14100,379215,9,98.76
14,4,medium,14,-7900,712672,15,99.63
14,4,small,8,1100,195673,3,100.19
14,5,large,22,71500,380309,9,106.27
14,5,medium,14,72000,715844,15,103.35
14,5,small,8,6700,166862,3,101.34
14,6,large,22,2000,380863,9,100.18
14,6,medium,14,72000,661184,15,103.63
14,6,small,8,15500,183167,3,102.82
14,7,large,22,21300,379870,9,101.87
14,7,medium,14,55200,731156,15,102.52
14,7,small,8,14800,168431,3,102.93
14,8,large,22,22200,408096,9,101.81
14,8,medium,14,66500,728234,15,103.04
14,8,small,8,8700,73916,1,103.92
14,9,large,22,-15200,384445,9,98.68
14,9,medium,14,94700,719798,15,104.39
14,10,large,22,-1500,404788,9,99.88
14,10,medium,14,29000,589536,12,101.64
14,11,large,22,35100,380009,9,103.08
14,11,medium,14,3700,461392,10,100.27
14,12,large,22,-5600,359754,9,99.48
14,12,medium,14,-13800,533607,10,99.14
14,13,large,22,54300,392255,9,104.61
14,13,medium,14,-3100,184400,4,99.44
15,1,large,22,-19900,402769,9,98.35
15,1,medium,14,-44200,715374,15,97.94
15,1,small,8,3100,170029,3,100.61
15,2,large,22,-60900,388958,9,94.78
15,2,medium,14,58400,679267,15,102.87
15,2,small,8,2100,169164,3,100.41
15,3,large,22,54700,375438,9,104.86
15,3,medium,14,30100,690620,15,101.45
15,3,small,8,-900,146491,3,99.8
15,4,large,22,42200,396402,9,103.55
15,4,medium,14,144900,729464,15,106.62
15,4,small,8,12000,159946,3,102.5
15,5,large,22,-41200,383690,9,96.42
15,5,medium,14,8300,672165,15,100.41
15,5,small,8,30100,188582,3,105.32
15,6,large,22,-6800,384906,9,99.41
15,6,medium,14,85000,683570,15,104.14
15,6,small,8,3800,149825,3,100.85
15,7,large,22,10200,370208,9,100.92
15,7,medium,14,30300,677625,15,101.49
15,7,small,8,1900,180552,3,100.35
15,8,large,22,54700,396632,9,104.6
15,8,medium,14,33400,638640,15,101.74
15,8,small,8,7200,69153,1,103.47
15,9,large,22,22800,402736,9,101.89
15,9,medium,14,24800,731062,15,101.13
15,10,large,22,22000,402569,9,101.82
15,10,medium,14,-26200,583226,12,98.5
15,11,large,22,-14200,371998,9,98.73
15,11,medium,14,7400,496518,10,100.5
15,12,large,22,6600,378086,9,100.58
15,12,medium,14,-200,528473,10,99.99
15,13,large,22,40500,368162,9,103.67
15,13,medium,14,14900,175061,4,102.84
16,1,large,22,-20900,404662,9,98.28
16,1,medium,14,40600,734104,15,101.84
16,1,small,8,11000,190803,3,101.92
16,2,large,22,69200,352181,9,106.55
16,2,medium,14,9300,628836,15,100.49
16,2,small,8,10200,149077,3,102.28
16,3,large,22,66700,374931,9,105.93
16,3,medium,14,4800,628562,15,100.25
16,3,small,8,1400,158998,3,100.29
16,4,large,22,70500,377254,9,106.23
16,4,medium,14,93100,647250,15,104.79
16,4,small,8,-2000,168556,3,99.6
16,5,large,22,9100,348612,9,100.87
16,5,medium,14,49900,635948,15,102.62
16,5,small,8,6700,158783,3,101.41
16,6,large,22,64600,366536,9,105.87
16,6,medium,14,47300,674831,15,102.34
16,6,small,8,3100,142798,3,100.72
16,7,large,22,22400,354509,9,102.11
16,7,medium,14,67100,615435,15,103.63
16,7,small,8,15600,168654,3,103.08
16,8,large,22,65900,395259,9,105.56
16,8,medium,14,83100,646942,15,104.28
16,8,small,8,1900,59981,1,101.06
16,9,large,22,11100,370665,9,101.0
16,9,medium,14,3100,675300,15,100.15
16,10,large,22,6900,347633,9,100.66
16,10,medium,14,-26300,560168,12,98.43
16,11,large,22,44800,367882,9,104.06
16,11,medium,14,50300,416492,10,104.03
16,12,large,22,-42800,354527,9,95.98
16,12,medium,14,-15100,477973,10,98.95
16,13,large,22,56000,338037,9,105.52
16,13,medium,14,23500,165320,4,104.74
17,1,large,22,51600,481654,9,103.57
17,1,medium,14,23500,886391,15,100.88
17,1,small,8,-12000,194708,3,97.95
17,2,large,22,54400,504879,9,103.59
17,2,medium,14,117600,826318,15,104.74
17,2,small,8,19800,188462,3,103.5
17,3,large,22,5200,473845,9,100.37
17,3,medium,14,58400,823415,15,102.36
17,3,small,8,6700,181741,3,101.23
17,4,large,22,26100,476606,9,101.83
17,4,medium,14,13300,826209,15,100.54
17,4,small,8,15200,193817,3,102.61
17,5,large,22,84100,465122,9,106.03
17,5,medium,14,99300,792476,15,104.18
