dd,rank_from_min,section_size_group,section_machine_count,diff_sum,games_sum,machine_count,pay_rate
1,1,large,22,-32200,891225,17,98.8
1,1,medium,14,11000,922956,19,100.4
1,1,small,8,-5400,166135,3,98.92
1,2,large,22,20900,847492,17,100.82
1,2,medium,14,66400,905594,19,102.44
1,2,small,8,8700,144976,3,102.0
1,3,large,22,30100,841607,17,101.19
1,3,medium,14,5700,865789,19,100.22
1,3,small,8,-9200,140447,3,97.82
1,4,large,22,49700,852986,17,101.94
1,4,medium,14,59100,881121,19,102.24
1,4,small,8,-3700,145172,3,99.15
1,5,large,22,2700,846771,17,100.11
1,5,medium,14,78500,832532,19,103.14
1,5,small,8,9000,148611,3,102.02
1,6,large,22,45900,841144,17,101.82
1,6,medium,14,55600,877107,19,102.11
1,6,small,8,-700,151610,3,99.85
1,7,large,22,54500,847599,17,102.14
1,7,medium,14,37700,909471,19,101.38
1,7,small,8,-5600,157891,3,98.82
1,8,large,22,-3600,846877,17,99.86
1,8,medium,14,13800,861967,19,100.53
1,8,small,8,-5300,54526,1,96.76
1,9,large,22,-26100,898283,17,99.03
1,9,medium,14,85400,926285,19,103.07
1,10,large,22,-50100,849208,17,98.03
1,10,medium,14,51200,731702,15,102.33
1,11,large,22,123300,819896,17,105.01
1,11,medium,14,31400,639613,13,101.64
1,12,large,22,8000,867347,17,100.31
1,12,medium,14,28700,651803,13,101.47
1,13,large,22,67900,851808,17,102.66
1,13,medium,14,-4200,272988,6,99.49
2,1,large,22,81800,809540,17,103.37
2,1,medium,14,85700,838622,19,103.41
2,1,small,8,-3200,138719,3,99.23
2,2,large,22,20400,759632,17,100.9
2,2,medium,14,30900,735401,19,101.4
2,2,small,8,12800,145531,3,102.93
2,3,large,22,20800,732010,17,100.95
2,3,medium,14,46200,734895,19,102.1
2,3,small,8,9900,141402,3,102.33
2,4,large,22,52500,771981,17,102.27
2,4,medium,14,109400,847442,19,104.3
2,4,small,8,1200,157301,3,100.25
2,5,large,22,51300,715736,17,102.39
2,5,medium,14,18700,740072,19,100.84
2,5,small,8,1200,130461,3,100.31
2,6,large,22,35600,749935,17,101.58
2,6,medium,14,57800,795513,19,102.42
2,6,small,8,4500,144976,3,101.03
2,7,large,22,33200,697012,17,101.59
2,7,medium,14,126700,735798,19,105.74
2,7,small,8,10300,159283,3,102.16
2,8,large,22,3800,736951,17,100.17
2,8,medium,14,88400,739307,19,103.99
2,8,small,8,2400,58759,1,101.36
2,9,large,22,-29500,716649,17,98.63
2,9,medium,14,41600,789718,19,101.76
2,10,large,22,15300,720548,17,100.71
2,10,medium,14,8600,621630,15,100.46
2,11,large,22,50000,701506,17,102.38
2,11,medium,14,-4000,539913,13,99.75
2,12,large,22,28500,735904,17,101.29
2,12,medium,14,-7900,543397,13,99.52
2,13,large,22,-23600,714616,17,98.9
2,13,medium,14,-3900,214141,6,99.39
3,1,large,22,-62900,839189,17,97.5
3,1,medium,14,113400,859213,19,104.4
3,1,small,8,8300,169029,3,101.64
3,2,large,22,13200,744045,17,100.59
3,2,medium,14,73500,809804,19,103.03
3,2,small,8,16300,167982,3,103.23
3,3,large,22,49900,789805,17,102.11
3,3,medium,14,83400,800550,19,103.47
3,3,small,8,14900,175044,3,102.84
3,4,large,22,-44800,748865,17,98.01
3,4,medium,14,66700,796003,19,102.79
3,4,small,8,3800,147771,3,100.86
3,5,large,22,-3800,761535,17,99.83
3,5,medium,14,77700,748082,19,103.46
3,5,small,8,17400,149580,3,103.88
3,6,large,22,14000,730235,17,100.64
3,6,medium,14,101100,793107,19,104.25
3,6,small,8,3900,142802,3,100.91
