dd,rank_from_min,section_size_group,section_machine_count,diff_sum,games_sum,machine_count,pay_rate
5,4,large,22,10100,646220,14,100.52
5,4,medium,14,-24900,482999,11,98.28
5,5,large,22,75500,661386,14,103.81
5,5,medium,14,49800,551525,11,103.01
5,6,large,22,25800,663932,14,101.3
5,6,medium,14,1600,495554,11,100.11
5,7,large,22,47400,644817,14,102.45
5,7,medium,14,-800,516109,11,99.95
5,8,large,22,-10200,650159,14,99.48
5,8,medium,14,47300,514604,11,103.06
5,9,large,22,49900,639267,14,102.6
5,9,medium,14,18500,493119,11,101.25
5,10,large,22,12500,658390,14,100.63
5,10,medium,14,62300,477469,10,104.35
5,11,large,22,41400,703122,14,101.96
5,11,medium,14,14600,427796,9,101.14
5,12,large,22,36000,695630,14,101.73
5,12,medium,14,-15800,415311,9,98.73
5,13,large,22,12700,647699,14,100.65
5,13,medium,14,1400,307373,6,100.15
6,1,large,22,-58000,709021,14,97.27
6,1,medium,14,3500,544429,11,100.21
6,2,large,22,21900,610082,14,101.2
6,2,medium,14,-9800,463472,11,99.3
6,3,large,22,36600,628131,14,101.94
6,3,medium,14,-11300,467209,11,99.19
6,4,large,22,57000,610460,14,103.11
6,4,medium,14,15400,459607,11,101.12
6,5,large,22,45400,641730,14,102.36
6,5,medium,14,34100,483219,11,102.35
6,6,large,22,-10900,640522,14,99.43
6,6,medium,14,-7800,537745,11,99.52
6,7,large,22,12100,639061,14,100.63
6,7,medium,14,21800,458670,11,101.58
6,8,large,22,-11200,650176,14,99.43
6,8,medium,14,34100,491445,11,102.31
6,9,large,22,54200,645392,14,102.8
6,9,medium,14,51000,490417,11,103.47
6,10,large,22,17600,628083,14,100.93
6,10,medium,14,5100,474208,10,100.36
6,11,large,22,-45000,642504,14,97.67
6,11,medium,14,52300,383568,9,104.55
6,12,large,22,31000,660486,14,101.56
6,12,medium,14,13800,394297,9,101.17
6,13,large,22,42000,617100,14,102.27
6,13,medium,14,12500,288070,6,101.45
7,1,large,22,8700,1077727,14,100.27
7,1,medium,14,32400,789320,11,101.37
7,2,large,22,50700,981710,14,101.72
7,2,medium,14,80500,770165,11,103.48
7,3,large,22,46800,983096,14,101.59
7,3,medium,14,31700,780536,11,101.35
7,4,large,22,87700,1014122,14,102.88
7,4,medium,14,77300,760736,11,103.39
7,5,large,22,38200,963397,14,101.32
7,5,medium,14,89300,769451,11,103.87
7,6,large,22,32600,961217,14,101.13
7,6,medium,14,65400,743806,11,102.93
7,7,large,22,74100,977393,14,102.53
7,7,medium,14,63200,755611,11,102.79
7,8,large,22,54300,970996,14,101.86
7,8,medium,14,67800,739593,11,103.06
7,9,large,22,152100,1003695,14,105.05
7,9,medium,14,58500,760110,11,102.57
7,10,large,22,83000,992146,14,102.79
7,10,medium,14,42200,659693,10,102.13
7,11,large,22,110600,957654,14,103.85
7,11,medium,14,44300,613571,9,102.41
7,12,large,22,61000,1002080,14,102.03
7,12,medium,14,53500,637720,9,102.8
7,13,large,22,65300,971876,14,102.24
7,13,medium,14,43700,443524,6,103.28
8,1,large,22,7700,818333,14,100.31
8,1,medium,14,-1900,618356,11,99.9
8,2,large,22,200,738083,14,100.01
8,2,medium,14,55100,572356,11,103.21
8,3,large,22,12600,716774,14,100.59
8,3,medium,14,71900,558445,11,104.29
8,4,large,22,13200,691928,14,100.64
8,4,medium,14,65800,563718,11,103.89
8,5,large,22,30700,714425,14,101.43
8,5,medium,14,31100,507935,11,102.04
8,6,large,22,12400,670968,14,100.62
8,6,medium,14,35100,549333,11,102.13
8,7,large,22,59900,658157,14,103.03
8,7,medium,14,6200,520932,11,100.4
8,8,large,22,44200,719098,14,102.05
8,8,medium,14,7300,555654,11,100.44
8,9,large,22,11400,694565,14,100.55
8,9,medium,14,5100,542709,11,100.31
8,10,large,22,14400,743726,14,100.65
8,10,medium,14,46000,494442,10,103.1
8,11,large,22,54400,719381,14,102.52
8,11,medium,14,11700,466815,9,100.84
8,12,large,22,-9500,728283,14,99.57
8,12,medium,14,20400,470068,9,101.45
8,13,large,22,29900,710454,14,101.4
8,13,medium,14,15300,307434,6,101.66
9,1,large,22,-1800,757403,14,99.92
9,1,medium,14,33600,600322,11,101.87
9,2,large,22,-16800,725612,14,99.23
9,2,medium,14,51400,575327,11,102.98
9,3,large,22,54800,716079,14,102.55
9,3,medium,14,65000,567750,11,103.82
9,4,large,22,44300,739528,14,102.0
9,4,medium,14,59900,547143,11,103.65
9,5,large,22,47100,690405,14,102.27
9,5,medium,14,14300,509914,11,100.93
9,6,large,22,24600,704454,14,101.16
9,6,medium,14,44100,570212,11,102.58
9,7,large,22,53500,682888,14,102.61
9,7,medium,14,72800,558323,11,104.35
9,8,large,22,7900,756499,14,100.35
9,8,medium,14,48100,561732,11,102.85
9,9,large,22,67200,710439,14,103.15
9,9,medium,14,47200,537500,11,102.93
9,10,large,22,12500,681707,14,100.61
9,10,medium,14,55700,532299,10,103.49
9,11,large,22,53600,682776,14,102.62
9,11,medium,14,-15600,451676,9,98.85
9,12,large,22,96900,693623,14,104.66
9,12,medium,14,26800,485157,9,101.84
9,13,large,22,-29600,735411,14,98.66
9,13,medium,14,22600,312736,6,102.41
10,1,large,22,9000,790680,14,100.38
10,1,medium,14,31000,611959,11,101.69
10,2,large,22,-45800,772818,14,98.02
10,2,medium,14,-56700,545018,11,96.53
10,3,large,22,-25000,766661,14,98.91
10,3,medium,14,-13000,585392,11,99.26
10,4,large,22,69100,721771,14,103.19
10,4,medium,14,58600,599615,11,103.26
10,5,large,22,-43400,721453,14,97.99
10,5,medium,14,12700,567228,11,100.75
10,6,large,22,30900,698795,14,101.47
10,6,medium,14,38300,569797,11,102.24
10,7,large,22,80100,753753,14,103.54
10,7,medium,14,42300,541794,11,102.6
10,8,large,22,12900,746017,14,100.58
10,8,medium,14,-23500,531586,11,98.53
10,9,large,22,113300,771439,14,104.9
10,9,medium,14,46600,634870,11,102.45
10,10,large,22,17500,740579,14,100.79
10,10,medium,14,-4300,493809,10,99.71
10,11,large,22,26300,756389,14,101.16
10,11,medium,14,-2600,472270,9,99.82
10,12,large,22,129600,773094,14,105.59
10,12,medium,14,11800,485014,9,100.81
10,13,large,22,10400,800995,14,100.43
10,13,medium,14,14000,324733,6,101.44
11,1,large,22,-200,912912,14,99.99
11,1,medium,14,-22600,687789,11,98.9
11,2,large,22,-47900,883672,14,98.19
11,2,medium,14,34700,644264,11,101.8
11,3,large,22,37500,821883,14,101.52
11,3,medium,14,-3700,636647,11,99.81
11,4,large,22,46800,882144,14,101.77
11,4,medium,14,10300,661381,11,100.52
11,5,large,22,42500,871232,14,101.63
11,5,medium,14,61000,655601,11,103.1
