hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
蒲田7,日,False,ビッグドリーム THE GOLDEN PUSHER,other,20,60.0,38.983050847457626,21.016949152542374,1,100,0.0311879022563162,0.38984877820395253,False
蒲田7,日,False,回胴黙示録カイジ 狂宴,other,18,66.66666666666666,50.79365079365079,15.873015873015866,2,99,0.15633547030872436,0.5869285025789901,False
蒲田7,日,False,不二子BT,bt,62,45.16129032258064,30.0,15.16129032258064,3,98,0.003942425993523989,0.13141419978413296,False
蒲田7,日,False,押忍!番長ZERO,other,26,61.53846153846154,49.18032786885246,12.358133669609082,4,97,0.16986826934700222,0.5869285025789901,False
蒲田7,日,False,プリズムナナ,other,69,40.57971014492754,28.30957230142566,12.270137843501878,5,96,0.009220928691010207,0.18441857382020413,False
蒲田7,日,False,バイオハザード RE:3,other,48,39.58333333333333,28.666666666666668,10.91666666666666,6,95,0.04939928310169226,0.4116606925141022,False
蒲田7,日,False,とある科学の超電磁砲2,other,103,40.77669902912621,31.478770131771594,9.29792889735462,7,94,0.017687637362404512,0.25587200866439996,False
蒲田7,日,False,防空少女ラブキューレ2～極限の共鳴～,other,21,57.14285714285714,47.97297297297297,9.16988416988417,8,93,0.3844001893567082,0.7351209071149098,False
蒲田7,日,False,攻殻機動隊,other,48,41.66666666666667,32.7683615819209,8.898305084745772,9,92,0.16024405416143792,0.5869285025789901,False
蒲田7,日,False,咲‐Saki‐ 頂上決戦,other,46,36.95652173913043,28.22085889570552,8.735662843424912,10,91,0.1335769070552174,0.5869285025789901,False
蒲田7,日,False,七つの魔剣が支配する,other,238,41.596638655462186,33.274544385655496,8.32209426980669,11,90,0.0017150745806307956,0.08575372903153979,False
蒲田7,日,False,バーサスリヴァイズ,bt,147,42.857142857142854,34.68426013195099,8.172882725191862,12,89,0.017911040606508,0.25587200866439996,False
蒲田7,日,False,マジカルハロウィン ボーナストリガー,bt,25,36.0,27.95031055900621,8.049689440993792,13,88,0.26559755899108933,0.6810193820284342,False
蒲田7,日,False,範馬刃牙,other,50,42.0,34.105960264900666,7.894039735099334,14,87,0.17403217966770157,0.5869285025789901,False
蒲田7,日,False,銀河英雄伝説 Die Neue These,other,16,37.5,29.807692307692307,7.692307692307693,15,86,0.41385872491041886,0.7351209071149098,False
蒲田7,日,False,翔べ！ハーレムエース,bt,29,44.827586206896555,37.4384236453202,7.389162561576356,16,85,0.3394687932527499,0.733193928061901,False
蒲田7,日,False,真・一騎当千,other,42,42.857142857142854,35.526315789473685,7.330827067669169,17,84,0.257507435580429,0.6776511462642868,False
蒲田7,日,False,戦国†恋姫,bt,27,40.74074074074074,33.50785340314136,7.232887337599379,18,83,0.41041650486240167,0.7351209071149098,False
蒲田7,日,False,ミリオンゴッド‐神々の軌跡‐,other,125,32.0,25.513196480938415,6.486803519061585,19,82,0.06134636586809189,0.4118038968074856,False
蒲田7,日,False,ラブ嬢3～Wご指名はいかがですか?～,other,18,50.0,43.65079365079365,6.349206349206348,20,81,0.6351396937657888,0.8783013971121622,False
蒲田7,日,False,アズールレーン THE ANIMATION,other,286,38.46153846153847,32.1760391198044,6.2854993417340665,21,80,0.00878079230957736,0.18441857382020413,False
蒲田7,日,False,SHAKE BONUS TRIGGER,bt,102,33.33333333333333,27.461858529819693,5.871474803513635,22,79,0.11749877518183956,0.5869285025789901,False
蒲田7,日,False,ゴブリンスレイヤーII,other,41,31.70731707317073,26.337448559670783,5.369868513499949,23,78,0.3684269191626092,0.7351209071149098,False
蒲田7,日,False,ウルトラミラクルジャグラー,jug,245,31.83673469387755,26.884139482564677,4.952595211312872,24,77,0.04915218070344492,0.4116606925141022,False
蒲田7,日,False,クランキークレスト,bt,52,38.46153846153847,33.51063829787234,4.950900163666127,25,76,0.3779841827362442,0.7351209071149098,False
蒲田7,日,False,わたしの幸せな結婚,other,80,38.75,33.92857142857143,4.821428571428569,26,75,0.2868283947380855,0.6829247493763941,False
蒲田7,日,False,マイジャグラーV,jug,2789,31.301541771244175,27.006940000984397,4.294601770259778,27,74,4.778773940171233e-09,4.778773940171233e-07,True
蒲田7,日,False,スマスロ炎炎ノ消防隊,other,122,35.24590163934426,31.16883116883117,4.0770704705130925,28,73,0.27909095263479333,0.6829247493763941,False
蒲田7,日,False,無職転生 ～異世界行ったら本気だす～,other,130,36.15384615384615,32.261521972132904,3.8923241817132492,29,72,0.29934775660974206,0.696157573511028,False
