machine_name,category,n_halls,halls,weekdays,weekday_matches_across_halls
うみねこのなく頃に2,bt,2,みとや;蒲田7,土;金,
とある科学の超電磁砲2,other,2,みとや;蒲田7,土;日;水,
シャーマンキング,other,2,みとや;楽園,土;日,
スマスロ秘宝伝,other,2,蒲田7;楽園,日;水;月,
スーパーリオエース2,other,2,蒲田7;楽園,金;日,
バイオハザード RE:3,other,2,蒲田7;楽園,日;水,日
マジカルハロウィン ボーナストリガー,bt,2,蒲田7;楽園,水;月,
ヨルムンガンド,other,2,蒲田7;楽園,金;日,
主役は銭形5,other,2,みとや;蒲田7,土;日,
咲‐Saki‐ 頂上決戦,other,2,蒲田7;楽園,日,日
回胴黙示録カイジ 狂宴,other,2,蒲田7;楽園,日;水,日
無職転生 ～異世界行ったら本気だす～,other,2,蒲田7;楽園,水;日,
真打 吉宗,other,2,みとや;楽園,土;日,
転生したら剣でした,other,2,みとや;蒲田7,土;水;金,
麻雀物語,other,2,みとや;蒲田7,土;金,
