hall,machine_name,category,n_appearances,weekdays_appeared,residuals_at_each_weekday,n_machine_significant_appearances
蒲田7,ハイビリターン‐30,bt,3,水;金;日,-11.3;+6.6;-12.3,0
蒲田7,プリズムナナ,other,3,水;金;日,+12.3;+6.5;-8.0,0
蒲田7,押忍!番長ZERO,other,3,水;金;日,+12.4;+8.5;-18.4,0
蒲田7,攻殻機動隊,other,3,水;金;日,+8.9;-10.5;+8.9,0
楽園,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,other,2,月;日,+12.7;+12.4,0
蒲田7,とある科学の超電磁砲2,other,2,水;日,+9.3;+5.4,0
蒲田7,スマスロ秘宝伝,other,2,水;日,-4.1;+10.4,0
蒲田7,ハイパーラッシュ,bt,2,金;日,-5.2;-10.8,0
蒲田7,バイオハザード RE:3,other,2,水;日,+10.9;-7.7,0
蒲田7,ビッグドリーム THE GOLDEN PUSHER,other,2,金;日,+21.0;-22.3,0
蒲田7,回胴黙示録カイジ 狂宴,other,2,水;日,+15.9;-17.5,0
蒲田7,押忍！番長4,other,2,水;金,-13.2;-9.7,0
蒲田7,転生したら剣でした,other,2,水;金,+5.8;-7.0,0
蒲田7,防空少女ラブキューレ2～極限の共鳴～,other,2,水;日,+9.2;-16.4,0
