hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
楽園,日,False,バイオハザード RE:3,other,31,38.70967741935484,25.268817204301076,13.440860215053764,1,181,0.04958308407436032,0.44988567753894376,False
楽園,日,False,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,other,25,64.0,51.28205128205128,12.717948717948723,2,180,0.11331459828059243,0.4950317100230561,False
楽園,日,False,ヨルムンガンド,other,31,32.25806451612903,22.22222222222222,10.03584229390681,3,179,0.11351718661276106,0.4950317100230561,False
楽園,日,False,無職転生 ～異世界行ったら本気だす～,other,78,34.61538461538461,24.6031746031746,10.012210012210012,4,178,0.020658252194167392,0.3365673609127906,False
楽園,日,False,真打 吉宗,other,40,37.5,28.413284132841326,9.086715867158674,5,177,0.15199357396121704,0.5391317472528824,False
楽園,日,False,ガメラ2,other,53,49.056603773584904,40.058479532163744,8.99812424142116,6,176,0.12099107450720661,0.4977132837682818,False
楽園,日,False,シャーマンキング,other,133,37.59398496240601,28.9544235924933,8.639561369912713,7,175,0.008220763089274802,0.32517908717106103,False
楽園,日,False,咲‐Saki‐ 頂上決戦,other,25,44.0,35.714285714285715,8.285714285714285,8,174,0.2958594363508327,0.669381974743759,False
楽園,日,False,シン・エヴァンゲリオン,other,24,41.66666666666667,33.582089552238806,8.084577114427866,9,173,0.3801009270276459,0.6879826779200391,False
楽園,日,False,ひぐらしのなく頃に祭2,bt,78,41.02564102564102,33.586337760910816,7.439303264730206,10,172,0.11486923657993567,0.4950317100230561,False
楽園,日,False,シャア専用パチスロ 逆襲の赤い彗星,other,66,42.42424242424242,35.12195121951219,7.302291204730231,11,171,0.1518348294373163,0.5391317472528824,False
楽園,日,False,Re:ゼロから始める異世界生活 season2,other,49,32.6530612244898,25.454545454545453,7.198515769944343,12,170,0.17842509561797357,0.5391317472528824,False
楽園,日,False,沖ドキ!DUO アンコール,oki,94,32.97872340425532,27.106227106227106,5.872496298028214,13,169,0.1256492424678646,0.5053891752596331,False
楽園,日,False,花火絶景,other,58,36.206896551724135,30.46594982078853,5.740946730935605,14,168,0.24655805365558334,0.5995177347921183,False
楽園,日,False,ようこそ実力至上主義の教室へ,other,38,31.57894736842105,25.96685082872928,5.61209653969177,15,167,0.3444257588123426,0.6703340037100431,False
楽園,日,False,鬼武者3,other,24,45.83333333333333,40.67796610169492,5.155367231638408,16,166,0.540378698914725,0.8143579007177524,False
楽園,日,False,真・一騎当千,other,68,33.82352941176471,28.73051224944321,5.093017162321502,17,165,0.27965571861823035,0.640730190758224,False
