hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
みとや,土,False,ありふれた職業で世界最強,other,34,52.94117647058824,29.357798165137616,23.583378305450623,1,93,0.000496936911722287,0.02310756639508634,True
みとや,土,False,真打 吉宗,other,21,57.14285714285714,35.22012578616352,21.922731356693617,2,92,0.018092010479906797,0.24036528209019029,False
みとや,土,False,とある科学の超電磁砲2,other,30,46.666666666666664,32.631578947368425,14.03508771929824,3,91,0.07020749078422057,0.5022535879178857,False
みとや,土,False,ナイツ,bt,18,44.44444444444444,30.57851239669421,13.865932047750231,4,90,0.18620003007563252,0.6419092625527697,False
みとや,土,False,頭文字D 2nd,other,50,44.0,33.03030303030303,10.969696969696969,5,89,0.06519046537809234,0.5022535879178857,False
みとや,土,False,主役は銭形5,other,64,43.75,33.65617433414044,10.093825665859562,6,88,0.044329818130893116,0.44212934061472603,False
みとや,土,False,化物語,other,142,40.140845070422536,30.50505050505051,9.635794565372027,7,87,0.0040058560444103525,0.07450892242603256,False
みとや,土,False,チバリヨ2プラス,other,33,39.39393939393939,29.949238578680205,9.444700815259186,8,86,0.17363933826446232,0.6419092625527697,False
みとや,土,False,シャーマンキング,other,71,39.436619718309856,30.13392857142857,9.302691146881287,9,85,0.0475407893134114,0.44212934061472603,False
みとや,土,False,バンドリ！,other,20,40.0,31.03448275862069,8.96551724137931,10,84,0.32535125941387005,0.7564416781372478,False
みとや,土,False,新鬼武者2,other,23,34.78260869565217,26.27118644067797,8.511422254974203,11,83,0.23001543744953867,0.6656435680044992,False
みとや,土,False,マギアレコード 魔法少女まどか☆マギカ外伝,other,344,42.44186046511628,34.33098591549296,8.110874549623318,12,82,0.00022947941302756608,0.021341585411563644,True
みとや,土,False,東京リベンジャーズ,other,218,38.07339449541284,30.057803468208093,8.01559102720475,13,81,0.002616304628365457,0.060829082609496876,False
みとや,土,False,回胴黙示録カイジ 狂宴,other,50,36.0,28.09667673716012,7.90332326283988,14,80,0.15001109647640296,0.6419092625527697,False
みとや,土,False,咲‐Saki‐ 頂上決戦,other,23,26.08695652173913,18.620689655172416,7.466266866566713,15,79,0.2671419642442889,0.7098343621348248,False
みとや,土,False,主役は銭形4,other,46,34.78260869565217,27.536231884057973,7.2463768115941996,16,78,0.18135721519925047,0.6419092625527697,False
みとや,土,False,押忍！番長4,other,56,35.714285714285715,29.565217391304348,6.149068322981368,17,77,0.23619610477579006,0.6656435680044992,False
みとや,土,False,ゴジラ対エヴァンゲリオン,other,58,27.586206896551722,21.6,5.986206896551721,18,76,0.19268067519264714,0.6419092625527697,False
みとや,土,False,アズールレーン THE ANIMATION,other,114,33.33333333333333,28.15405046480744,5.179282868525888,19,75,0.14206451904787562,0.6419092625527697,False
みとや,土,False,ダンベル何キロ持てる？,other,69,33.33333333333333,28.322440087145967,5.010893246187361,20,74,0.2811616269359838,0.7109573856789894,False
みとや,土,False,甲鉄城のカバネリ,other,261,38.69731800766284,34.32383262583384,4.373485381828999,21,73,0.07689125976544534,0.5107776541561726,False
みとや,土,False,機動戦士ガンダムSEED,other,29,24.137931034482758,19.867549668874172,4.270381365608586,22,72,0.47551851508537896,0.9025147327130663,False
みとや,土,False,アレックス ブライト,bt,115,33.04347826086956,28.836633663366335,4.206844597503228,23,71,0.2541186819712544,0.695089335980196,False
