debut_phase_full,family,is_any_event,n,n_machines,avg_diff,plus_rate,avg_games,note
181日+,bt,0,132,3,-32,35.6,3242.3,
181日+,bt,1,142,4,158,43.0,4550.6,
181日+,jug,0,1951,1,68,38.7,3140.5,
181日+,jug,1,1975,1,186,44.7,4932.3,
181日+,other,0,2241,9,14,31.2,2875.1,
181日+,other,1,2258,12,181,36.4,4699.7,
定番(pre),bt,0,7054,12,285,47.8,4249.9,
定番(pre),bt,1,6756,12,262,48.3,5253.9,
定番(pre),hana,0,2864,1,289,43.8,4889.4,
定番(pre),hana,1,2688,1,299,45.4,5962.5,
定番(pre),jug,0,26109,8,161,40.8,4361.1,
定番(pre),jug,1,24732,8,311,47.2,5865.9,
定番(pre),other,0,56586,39,244,39.0,3325.3,
定番(pre),other,1,54851,39,313,42.3,4402.5,
