segment6,rank_basis,kakuban_group,weekday,n,all_weekday_mean_residual,weekday_mean_residual,weekday_specific_effect,t_stat,p_value,q_value,significant
2F_L_N,rank_from_max,K2,Mon,854,99.41388324732632,37.53031895053868,-61.883564296787604,-0.6320881098561896,0.5274986774439182,1.0,False
2F_L_N,rank_from_max,K2,Thu,753,99.41388324732632,64.8543683269486,-34.559514920377694,-0.32728495040544703,0.7435434581851211,1.0,False
2F_L_N,rank_from_max,K2,Tue,848,99.41388324732632,167.1035468878144,67.68966364048808,0.6369035811100099,0.5243597458718041,1.0,False
2F_L_N,rank_from_max,K3-4,Tue,1776,70.0742823497375,262.7759429643621,192.7016606146246,2.5012457098469367,0.012465187207985258,0.08725631045589681,False
2F_L_N,rank_from_max,K3-4,Wed,1730,70.0742823497375,-64.19027132525942,-134.264553674997,-1.8862491437983078,0.05942885052923678,0.4160019537046574,False
2F_L_N,rank_from_max,K3-4,Thu,1561,70.0742823497375,187.4924689632927,117.41818661355515,1.4666796939768225,0.1426647596626964,0.9986533176388748,False
2F_L_N,rank_from_max,K3-4,Fri,1701,70.0742823497375,88.30501237493667,18.23073002519911,0.25045167386082545,0.8022683363121318,1.0,False
2F_L_N,rank_from_max,K3-4,Mon,1733,70.0742823497375,29.49674273958921,-40.577539610148335,-0.5686519181980643,0.5696661061596664,1.0,False
2F_L_N,rank_from_max,K3-4,Sat,2179,70.0742823497375,-10.32698231963275,-80.40126466937029,-1.1646319198154467,0.24429556404705507,1.0,False
2F_L_N,rank_from_max,K3-4,Sun,2050,70.0742823497375,31.661843027051066,-38.41243932268649,-0.559292050559503,0.5760235445942239,1.0,False
2F_L_N,rank_from_max,K5-9,Sat,6022,109.48765596632519,1.4262144096745617,-108.06144155665066,-2.539269723587384,0.011133360805055434,0.07793352563538804,False
2F_L_N,rank_from_max,K5-9,Tue,4898,109.48765596632519,217.4001258068134,107.9124698404882,2.3483977260741966,0.01889393309943219,0.13225753169602533,False
2F_L_N,rank_from_max,K5-9,Thu,4225,109.48765596632519,219.7085673424692,110.22091137614397,2.3284020629926734,0.019937727113205128,0.1395640897924359,False
2F_L_N,rank_from_max,K5-9,Wed,4768,109.48765596632519,197.54817412657363,88.06051816024839,1.9219083836303958,0.05467682962151299,0.38273780735059093,False
2F_L_N,rank_from_max,K5-9,Sun,5636,109.48765596632519,32.92626132883615,-76.56139463748903,-1.8420526052559392,0.0655199679137094,0.4586397753959658,False
2F_L_N,rank_from_max,K5-9,Fri,4703,109.48765596632519,77.24167553972686,-32.24598042659837,-0.7573654694684626,0.44886888859886687,1.0,False
2F_L_N,rank_from_max,K5-9,Mon,4743,109.48765596632519,71.49222875703695,-37.995427209288266,-0.8880740004356849,0.37454598921488597,1.0,False
2F_R_A,rank_from_max,K1,Fri,190,-39.23840635408661,-62.856516290726816,-23.618109936640163,-0.1986095466660502,0.842781665255109,1.0,False
2F_R_A,rank_from_max,K1,Mon,178,-39.23840635408661,43.584135901551605,82.82254225563828,0.7124589228119332,0.47711875383816876,1.0,False
2F_R_A,rank_from_max,K1,Sat,202,-39.23840635408661,-79.79255068363979,-40.55414432955315,-0.35836356089389865,0.7204473479919219,1.0,False
2F_R_A,rank_from_max,K1,Sun,195,-39.23840635408661,-90.74725274725273,-51.5088463931661,-0.40694778264763093,0.6844949676035067,1.0,False
2F_R_A,rank_from_max,K1,Thu,175,-39.23840635408661,-54.13333333333334,-14.894926979246666,-0.14927670355145795,0.8815081737693402,1.0,False
2F_R_A,rank_from_max,K1,Tue,178,-39.23840635408661,11.974986623863014,51.21339297794969,0.44050111899169203,0.6601116977298472,1.0,False
2F_R_A,rank_from_max,K1,Wed,183,-39.23840635408661,-31.195680457975534,8.04272589611111,0.07588146476925253,0.9395967495404237,1.0,False
2F_R_A,rank_from_max,K10-14,Fri,98,21.35898485468687,17.281341107871736,-4.077643746815167,-0.0242780241719219,0.9806807170479505,1.0,False
2F_R_A,rank_from_max,K10-14,Mon,100,21.35898485468687,85.40714285714286,64.04815800245598,0.3641379491201449,0.7165315626787727,1.0,False
2F_R_A,rank_from_max,K10-14,Sat,104,21.35898485468687,-114.9175824175824,-136.2765672722693,-0.7495119206501044,0.45525717708925295,1.0,False
2F_R_A,rank_from_max,K10-14,Sun,102,21.35898485468687,178.01820728291327,156.6592224282263,0.8173930803640639,0.4156278607460975,1.0,False
2F_R_A,rank_from_max,K10-14,Thu,99,21.35898485468687,19.18470418470414,-2.174280669982744,-0.014687756035371678,0.9883111479213943,1.0,False
2F_R_A,rank_from_max,K10-14,Tue,95,21.35898485468687,7.481203007518799,-13.87778184716808,-0.07457213822093674,0.9407136110019879,1.0,False
2F_R_A,rank_from_max,K10-14,Wed,100,21.35898485468687,-41.42142857142857,-62.780413426115445,-0.3970118320791809,0.6922133239812057,1.0,False
2F_R_A,rank_from_max,K15+,Sat,2,-441.2337662337662,1188.6363636363637,1629.8701298701299,31.180124223602498,0.020410490600424006,0.08164196240169602,False
2F_R_A,rank_from_max,K15+,Fri,3,-441.2337662337662,-1718.181818181818,-1276.9480519480521,-4.032929193148001,0.056337948361319105,0.22535179344527642,False
2F_R_A,rank_from_max,K15+,Thu,2,-441.2337662337662,659.090909090909,1100.3246753246754,0.7859461966604824,0.5759395412404418,1.0,False
2F_R_A,rank_from_max,K15+,Tue,4,-441.2337662337662,-1061.3636363636363,-620.1298701298701,-0.7333376948646627,0.516461439867909,1.0,False
2F_R_A,rank_from_max,K15+,Mon,1,-441.2337662337662,595.4545454545455,1036.6883116883116,,,,False
2F_R_A,rank_from_max,K15+,Sun,1,-441.2337662337662,-786.3636363636364,-345.1298701298702,,,,False
2F_R_A,rank_from_max,K15+,Wed,1,-441.2337662337662,-281.81818181818187,159.4155844155843,,,,False
2F_R_A,rank_from_max,K2,Thu,164,63.23794199900395,255.42392566782812,192.18598366882424,1.6296689671607438,0.10510246590600061,0.7357172613420043,False
2F_R_A,rank_from_max,K2,Fri,176,63.23794199900395,-98.91166125541123,-162.14960325441515,-1.539679983887774,0.1254445927726589,0.8781121494086124,False
2F_R_A,rank_from_max,K2,Mon,163,63.23794199900395,46.661554192229055,-16.57638780677486,-0.1382660993430434,0.890201833215481,1.0,False
2F_R_A,rank_from_max,K2,Sat,198,63.23794199900395,-32.67255892255893,-95.91050092156281,-0.8158016266709974,0.41559888498461184,1.0,False
2F_R_A,rank_from_max,K2,Sun,191,63.23794199900395,-6.357516828721015,-69.59545882772488,-0.5721204651431613,0.5679166548654229,1.0,False
2F_R_A,rank_from_max,K2,Tue,178,63.23794199900395,166.5977795612627,103.35983756225883,0.8198460041525336,0.41340653401165506,1.0,False
2F_R_A,rank_from_max,K2,Wed,173,63.23794199900395,141.8896229011836,78.65168090217972,0.5683189071708474,0.5705596585061945,1.0,False
2F_R_A,rank_from_max,K3-4,Sat,308,66.5565320429393,-133.64546438410073,-200.20199642704006,-2.2540163987957365,0.02490011526607435,0.17430080686252045,False
2F_R_A,rank_from_max,K3-4,Fri,270,66.5565320429393,201.82090748757415,135.26437544463482,1.4717026924699612,0.1422700878739939,0.9958906151179573,False
2F_R_A,rank_from_max,K3-4,Mon,251,66.5565320429393,118.98169227850504,52.425160235565684,0.5736230657306846,0.5667385623186335,1.0,False
2F_R_A,rank_from_max,K3-4,Sun,285,66.5565320429393,85.47619047619047,18.919658433251147,0.19672803143345693,0.8441810804086137,1.0,False
2F_R_A,rank_from_max,K3-4,Thu,239,66.5565320429393,86.95923671865093,20.40270467571161,0.2267584173276615,0.8208062426329616,1.0,False
2F_R_A,rank_from_max,K3-4,Tue,268,66.5565320429393,120.55929766750661,54.002765624567296,0.516135427134872,0.606186993953991,1.0,False
2F_R_A,rank_from_max,K3-4,Wed,255,66.5565320429393,16.52134793311264,-50.03518410982674,-0.5223629630868043,0.6018729175646355,1.0,False
2F_R_A,rank_from_max,K5-9,Sat,694,36.6954177328248,-95.14998690070736,-131.84540463353213,-2.1802374929856954,0.029575601298613023,0.20702920909029116,False
2F_R_A,rank_from_max,K5-9,Thu,561,36.6954177328248,128.48513785679563,91.78972012397082,1.5611014967129007,0.1190647233562776,0.8334530634939432,False
2F_R_A,rank_from_max,K5-9,Mon,571,36.6954177328248,131.914106034071,95.21868830124622,1.5166557878410347,0.12990798490401406,0.9093558943280984,False
2F_R_A,rank_from_max,K5-9,Fri,617,36.6954177328248,9.337809678166243,-27.357608054658556,-0.460212364253132,0.6455261987488343,1.0,False
