weekday,segment6,rank_basis,kakuban_group,n,mean_residual,median_residual,std_residual,mean_games
Fri,2F_L_A,rank_from_max,K1,208,30.627861721611698,-66.25,1518.2977925122439,5413.9807692307695
Fri,2F_L_A,rank_from_max,K10-14,156,236.55982905982904,-20.83333333333335,1637.0612677132315,5382.955128205128
Fri,2F_L_A,rank_from_max,K2,186,8.0805171530978,-200.0,1562.9904681741637,5077.091397849463
Fri,2F_L_A,rank_from_max,K3-4,449,361.1284335560505,40.0,1662.4516940877597,5288.371937639198
Fri,2F_L_A,rank_from_max,K5-9,605,107.78709169618263,-60.0,1583.0872791182712,5119.304132231405
Fri,2F_L_N,rank_from_max,K1,906,-126.51950163198708,-624.2647058823529,2889.5530908908436,4633.5110375275935
Fri,2F_L_N,rank_from_max,K10-14,2993,132.83445538103467,-505.88235294117646,3035.927236488719,4432.948212495824
Fri,2F_L_N,rank_from_max,K15+,1138,-12.169622801988645,-515.6417112299465,3104.546377413777,4647.227592267135
Fri,2F_L_N,rank_from_max,K2,839,284.5354803434275,-247.05882352941177,3054.683322237533,4528.342073897497
Fri,2F_L_N,rank_from_max,K3-4,1701,88.30501237493667,-488.8888888888889,3002.1492419764572,4544.694297472075
Fri,2F_L_N,rank_from_max,K5-9,4703,77.24167553972686,-460.0,2919.8300570956026,4406.516266213055
Fri,2F_R_A,rank_from_max,K1,190,-62.856516290726816,-121.42857142857144,1639.161783830423,5432.621052631579
Fri,2F_R_A,rank_from_max,K10-14,98,17.281341107871736,150.0,1662.6811695651866,5569.34693877551
Fri,2F_R_A,rank_from_max,K15+,3,-1718.181818181818,-1750.0,548.4199693755849,3770.6666666666665
Fri,2F_R_A,rank_from_max,K2,176,-98.91166125541123,-300.0,1397.1458992197563,4990.221590909091
Fri,2F_R_A,rank_from_max,K3-4,270,201.82090748757415,114.28571428571428,1510.237428461861,5464.970370370371
Fri,2F_R_A,rank_from_max,K5-9,617,9.337809678166243,-157.1428571428571,1476.5984997299176,5218.341977309562
Fri,2F_R_N,rank_from_max,K1,935,-213.94644588573493,-766.6666666666666,2948.3453071065005,4423.100534759358
Fri,2F_R_N,rank_from_max,K10-14,2961,128.0571663852104,-488.2352941176471,3014.351217754349,4270.046943600135
Fri,2F_R_N,rank_from_max,K15+,1137,52.99846791679013,-529.4117647058823,3051.7574194296726,4315.0008795074755
Fri,2F_R_N,rank_from_max,K2,866,275.21089100298786,-320.83333333333337,3107.3557433600886,4308.456120092379
Fri,2F_R_N,rank_from_max,K3-4,1641,221.6248455684148,-400.0,2994.810851558043,4349.515539305302
Fri,2F_R_N,rank_from_max,K5-9,3908,149.23012162709014,-384.03361344537814,2948.2417886921494,4307.838792221085
Fri,3F_L_A,rank_from_max,K1,548,-109.61148644542807,-289.76190476190476,1189.8127291564651,5697.337591240876
Fri,3F_L_A,rank_from_max,K10-14,2057,207.57739748502996,-26.66666666666667,1311.4891525016203,5604.872630043753
Fri,3F_L_A,rank_from_max,K15+,597,5.219722349119342,-218.75,1219.9986113210655,5477.355108877722
Fri,3F_L_A,rank_from_max,K2,493,141.18371233229246,-58.33333333333334,1271.6253040136507,5341.576064908722
Fri,3F_L_A,rank_from_max,K3-4,952,189.4803926815481,-85.41666666666667,1298.5399109429352,5542.018907563025
Fri,3F_L_A,rank_from_max,K5-9,2483,252.25809933119638,31.25,1301.8257753669168,5592.396294804672
Fri,3F_L_N,rank_from_max,K1,501,-151.8778712416437,-555.5555555555555,3460.1709146519347,4871.125748502994
Fri,3F_L_N,rank_from_max,K10-14,2258,106.10575098064028,-302.77777777777777,3194.9119453973194,4660.48449955713
Fri,3F_L_N,rank_from_max,K15+,721,5.16624287255354,-316.6666666666667,3036.965111563408,4858.93758668516
Fri,3F_L_N,rank_from_max,K2,468,228.32850020350023,-338.54166666666663,3465.121337700873,4579.997863247863
Fri,3F_L_N,rank_from_max,K3-4,913,103.22323927745617,-428.57142857142856,3328.8945592035866,4625.532311062431
Fri,3F_L_N,rank_from_max,K5-9,2505,-10.49534264803727,-381.25,3170.6004402987587,4701.368463073853
Fri,3F_R_A,rank_from_max,K1,572,-200.06901679323008,-310.0961538461538,1147.1552384034446,5622.6783216783215
Fri,3F_R_A,rank_from_max,K10-14,2158,114.28913783930003,-61.53846153846155,1278.3574897189458,5612.64874884152
Fri,3F_R_A,rank_from_max,K15+,629,-22.80688442453147,-218.75,1205.1570486008698,5299.233704292528
Fri,3F_R_A,rank_from_max,K2,510,69.96819112260287,-143.75,1245.3434604882816,5554.045098039216
Fri,3F_R_A,rank_from_max,K3-4,999,169.18689085355754,0.0,1276.347728424257,5560.217217217217
Fri,3F_R_A,rank_from_max,K5-9,2320,202.26346408620117,15.384615384615387,1277.6509703171012,5514.870689655172
Fri,3F_R_N,rank_from_max,K1,511,-338.70193054390705,-1033.3333333333333,3327.099572587339,4899.009784735812
Fri,3F_R_N,rank_from_max,K10-14,1817,35.01110543281705,-693.3333333333333,3654.0214817636397,4693.4391854705555
Fri,3F_R_N,rank_from_max,K15+,400,-354.265625,-1064.7916666666665,3450.431253317734,5067.0675
Fri,3F_R_N,rank_from_max,K2,461,-226.78295974933718,-940.0,3675.4276296433272,4696.726681127982
Fri,3F_R_N,rank_from_max,K3-4,909,221.7248589938359,-400.0,3725.9028274221296,4675.293729372937
Fri,3F_R_N,rank_from_max,K5-9,2108,101.78113046293788,-665.4761904761905,3840.1218345397456,4633.537476280835
Mon,2F_L_A,rank_from_max,K1,194,261.1352479135984,102.08333333333334,1651.5151062834839,5133.927835051546
Mon,2F_L_A,rank_from_max,K10-14,147,320.68027210884355,275.0,1762.2385786359355,5225.013605442177
Mon,2F_L_A,rank_from_max,K2,169,423.4967596506057,160.0,1621.6475930876047,5044.12426035503
Mon,2F_L_A,rank_from_max,K3-4,419,-53.42482100238664,-200.0,1513.2460195710769,4785.737470167064
Mon,2F_L_A,rank_from_max,K5-9,557,96.75899803368385,-100.0,1609.1598355431206,4825.159784560144
Mon,2F_L_N,rank_from_max,K1,927,-22.511496292906912,-477.7777777777778,2884.8185460076597,4595.675296655879
Mon,2F_L_N,rank_from_max,K10-14,3077,39.11121736694297,-516.6666666666666,2943.2763850046304,4399.502437439064
Mon,2F_L_N,rank_from_max,K15+,1156,-5.12456516107542,-570.5882352941176,2911.861498720939,4493.929930795848
Mon,2F_L_N,rank_from_max,K2,854,37.53031895053868,-348.0769230769231,2861.0578164027847,4421.98243559719
Mon,2F_L_N,rank_from_max,K3-4,1733,29.49674273958921,-507.6923076923077,2970.5610566627706,4426.8828620888635
Mon,2F_L_N,rank_from_max,K5-9,4743,71.49222875703695,-488.2352941176471,2946.5155581108024,4348.625764284208
Mon,2F_R_A,rank_from_max,K1,178,43.584135901551605,-91.96428571428571,1550.9533256323843,5384.1741573033705
Mon,2F_R_A,rank_from_max,K10-14,100,85.40714285714286,-23.571428571428555,1758.898191117227,5580.31
Mon,2F_R_A,rank_from_max,K15+,1,595.4545454545455,595.4545454545455,,3420.0
Mon,2F_R_A,rank_from_max,K2,163,46.661554192229055,-157.1428571428571,1530.622135582872,5291.509202453988
Mon,2F_R_A,rank_from_max,K3-4,251,118.98169227850504,10.0,1447.9381835336371,5076.832669322709
Mon,2F_R_A,rank_from_max,K5-9,571,131.914106034071,-28.571428571428555,1500.2140270747195,5131.840630472855
Mon,2F_R_N,rank_from_max,K1,931,-124.46143559865362,-758.3333333333334,2946.395725792877,4464.890440386681
Mon,2F_R_N,rank_from_max,K10-14,2966,118.37326856601678,-502.94117647058823,2994.496888906398,4236.151719487525
Mon,2F_R_N,rank_from_max,K15+,1129,48.287106331380315,-605.8823529411765,3093.307907259386,4237.094774136404
Mon,2F_R_N,rank_from_max,K2,866,152.84190331925018,-461.11111111111114,2938.2698833217814,4233.086605080832
Mon,2F_R_N,rank_from_max,K3-4,1661,57.496609729274304,-588.8888888888887,2857.223518053328,4244.4641782059
