test_date,variant,window,DD,dow,is_event,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_machines_scored,n_actual_machines
2026-01-04,v1_baseline,90,4,6,False,non_event,-400.0,-211.14457831325302,-188.85542168674698,32.0,94.2187868743193,1.0,1.0,3.0,1.4280000000000002,0.7140000000000001,0.8568,714,714
2026-01-04,v2_dd_individual,90,4,6,False,non_event,-438.0,-208.28313253012047,-229.71686746987953,26.0,93.68588748256144,1.0,2.0,5.0,1.4280000000000002,1.4280000000000002,1.428,714,714
2026-01-04,v3_hist_payout,90,4,6,False,non_event,-470.0,-205.8734939759036,-264.1265060240964,24.0,93.41266683420871,1.0,2.0,5.0,1.4280000000000002,1.4280000000000002,1.428,714,714
2026-01-04,v4_kakuban_fix,90,4,6,False,non_event,162.0,-253.46385542168676,415.46385542168673,38.0,100.22324943849323,2.0,3.0,7.0,2.8560000000000003,2.1420000000000003,1.9992,714,714
2026-01-05,v1_baseline,90,5,0,False,non_event,542.0,432.8313253012048,109.1686746987952,46.0,102.49116994610354,1.0,3.0,5.0,1.4280000000000002,2.1420000000000003,1.428,714,714
2026-01-05,v2_dd_individual,90,5,0,False,non_event,524.0,434.18674698795184,89.81325301204816,48.0,103.7888251891875,0.0,2.0,5.0,0.0,1.4280000000000002,1.428,714,714
2026-01-05,v3_hist_payout,90,5,0,False,non_event,130.0,463.855421686747,-333.855421686747,42.0,100.0925092121445,0.0,1.0,4.0,0.0,0.7140000000000001,1.1424,714,714
2026-01-05,v4_kakuban_fix,90,5,0,False,non_event,1164.0,385.99397590361446,778.0060240963855,48.0,110.27400401329645,1.0,3.0,7.0,1.4280000000000002,2.1420000000000003,1.9992,714,714
2026-01-06,v1_baseline,90,6,1,False,non_event,420.0,201.80722891566265,218.19277108433735,46.0,99.62504411639209,0.0,1.0,6.0,0.0,0.7140000000000001,1.7136,714,714
2026-01-06,v2_dd_individual,90,6,1,False,non_event,-62.0,238.1024096385542,-300.1024096385542,42.0,93.92738629957653,0.0,1.0,2.0,0.0,0.7140000000000001,0.5712,714,714
