component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate
c1,1.0,0.3172,0.2349,0.3955,0.0644,-0.0139,0.5235,0.2179,0.3118
c2,0.3172,1.0,0.0709,0.1175,0.0094,0.0041,0.1713,0.0704,0.0845
c3,0.2349,0.0709,1.0,0.1193,0.0169,0.0023,0.1275,0.0411,0.0778
c4,0.3955,0.1175,0.1193,1.0,0.0261,0.0012,0.2123,0.0702,0.1338
c5,0.0644,0.0094,0.0169,0.0261,1.0,-0.031,0.0905,0.0758,0.0759
c6,-0.0139,0.0041,0.0023,0.0012,-0.031,1.0,-0.0074,-0.0044,-0.0191
hist_diff,0.5235,0.1713,0.1275,0.2123,0.0905,-0.0074,1.0,0.5632,0.569
hist_payout,0.2179,0.0704,0.0411,0.0702,0.0758,-0.0044,0.5632,1.0,0.4091
hist_winrate,0.3118,0.0845,0.0778,0.1338,0.0759,-0.0191,0.569,0.4091,1.0
