experiment,hit_at_2_rate,loss_mean,rank2_rescue_on_miss1,critical_miss_rate,catastrophic_rate,delta_hit_at_2_rate_vs_top2_refit,delta_loss_mean_vs_top2_refit,delta_rank2_rescue_vs_top2_refit,delta_critical_miss_rate_vs_top2_refit,delta_catastrophic_rate_vs_top2_refit,n,worst1_hit_rate,worst2_cover_rate,worst3_cover_rate,pred1_negative_rate,pred1_hard_negative_rate,pred1_diff_median,pred1_diff_mean
top2_refit,0.9908045977011494,746.6666666666666,0.8518518518518519,0.009195402298850575,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,,,,,,,,
t1_rank1,0.9770114942528736,599.080459770115,0.6206896551724138,0.02528735632183908,0.0022988505747126436,-0.013793103448275779,-147.58620689655163,-0.23116219667943805,0.016091954022988506,-0.013793103448275862,,,,,,,,
t2_top3,0.9885057471264368,1066.896551724138,0.7916666666666666,0.011494252873563218,0.02528735632183908,-0.0022988505747125743,320.2298850574713,-0.06018518518518523,0.0022988505747126436,0.009195402298850575,,,,,,,,
worst1_eval,,,,,,,,,,,435.0,0.7885057471264367,0.9747126436781609,0.9839080459770115,0.960919540229885,0.8022988505747126,-13600.0,-14118.16091954023
