segment,target,feature,importance_mean,importance_std,n_models
2F_N,target_is_top3,prior_top1_rate,26.653994742868736,1.4848502742515988,90
2F_N,target_is_top3,weekday_prior_top1_rate,22.684286468080817,1.6011282072690283,90
2F_N,target_is_top3,lag1_rank_pct,21.657358004965577,1.2704981469911238,90
2F_N,target_is_top3,day_of_month,11.825743334177151,1.0757221088962856,90
2F_N,target_is_top3,day_of_week_num,10.109240515861218,1.1971232023388674,90
2F_N,target_is_top3,is_weekend,7.069376934046501,0.8179573749810066,90
2F_N,target_is_top5,prior_top1_rate,25.441885994951246,2.087999942506932,90
2F_N,target_is_top5,weekday_prior_top1_rate,24.790031962641287,2.2818042016479594,90
2F_N,target_is_top5,lag1_rank_pct,21.06956643346859,1.7653733944530323,90
2F_N,target_is_top5,day_of_month,12.696246530601558,1.1093491176918568,90
2F_N,target_is_top5,day_of_week_num,8.769613846078958,1.2590837877136265,90
2F_N,target_is_top5,is_weekend,7.232655232258366,1.0378869147232985,90
3F_A,target_is_top3,prior_top1_rate,31.184418718570488,1.62477809010547,90
3F_A,target_is_top3,lag1_rank_pct,25.264087909202363,1.294001734840553,90
3F_A,target_is_top3,weekday_prior_top1_rate,18.399777625790236,1.6284586664705247,90
3F_A,target_is_top3,day_of_month,14.180612020831534,1.148323450348421,90
3F_A,target_is_top3,day_of_week_num,7.346849395327602,0.8056262194310297,90
3F_A,target_is_top3,is_weekend,3.6242543302777808,0.5805415592463643,90
3F_A,target_is_top5,prior_top1_rate,29.126042712568648,1.7211563201776134,90
3F_A,target_is_top5,lag1_rank_pct,24.039577044516218,1.5208676156347503,90
3F_A,target_is_top5,weekday_prior_top1_rate,22.078265471312523,1.2339858076322547,90
3F_A,target_is_top5,day_of_month,13.348223471377345,1.117904395800988,90
3F_A,target_is_top5,day_of_week_num,7.010191811952399,0.7527362547634648,90
3F_A,target_is_top5,is_weekend,4.397699488272869,0.5878381800401224,90
3F_N,target_is_top3,prior_top1_rate,53.44527598916228,1.9059120196711856,90
3F_N,target_is_top3,lag1_rank_pct,16.38063657158289,1.418732092324439,90
3F_N,target_is_top3,weekday_prior_top1_rate,14.18576093741852,1.0699225876696838,90
3F_N,target_is_top3,day_of_month,9.230596371521285,0.8711078939795944,90
3F_N,target_is_top3,day_of_week_num,4.05366097737096,0.4812477359328067,90
3F_N,target_is_top3,is_weekend,2.7040691529440584,0.4234535434781222,90
3F_N,target_is_top5,prior_top1_rate,61.62262959641559,3.0125421739164246,90
3F_N,target_is_top5,weekday_prior_top1_rate,18.006719521172815,1.340611402719372,90
3F_N,target_is_top5,lag1_rank_pct,11.855670475693792,1.4918566513354137,90
3F_N,target_is_top5,day_of_month,4.707023322299522,0.5961936605934404,90
3F_N,target_is_top5,day_of_week_num,2.5865360033379856,0.453185446060102,90
3F_N,target_is_top5,is_weekend,1.2214210810802917,0.23341785518798294,90
