segment,event_type,component,mean_vs_other,mean_diff,mean_other,std_vs_other,n_days,p_value,day_win_pct,verdict,label
2F_L_N,event,c1,133.63101604278074,258.7647058823529,125.1336898395722,484.49859876373847,68,0.038035695881983925,60.3,maybe,kakuban
2F_L_N,event,c2,114.57130124777184,244.94117647058823,130.3698752228164,526.6979252606785,68,0.09288978055683235,57.4,ns,hist
2F_L_N,event,c3,22.92245989304813,178.47058823529412,155.548128342246,575.9073145136824,68,0.7139015852856421,54.4,ns,DD*kakuban
2F_L_N,event,c4,88.8204099821747,226.26470588235293,137.44429590017828,460.0536492979289,68,0.13598085807597965,60.3,ns,dow*kakuban
2F_L_N,event,c5,125.2366310160428,252.6764705882353,127.4398395721925,494.01257870885553,68,0.06770041676029175,63.2,ns,last_digit
2F_L_N,event,c6,-27.119429590017827,142.1764705882353,169.2959001782531,452.077754294092,68,0.3373947938509726,45.6,ns,zorome
2F_L_N,event,composite,141.66042780748666,264.5882352941176,122.927807486631,494.0173828478494,68,0.03197411473456824,64.7,maybe,ALL(weighted)
2F_L_N,non_event,c1,80.41013307679974,211.88359788359787,131.47346480679815,446.96816697017346,189,0.04416805456302616,54.5,maybe,kakuban
2F_L_N,non_event,c2,113.15087381754049,235.62962962962962,122.47875581208915,466.05322594196736,189,0.0014274272408066468,61.4,USEFUL,hist
2F_L_N,non_event,c3,38.53583453583453,181.51322751322752,142.97739297739298,477.8239401720855,189,0.30434453656965865,53.4,ns,DD*kakuban
2F_L_N,non_event,c4,25.88600288600289,172.33862433862433,146.45262145262146,440.87599618720003,189,0.5037394584276802,51.9,ns,dow*kakuban
2F_L_N,non_event,c5,56.277697611030945,194.38095238095238,138.10325476992145,483.59976658133013,189,0.0915750457325464,57.7,ns,last_digit
2F_L_N,non_event,c6,58.203623536956876,195.77777777777777,137.57415424082092,477.9745848572928,189,0.13816887851019785,54.0,ns,zorome
2F_L_N,non_event,composite,56.277697611030945,194.38095238095238,138.10325476992145,483.59976658133013,189,0.0915750457325464,57.7,ns,ALL(weighted)
2F_R_N,event,c1,-37.93170488534397,177.97058823529412,215.90229312063806,501.7054939536215,68,0.39569261009684975,39.7,ns,kakuban
2F_R_N,event,c2,67.46610169491524,252.0,184.53389830508476,525.5457600428907,68,0.2583012295938948,61.8,ns,hist
2F_R_N,event,c3,30.658524426719836,226.14705882352942,195.4885343968096,504.10543628772126,68,0.8497628994679634,45.6,ns,DD*kakuban
2F_R_N,event,c4,24.837986041874377,222.05882352941177,197.22083748753738,491.024731572151,68,0.6206434392136034,55.9,ns,dow*kakuban
2F_R_N,event,c5,17.468095712861416,216.88235294117646,199.41425722831508,462.83882062463675,68,0.7460525574425609,50.0,ns,last_digit
2F_R_N,event,c6,81.20089730807577,261.6470588235294,180.44616151545364,505.94958372297083,68,0.2583012295938948,54.4,ns,zorome
2F_R_N,event,composite,17.468095712861416,216.88235294117646,199.41425722831508,462.83882062463675,68,0.7460525574425609,50.0,ns,ALL(weighted)
2F_R_N,non_event,c1,69.62927091740652,201.60846560846562,131.9791946910591,480.9233761650012,189,0.08192909778542679,55.6,ns,kakuban
2F_R_N,non_event,c2,66.31476997578692,199.2804232804233,132.96565330463636,477.1968222669442,189,0.10941428192424173,51.9,ns,hist
2F_R_N,non_event,c3,-14.212536992198006,142.7195767195767,156.93211371177472,453.2761214504384,189,0.6521081240367552,47.1,ns,DD*kakuban
2F_R_N,non_event,c4,29.64433683077751,173.52380952380952,143.879472693032,467.69594512126787,189,0.3386780222822102,54.5,ns,dow*kakuban
2F_R_N,non_event,c5,33.440947000269034,176.1904761904762,142.74952919020714,469.9870622235287,189,0.2692263908190162,52.9,ns,last_digit
2F_R_N,non_event,c6,67.35431799838578,200.010582010582,132.65626401219623,458.7461828662029,189,0.08780972601389518,51.3,ns,zorome
2F_R_N,non_event,composite,33.440947000269034,176.1904761904762,142.74952919020714,469.9870622235287,189,0.2692263908190162,52.9,ns,ALL(weighted)
3F_L_A,event,c1,50.934700984926806,289.2352941176471,238.30059313272025,230.0412964055388,68,0.06067196246799959,57.4,ns,kakuban
3F_L_A,event,c2,5.830657887576862,267.6470588235294,261.8164009359526,271.99688458772846,68,0.7833424311802976,51.5,ns,hist
3F_L_A,event,c3,1.8519616912444878,265.6470588235294,263.7950971322849,272.31659364568793,68,0.6644081924279708,41.2,ns,DD*kakuban
3F_L_A,event,c4,-7.386651793002123,261.20588235294116,268.5925341459433,255.29521669357823,68,0.84019687003087,54.4,ns,dow*kakuban
3F_L_A,event,c5,36.56777493606138,282.4117647058824,245.843989769821,254.30498093567755,68,0.21034207054242604,57.4,ns,last_digit
3F_L_A,event,c6,-16.502829623986504,256.7647058823529,273.26753550633947,301.95510300044896,68,0.7048052584554296,45.6,ns,zorome
3F_L_A,event,composite,29.570332480818415,279.05882352941177,249.48849104859335,234.12493190218166,68,0.3282442139214262,52.9,ns,ALL(weighted)
3F_L_A,non_event,c1,85.0472372729542,165.7989417989418,80.75170452598759,254.61122813190573,189,2.080727329356427e-05,60.8,USEFUL,kakuban
3F_L_A,non_event,c2,97.51996240987914,171.83068783068782,74.31072542080868,255.25671020614553,189,1.95536283309286e-07,69.3,USEFUL,hist
3F_L_A,non_event,c3,28.482406550861683,138.63492063492063,110.15251408405896,248.87231402496136,189,0.16726134061665643,55.0,ns,DD*kakuban
3F_L_A,non_event,c4,76.34017101547165,161.71428571428572,85.37411469881405,262.0225659424827,189,0.00019184617990061138,61.4,USEFUL,dow*kakuban
3F_L_A,non_event,c5,82.5480326368393,164.68783068783068,82.13979805099139,253.59744106432154,189,6.431777704125416e-06,65.6,USEFUL,last_digit
3F_L_A,non_event,c6,23.62289473297799,136.34920634920636,112.72631161622837,258.26993518632537,189,0.2173310656337335,52.9,ns,zorome
3F_L_A,non_event,composite,87.62739771620437,167.1216931216931,79.49429540548874,243.37440815010262,189,6.794085739943819e-07,66.7,USEFUL,ALL(weighted)
3F_L_N,event,c1,35.02926322043968,54.529411764705884,19.50014854426619,765.3130827715418,68,0.81638777830421,51.5,ns,kakuban
3F_L_N,event,c2,-72.21895424836602,3.9411764705882355,76.16013071895425,805.7773287299661,68,0.3435853834311089,44.1,ns,hist
3F_L_N,event,c3,-235.07427213309566,-72.79411764705883,162.28015448603685,858.4925266531884,68,0.03664108132266529,38.2,bad?,DD*kakuban
3F_L_N,event,c4,15.714349376114072,45.23529411764706,29.520944741532983,719.3513661974197,68,0.9805005146091341,47.1,ns,dow*kakuban
3F_L_N,event,c5,0.24524658348186743,38.294117647058826,38.04887106357694,872.106421024181,68,0.9172677458341656,51.5,ns,last_digit
3F_L_N,event,c6,-124.18790849673202,-20.470588235294116,103.71732026143792,771.5898764877794,68,0.16542644283222563,47.1,ns,zorome
3F_L_N,event,composite,-107.6525549613785,-12.764705882352942,94.88784907902554,818.9232822951266,68,0.4059690676120177,44.1,ns,ALL(weighted)
3F_L_N,non_event,c1,16.20923520923521,54.148148148148145,37.938912938912935,579.4941655864902,189,0.8436717582752182,48.1,ns,kakuban
3F_L_N,non_event,c2,29.202073646518087,60.264550264550266,31.06247661803217,683.7163849462969,189,0.5929985979665175,50.3,ns,hist
3F_L_N,non_event,c3,72.62236117791673,80.78306878306879,8.160707605152053,623.4744781878777,189,0.1172772141780481,56.1,ns,DD*kakuban
3F_L_N,non_event,c4,-97.92303992303992,0.35978835978835977,98.28282828282829,641.3487531489952,189,0.05375161403255264,43.4,ns,dow*kakuban
3F_L_N,non_event,c5,10.895516006627119,51.55555555555556,40.66003954892844,626.735003340443,189,0.7090360172853916,54.0,ns,last_digit
3F_L_N,non_event,c6,28.130725241836352,59.82010582010582,31.689380578269468,633.7210575751166,189,0.9370227495308198,49.7,ns,zorome
3F_L_N,non_event,composite,95.90433434877879,91.82010582010582,-4.084228528672973,614.3931778877975,189,0.03462199194528455,54.0,maybe,ALL(weighted)
3F_R_A,event,c1,31.415366146458577,246.6764705882353,215.26110444177672,270.96739191815567,68,0.4094296599955971,58.8,ns,kakuban
3F_R_A,event,c2,2.0602240896358555,233.11764705882354,231.05742296918766,272.207310474428,68,0.6777729600903188,52.9,ns,hist
