test_date,variant,window,DD,dow,is_event,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,hit_t2500,hit_t3500,hit_t4500,lift_t2500,lift_t3500,lift_t4500,n_machines_scored,n_actual_machines,split_period,a_seg_hist_coverage,a_seg_fallback_count
2025-10-06,v11_seg_weights,90,6,0,False,non_event,450.0,149.3975903614458,300.6024096385542,46.0,103.93063220288352,2.0,2.0,4.0,2.8560000000000003,1.4280000000000002,1.1424,7.0,5.0,3.0,1.2495,1.2310344827586208,1.1273684210526316,714,714,,100.0,0
2025-10-06,v12b_debut_multiplier_half,90,6,0,False,non_event,450.0,149.3975903614458,300.6024096385542,46.0,104.16439938255839,2.0,2.0,5.0,2.8560000000000003,1.4280000000000002,1.428,7.0,6.0,3.0,1.2495,1.477241379310345,1.1273684210526316,714,714,,100.0,0
2025-10-07,v11_seg_weights,90,7,1,True,event,-266.0,210.84337349397592,-476.84337349397595,38.0,98.33742726244273,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,3.0,2.0,2.0,0.38945454545454544,0.37578947368421056,0.5388679245283019,714,714,,100.0,0
2025-10-07,v12b_debut_multiplier_half,90,7,1,True,event,-292.0,212.8012048192771,-504.80120481927713,38.0,98.17158085620109,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,3.0,2.0,2.0,0.38945454545454544,0.37578947368421056,0.5388679245283019,714,714,,100.0,0
2025-10-08,v11_seg_weights,90,8,2,False,non_event,-198.0,160.09036144578315,-358.0903614457832,34.0,98.23656718411841,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,8.0,5.0,3.0,1.2553846153846155,1.19,1.0710000000000002,714,714,,100.0,0
2025-10-08,v12b_debut_multiplier_half,90,8,2,False,non_event,-174.0,158.28313253012047,-332.2831325301205,34.0,98.42260140225297,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,8.0,5.0,3.0,1.2553846153846155,1.19,1.0710000000000002,714,714,,100.0,0
2025-10-09,v11_seg_weights,90,9,3,False,non_event,714.0,172.74096385542168,541.2590361445783,48.0,107.67400318567863,2.0,2.0,5.0,2.8560000000000003,1.4280000000000002,1.428,8.0,6.0,4.0,1.3439999999999999,1.53,1.5031578947368422,714,714,,100.0,0
2025-10-09,v12b_debut_multiplier_half,90,9,3,False,non_event,616.0,180.12048192771084,435.87951807228916,46.0,106.85765686333446,2.0,2.0,4.0,2.8560000000000003,1.4280000000000002,1.1424,7.0,5.0,3.0,1.176,1.2750000000000001,1.1273684210526316,714,714,,100.0,0
2025-10-10,v11_seg_weights,90,10,4,False,non_event,-40.0,223.0421686746988,-263.0421686746988,42.0,99.72332316545966,0.0,0.0,1.0,0.0,0.0,0.2856,6.0,2.0,1.0,0.8318446601941747,0.4262686567164179,0.2746153846153846,714,714,,100.0,0
2025-10-10,v12b_debut_multiplier_half,90,10,4,False,non_event,12.0,219.1265060240964,-207.1265060240964,40.0,100.08574674698278,0.0,0.0,1.0,0.0,0.0,0.2856,6.0,2.0,1.0,0.8318446601941747,0.4262686567164179,0.2746153846153846,714,714,,100.0,0
2025-10-11,v11_seg_weights,90,11,5,True,event,-222.0,-183.8855421686747,-38.114457831325296,46.0,98.35228942704205,0.0,2.0,6.0,0.0,1.4280000000000002,1.7136,6.0,6.0,3.0,1.0710000000000002,1.7136,1.26,714,714,,100.0,0
2025-10-11,v12b_debut_multiplier_half,90,11,5,True,event,-254.0,-181.47590361445782,-72.52409638554218,46.0,98.00049436595991,0.0,2.0,5.0,0.0,1.4280000000000002,1.428,5.0,5.0,2.0,0.8925000000000001,1.428,0.84,714,714,,100.0,0
2025-10-13,v11_seg_weights,90,13,0,False,non_event,66.0,360.99397590361446,-294.99397590361446,44.0,100.47525847580286,0.0,0.0,4.0,0.0,0.0,1.1424,9.0,7.0,5.0,1.0448780487804878,1.2653164556962027,1.1333333333333333,714,714,,100.0,0
2025-10-13,v12b_debut_multiplier_half,90,13,0,False,non_event,96.0,358.73493975903614,-262.73493975903614,46.0,100.7086983868253,0.0,0.0,4.0,0.0,0.0,1.1424,8.0,6.0,5.0,0.9287804878048781,1.0845569620253164,1.1333333333333333,714,714,,100.0,0
2025-10-14,v11_seg_weights,90,14,1,False,non_event,104.0,249.6987951807229,-145.6987951807229,38.0,101.16738505747126,0.0,0.0,3.0,0.0,0.0,0.8568,5.0,5.0,3.0,0.7212121212121212,0.9916666666666667,0.9520000000000001,714,714,,100.0,0
2025-10-14,v12b_debut_multiplier_half,90,14,1,False,non_event,160.0,245.48192771084337,-85.48192771084337,38.0,101.81431814522257,0.0,0.0,3.0,0.0,0.0,0.8568,6.0,5.0,3.0,0.8654545454545455,0.9916666666666667,0.9520000000000001,714,714,,100.0,0
2025-10-15,v11_seg_weights,90,15,2,False,non_event,268.0,81.92771084337349,186.0722891566265,36.0,102.39455899013943,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,7.0,6.0,3.0,0.9704854368932039,1.2417391304347827,0.9520000000000001,714,714,,100.0,0
2025-10-15,v12b_debut_multiplier_half,90,15,2,False,non_event,268.0,81.92771084337349,186.0722891566265,36.0,102.39455899013943,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,7.0,6.0,3.0,0.9704854368932039,1.2417391304347827,0.9520000000000001,714,714,,100.0,0
2025-10-16,v11_seg_weights,90,16,3,False,non_event,162.0,185.09036144578315,-23.090361445783145,30.0,101.78021586765745,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,5.0,2.0,2.0,0.802247191011236,0.4606451612903226,0.6965853658536585,714,714,,100.0,0
2025-10-16,v12b_debut_multiplier_half,90,16,3,False,non_event,230.0,179.96987951807228,50.030120481927725,34.0,102.54371878414665,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,5.0,2.0,2.0,0.802247191011236,0.4606451612903226,0.6965853658536585,714,714,,100.0,0
2025-10-17,v11_seg_weights,90,17,4,True,event,298.0,87.04819277108433,210.95180722891567,42.0,102.20412570912939,1.0,1.0,4.0,1.4280000000000002,0.7140000000000001,1.1424,9.0,6.0,4.0,1.224,1.2067605633802816,1.1424,714,714,,100.0,0
2025-10-17,v12b_debut_multiplier_half,90,17,4,True,event,454.0,75.3012048192771,378.69879518072287,38.0,103.38007364689102,2.0,2.0,4.0,2.8560000000000003,1.4280000000000002,1.1424,9.0,6.0,4.0,1.224,1.2067605633802816,1.1424,714,714,,100.0,0
