baseline,variant,segment,event_type,n_days,acf_acf_lag1,acf_acf_lag2,acf_acf_lag3,acf_acf_threshold,acf_serial_correlation_detected,acf_recommended_bootstrap,additive_mean_diff,additive_ci_lower,additive_ci_upper,additive_se,p_value_wilcoxon,loo_min_mean,loo_max_mean,loo_sign_flips,loo_fragile,wins,losses,ties,win_pct,p_value_sign,payout_mean_diff,payout_ci_lower,payout_ci_upper,p_value_wilcoxon_payout,lift_t2500_pooled_diff,lift_t2500_ci_lower,lift_t2500_ci_upper,lift_t2500_p_value,lift_t3500_pooled_diff,lift_t3500_ci_lower,lift_t3500_ci_upper,lift_t3500_p_value,lift_t4500_pooled_diff,lift_t4500_ci_lower,lift_t4500_ci_upper,lift_t4500_p_value,q_value_wilcoxon,q_value_sign,q_value_wilcoxon_payout,lift_t2500_q_value,lift_t3500_q_value,lift_t4500_q_value
v11_seg_weights,v12a_debut_multiplier,2F_L_N,event,88,0.07683191269121559,-0.19912912421630335,-0.23179725026595838,0.21320071635561041,True,block,43.598576122672505,8.424668674698806,79.92713855421687,18.396756809904094,0.055233766658219934,36.535521395928534,50.477357706688814,0,False,48,37,3,56.5,0.2779992890805517,0.06382993337573675,-0.17750928646274394,0.36302162310680014,0.5829954232094585,0.0029638854296387684,-0.029719119984743775,0.035712650653177816,0.9054,-0.0022403514276749803,-0.04601367948495813,0.041539133247089244,0.9406,-0.016091954022988686,-0.0711526356206488,0.03726516056591049,0.5714,0.15781076188062837,0.6671982937933241,0.9679903720785294,1.0,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,2F_L_N,non_event,254,0.12660700243198206,0.011182568057742044,0.0013276322441614617,0.12549116102763172,True,block,24.486386490845266,3.853664457831329,46.823345783132524,11.01578999003794,0.017381073187251225,22.475070241440065,26.46176008381351,0,False,137,110,7,55.5,0.0978613907393721,-0.04183462292139357,-0.21947539672315924,0.1414819335613738,0.960627586784874,-0.012977323870520863,-0.030135940165067255,0.004435022228753979,0.1502,0.002809548793284433,-0.019413824676069846,0.025100563556645764,0.8288,0.009281204482112893,-0.01997181275647241,0.03807376170213517,0.5378,0.1158738212483415,0.4438913148807117,0.9959076026290529,0.72096,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,2F_R_N,event,88,0.10146647422599006,-0.0614143445555039,-0.04685519901794023,0.21320071635561041,False,iid,28.739868565169765,-31.893067154983573,88.76244865826945,31.18563613462085,0.22136360870259153,18.094723722476107,41.15808059825508,0,False,48,38,2,55.8,0.3318343545999156,-0.3630270004936641,-0.8838449497531585,0.14330832257558135,0.4219351835483821,-0.01926525529265244,-0.05919828100291528,0.02075398266262779,0.361,-0.01120175713837468,-0.06759336754474254,0.047158914695118175,0.74,-0.015923282783229187,-0.08933314060712147,0.05941075608565635,0.7146,0.41302126981191345,0.6790857281080781,0.9679903720785294,0.8664,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,2F_R_N,non_event,254,0.17321685970189266,0.0005986804277446001,0.03371739992733854,0.12549116102763172,True,block,79.90249976283086,44.76629457831326,116.8727674698795,18.18065103773759,1.728388506402455e-07,76.58014667365113,82.93844944997382,0,False,165,89,0,65.0,2.1409546410675844e-06,0.15785634407028035,-0.1846212263262458,0.49606412461615085,0.5213973031310201,-0.029662454561190987,-0.05651315038630537,-0.002474628784507982,0.0334,-0.03144992675334346,-0.06786776240458557,0.0050036170568506485,0.0974,-0.040726304781823375,-0.08936561384986033,0.007059324154470127,0.0944,3.45677701280491e-06,5.1382911385622024e-05,0.9679903720785294,0.2928,0.9312,1.0
v11_seg_weights,v12a_debut_multiplier,3F_L_A,event,88,0.0,0.0,0.0,0.21320071635561041,False,iid,0.0,0.0,0.0,0.0,,0.0,0.0,0,False,0,0,88,50.0,1.0,4.844609562000683e-16,-1.1304088978001594e-15,2.2608177956003187e-15,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,,1.0,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,3F_L_A,non_event,254,-0.003968130465905207,-0.003983691761849936,-0.003999253057794662,0.12549116102763172,False,iid,0.050801631723745314,0.0,0.15240489517123595,0.05114979539723969,,0.0,0.05100242868708028,1,True,1,0,253,100.0,1.0,0.0009125541763560796,-7.273272098331734e-16,0.0027376625290689662,0.7732888689219024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.9679903720785294,1.0,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,3F_L_N,event,88,0.019183678717296555,0.005970875333200651,0.20032388118356503,0.21320071635561041,False,iid,-13.685651697699889,-45.38443147590362,14.24774096385542,15.311913157504724,0.7615879117619025,-17.50145409223099,-6.229331117573743,0,False,29,20,39,59.2,0.2528697301676033,-0.06668041871155789,-0.2684607054968931,0.11325922998761531,0.8799912473441176,-0.005927770859277759,-0.02231714940612628,0.008992608609842231,0.5076,-0.004533333333333278,-0.02822610896682379,0.017709157027897954,0.765,0.0,-0.03638722307447743,0.03345849031241485,1.0,0.9519848897023782,0.6671982937933241,0.9679903720785294,0.8701714285714287,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,3F_L_N,non_event,254,0.027126975120172037,-0.0003722187253676415,-0.05391649359098455,0.12549116102763172,False,iid,15.469096859880468,3.047886229959205,28.30518748221231,6.431392043932642,0.04562429904616861,13.48164198295157,17.094314014953092,0,False,78,60,116,56.5,0.1475918641688608,0.0991748902483831,-0.03434016737279555,0.23602183185965758,0.16798300891853268,0.010505452657088465,0.000612497660520428,0.020617893672844306,0.0452,0.009365162644281222,-0.002817911262902195,0.021870047694931272,0.1552,0.006791591363074279,-0.006824079257150517,0.020608191846206006,0.3894,0.15208099682056203,0.5060292485789513,0.9679903720785294,0.2928,0.9312,1.0
v11_seg_weights,v12a_debut_multiplier,3F_R_A,event,88,0.01324447793446609,0.17340999129337115,0.11001305994286521,0.21320071635561041,False,iid,-3.470290251916758,-7.698179079956188,-0.24438663745892664,1.9225179382719324,0.0673828125,-3.8562525965932695,-2.0517241379310347,0,False,3,8,77,27.3,0.2265625,-0.009484359870208469,-0.02912309503735365,0.007369754678109385,0.4077305931945491,-0.0015442846328538873,-0.004781263342030322,0.0,0.741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16845703125,0.6671982937933241,0.9679903720785294,1.0,1.0,1.0
v11_seg_weights,v12a_debut_multiplier,3F_R_A,non_event,254,-0.0011653412559312578,0.01578081774167859,0.08050934657289713,0.12549116102763172,False,iid,-0.39794611516933864,-1.8881273123992033,1.0414334503367797,0.7308832045645137,0.7227977438837032,-0.7565360255250249,-0.0850040478118004,0,False,11,9,234,55.0,0.8238029479980469,-0.00026251937595447535,-0.012405932823089043,0.012740803956289374,0.6723920235875657,-0.0012846347607052833,-0.003902723437263561,0.001275626423690171,0.4328,-0.0012964139809350517,-0.004129166577240146,0.0,0.7396,0.0029442096406603335,0.0,0.010082344512686412,0.7396,0.9519848897023782,1.0,0.9679903720785294,0.8701714285714287,1.0,1.0
