condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,high_anomaly,33,11,1.0,1.0,1748.4848484848485,0.0,0.0,9059.999999999998,1.0,,0.0
anomaly_direction,low_anomaly,24,8,1.0,1.0,170.83333333333334,0.0,0.0,969.9999999999995,1.0,,0.0
anomaly_direction,normal,375,125,0.9893333333333333,0.992,869.3333333333334,0.0,0.0,3950.0000000000055,0.6842105263157895,0.0,0.016
difficulty_failure,hit_day,420,140,1.0,1.0,788.8095238095239,0.0,0.0,3704.9999999999955,0.9047619047619048,0.0,0.004761904761904762
difficulty_failure,miss_day,12,4,0.6666666666666666,0.75,4708.333333333333,0.0,4975.0,20654.999999999993,0.2,0.0,0.3333333333333333
pred_span_quartile,Q1,108,79,0.9629629629629629,0.9722222222222222,3264.814814814815,0.0,2925.0,17030.0,0.625,0.0,0.05555555555555555
pred_span_quartile,Q2,108,83,1.0,1.0,241.66666666666666,0.0,0.0,1664.999999999999,1.0,,0.0
pred_span_quartile,Q3,108,80,1.0,1.0,84.25925925925925,0.0,0.0,564.9999999999991,1.0,,0.0
pred_span_quartile,Q4,108,82,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
weekday,Friday,63,21,1.0,1.0,644.4444444444445,0.0,0.0,3090.0,1.0,,0.0
weekday,Monday,60,20,1.0,1.0,740.0,0.0,0.0,3919.999999999993,1.0,,0.0
weekday,Saturday,63,21,1.0,1.0,155.55555555555554,0.0,0.0,1179.9999999999998,1.0,,0.0
weekday,Sunday,63,21,0.9841269841269841,0.9841269841269841,1957.142857142857,0.0,0.0,14499.999999999993,0.4,0.0,0.047619047619047616
weekday,Thursday,63,21,0.9682539682539683,0.9841269841269841,460.3174603174603,0.0,0.0,2559.9999999999995,0.5,0.0,0.031746031746031744
weekday,Tuesday,60,20,1.0,1.0,1096.6666666666667,0.0,0.0,4379.999999999995,1.0,,0.0
weekday,Wednesday,60,20,0.9833333333333333,0.9833333333333333,1248.3333333333333,0.0,0.0,7534.999999999998,0.8,0.0,0.016666666666666666
