hall,date,machine_name,machine_number,diff,games,days_since_debut,debut_phase,games_14d,games_tier,pre_existing
蒲田7,2026-04-06,A‐SLOT+ 異世界かるてっと,2143,-100,6001,0.0,1-14日,,,False
蒲田7,2026-04-06,A‐SLOT+ 異世界かるてっと,2144,300,7198,0.0,1-14日,,,False
蒲田7,2026-04-06,A‐SLOT+ 異世界かるてっと,2145,-1800,5761,0.0,1-14日,,,False
蒲田7,2026-04-07,A‐SLOT+ 異世界かるてっと,2143,-2000,7694,1.0,1-14日,,,False
蒲田7,2026-04-07,A‐SLOT+ 異世界かるてっと,2144,-1200,7586,1.0,1-14日,,,False
蒲田7,2026-04-07,A‐SLOT+ 異世界かるてっと,2145,1900,5881,1.0,1-14日,,,False
蒲田7,2026-04-08,A‐SLOT+ 異世界かるてっと,2143,-200,8059,2.0,1-14日,,,False
蒲田7,2026-04-08,A‐SLOT+ 異世界かるてっと,2144,-1100,5889,2.0,1-14日,,,False
蒲田7,2026-04-08,A‐SLOT+ 異世界かるてっと,2145,-1700,5139,2.0,1-14日,,,False
蒲田7,2026-04-09,A‐SLOT+ 異世界かるてっと,2143,-1000,5847,3.0,1-14日,6578.666666666667,高,False
蒲田7,2026-04-09,A‐SLOT+ 異世界かるてっと,2144,-1200,6329,3.0,1-14日,6578.666666666667,高,False
蒲田7,2026-04-09,A‐SLOT+ 異世界かるてっと,2145,-2300,5616,3.0,1-14日,6578.666666666667,高,False
蒲田7,2026-04-10,A‐SLOT+ 異世界かるてっと,2143,100,7578,4.0,1-14日,6416.666666666667,高,False
蒲田7,2026-04-10,A‐SLOT+ 異世界かるてっと,2144,-2100,5763,4.0,1-14日,6416.666666666667,高,False
蒲田7,2026-04-10,A‐SLOT+ 異世界かるてっと,2145,100,6811,4.0,1-14日,6416.666666666667,高,False
蒲田7,2026-04-11,A‐SLOT+ 異世界かるてっと,2143,-1500,7271,5.0,1-14日,6476.8,高,False
蒲田7,2026-04-11,A‐SLOT+ 異世界かるてっと,2144,2000,8236,5.0,1-14日,6476.8,高,False
蒲田7,2026-04-11,A‐SLOT+ 異世界かるてっと,2145,-3000,7446,5.0,1-14日,6476.8,高,False
蒲田7,2026-04-12,A‐SLOT+ 異世界かるてっと,2143,-100,8240,6.0,1-14日,6672.5,高,False
蒲田7,2026-04-12,A‐SLOT+ 異世界かるてっと,2144,-4500,6923,6.0,1-14日,6672.5,高,False
蒲田7,2026-04-12,A‐SLOT+ 異世界かるてっと,2145,-2000,6615,6.0,1-14日,6672.5,高,False
蒲田7,2026-04-13,A‐SLOT+ 異世界かるてっと,2143,1900,7113,7.0,1-14日,6756.333333333334,高,False
蒲田7,2026-04-13,A‐SLOT+ 異世界かるてっと,2144,700,7281,7.0,1-14日,6756.333333333334,高,False
蒲田7,2026-04-13,A‐SLOT+ 異世界かるてっと,2145,-2900,5795,7.0,1-14日,6756.333333333334,高,False
蒲田7,2026-04-14,A‐SLOT+ 異世界かるてっと,2143,400,6707,8.0,1-14日,6753.0,高,False
蒲田7,2026-04-14,A‐SLOT+ 異世界かるてっと,2144,1000,7503,8.0,1-14日,6753.0,高,False
蒲田7,2026-04-14,A‐SLOT+ 異世界かるてっと,2145,-3900,3860,8.0,1-14日,6753.0,高,False
蒲田7,2026-04-15,A‐SLOT+ 異世界かるてっと,2143,-200,7644,9.0,1-14日,6671.925925925926,高,False
蒲田7,2026-04-15,A‐SLOT+ 異世界かるてっと,2144,-1400,6344,9.0,1-14日,6671.925925925926,高,False
蒲田7,2026-04-15,A‐SLOT+ 異世界かるてっと,2145,1100,7847,9.0,1-14日,6671.925925925926,高,False
蒲田7,2026-04-16,A‐SLOT+ 異世界かるてっと,2143,-1200,7928,10.0,1-14日,6732.5666666666675,高,False
蒲田7,2026-04-16,A‐SLOT+ 異世界かるてっと,2144,-2300,7184,10.0,1-14日,6732.5666666666675,高,False
