score_type,gamma,rho,rho_event,rho_nonevent,lift_5x5,lift_5x5_event,lift_5x5_nonevent,avg_diff_per_machine,n_days
base_only,,0.1719172632707598,0.18876887937085374,0.1664651911885635,1.247443889926232,1.3333806971051039,1.2212892094804886,411.9527683668988,60
event_blend_gamma_1.0,1.0,0.1719172632707598,0.18876887937085374,0.1664651911885635,1.247443889926232,1.3333806971051039,1.2212892094804886,411.9527683668988,60
nonevent_blend_gamma_1.0,1.0,0.1719172632707598,0.18876887937085374,0.1664651911885635,1.247443889926232,1.3333806971051039,1.2212892094804886,411.9527683668988,60
event_blend_gamma_0.7,0.7,0.17115027119517404,0.18248580351600616,0.1664651911885635,1.237597237617982,1.2911807586411743,1.2212892094804886,406.5527683668988,60
event_blend_gamma_0.5,0.5,0.16924958684451644,0.17189160411234533,0.1664651911885635,1.230143376280701,1.2592356386242558,1.2212892094804886,403.9527683668988,60
nonevent_blend_gamma_0.7,0.7,0.16912206246113873,0.18876887937085374,0.16265061646168244,1.2320818317283546,1.3333806971051039,1.201251742265866,386.99647248886384,60
nonevent_blend_gamma_0.5,0.5,0.16743558337304063,0.18876887937085374,0.1603670234668996,1.230900919130525,1.3333806971051039,1.1997114214860876,393.1670650605434,60
event_blend_gamma_0.3,0.3,0.16649205981769682,0.16082426878872902,0.1664651911885635,1.2238272592022976,1.2321665654310983,1.2212892094804886,397.0861017002322,60
nonevent_blend_gamma_0.3,0.3,0.16517105467509874,0.18876887937085374,0.15704973533825115,1.2228505190292858,1.3333806971051039,1.1892108996149062,383.25934029738374,60
adaptive,0.5,0.1645747806634065,0.17189160411234533,0.1603670234668996,1.2136004054849936,1.2592356386242558,1.1997114214860876,385.1670650605434,60
nonevent_only,,0.15929156165262923,0.18121095907610338,0.15252707224449086,1.1789671472003314,1.2249442132239559,1.1649741271061849,338.7677944862155,60
event_only,,0.15350788581093128,0.1411405387845104,0.15686956168392657,1.216725596285222,1.2453702304926957,1.2080076641351212,441.95656565656566,60
dow_only,,0.1224848088464511,0.1216629710909666,0.122364419326272,1.116566870950584,1.133771707366226,1.1113306163893015,178.14166319950075,60
dd_only,,0.0830369848272743,0.12352259340675872,0.07194811856962123,1.070923542052746,1.0765055291587895,1.069224676411776,188.05471746450004,60
