hall,axis_value,swap_date,n_days_before,t_before,n_days_after,t_after,swap_verdict
楽園,1031-1040,20260105,367,5.6145789216541395,181,2.346832537526889,persists_across_swap
楽園,1041-1050,20260105,367,3.679365368900385,181,2.8742890537186825,persists_across_swap
楽園,1051-1060,20250303,61,-1.6340817018861518,487,4.64917261392342,weakens_after_swap
楽園,1101-1110,,0,0.0,0,0.0,no_clear_swap_in_window
楽園,1131-1140,,0,0.0,0,0.0,no_clear_swap_in_window
楽園,1151-1160,,0,0.0,0,0.0,no_clear_swap_in_window
楽園,1191-1200,20250929,269,-2.707606118063386,279,-2.6812593751283442,persists_across_swap
楽園,1201-1210,,0,0.0,0,0.0,no_clear_swap_in_window
楽園,2131-2140,20260303,421,3.3831282011395474,123,2.4072307347335045,persists_across_swap
楽園,3221-3230,20250804,213,1.372224241588507,335,4.226349449036349,persists_across_swap
金時,341-350,,0,0.0,0,0.0,no_clear_swap_in_window
金時,401-410,,0,0.0,0,0.0,no_clear_swap_in_window
金時,411-420,,0,0.0,0,0.0,no_clear_swap_in_window
金時,421-430,,0,0.0,0,0.0,no_clear_swap_in_window
金時,431-440,,0,0.0,0,0.0,no_clear_swap_in_window
金時,461-470,20251206,337,4.7888646408870015,210,2.679052869297875,persists_across_swap
レイトギャップ,571-580,,0,0.0,0,0.0,no_clear_swap_in_window
レイトギャップ,711-720,,0,0.0,0,0.0,no_clear_swap_in_window
レイトギャップ,721-730,,0,0.0,0,0.0,no_clear_swap_in_window
レイトギャップ,731-740,20251006,198,5.061574321418331,270,2.5725295654214797,persists_across_swap
レイトギャップ,741-750,,0,0.0,0,0.0,no_clear_swap_in_window
レイトギャップ,861-870,20260202,316,-5.9695675887962025,152,-3.8655013306084527,persists_across_swap
ザシティ,771-780,,0,0.0,0,0.0,no_clear_swap_in_window
