日付,曜日,店舗,島/台番,機種,レート,差枚,台数,勝率,末尾,コメント,矛盾フラグ
2025.08.18,月曜日,蒲田7,,麻雀物語,A,180800,715,332/715,,,
2025.08.18,月曜日,蒲田7,,七つの魔剣,A,180800,715,332/715,,,
2025.08.18,月曜日,蒲田7,,レヴュースタァライト,A,180800,715,332/715,,,
2025.08.22,金曜日,蒲田7,,甲鉄城のカバネリ,B,121600,715,309/715,,,
2025.08.22,金曜日,蒲田7,,番長ZERO,B,121600,715,309/715,,,
2025.08.23,土曜日,蒲田7,,SAO,S,317300,715,344/715,,,
2025.08.28,木曜日,蒲田7,,ハッピーVⅢ,A,249200,715,347/715,,,
2025.08.28,木曜日,蒲田7,,甲鉄城のカバネリ,A,249200,715,347/715,,,
2025.08.28,木曜日,蒲田7,,シャーマンキング,A,249200,715,347/715,,,
2025.08.28,木曜日,蒲田7,,ラブ嬢3,A,249200,715,347/715,③⑨,,
2025.08.30,土曜日,蒲田7,,レヴュースタァライト,B,94700,715,299/715,,,
2025.08.31,日曜日,蒲田7,,番長4,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,ヴヴヴ,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,アズールレーン,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,レヴュースタァライト,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,ハッピーVⅢ,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,真一騎当千,S,396900,715,368/715,,,
2025.08.31,日曜日,蒲田7,,カイジ狂宴,S,396900,715,368/715,,,
2025.09.01,月曜日,蒲田7,,マイⅤ,A,226100,715,333/715,,,
2025.09.01,月曜日,蒲田7,,吉宗,A,226100,715,333/715,,,
2025.09.01,月曜日,蒲田7,,カイジ狂宴,A,226100,715,333/715,,,
2025.09.02,火曜日,蒲田1,,ルパン三世大航海,SS,225000,350,186/350,,,
2025.09.02,火曜日,蒲田1,,モンキーⅤ,SS,225000,350,186/350,①⑦⑥,,
2025.09.02,火曜日,蒲田1,,ルパン三世大航海,SS,225000,350,186/350,,,
2025.09.02,火曜日,蒲田1,,モンキーⅤ,SS,225000,350,186/350,①⑦⑥,,
2025.09.03,水曜日,蒲田1,,ファンキー2,A,138000,350,162/350,,,
2025.09.03,水曜日,蒲田1,,レヴュースタァライト,A,138000,350,162/350,ゾロ⑥,,
2025.09.08,月曜日,蒲田1,,戦国乙女4,A,106500,350,167/350,,,
2025.09.08,月曜日,蒲田1,,スーパービンゴネオ,A,106500,350,167/350,,,
2025.09.08,月曜日,蒲田1,,北斗の拳,B,118700,715,328/715,,,
2025.09.08,月曜日,蒲田1,,からくりサーカス,B,118700,715,328/715,,,
2025.09.12,金曜日,蒲田1,,東京喰種,A,129000,350,150/350,①,,
2025.09.12,金曜日,蒲田1,,東京喰種,A,129000,350,150/350,①,,
2025.09.12,金曜日,蒲田1,,番長4,B,107600,715,295/715,,,
2025.09.18,木曜日,蒲田7,,ヴヴヴ,A,277700,715,323/715,,,
2025.09.18,木曜日,蒲田7,,SAO,A,277700,715,323/715,①,,
2025.09.23,火曜日,蒲田7,,バジ絆2天膳,B,92600,715,297/715,,,
2025.09.23,火曜日,蒲田1,,バジ絆2天膳,B,92600,715,297/715,,,
2025.09.28,日曜日,蒲田7,,東京喰種,A,204800,715,316/715,,,
2025.09.28,日曜日,蒲田7,,バジ絆2天膳,A,204800,715,316/715,,,
2025.10.01,水曜日,蒲田7,,モンハンライズ,S,301200,715,303/715,,,
2025.10.01,水曜日,蒲田7,,ジャグガール,S,301200,715,303/715,,,
2025.10.01,水曜日,蒲田7,,ハッピーVⅢ,B,65700,350,135/350,,,
2025.10.01,水曜日,蒲田7,,DMC5ST,B,65700,350,135/350,,,
2025.10.01,水曜日,蒲田7,,レヴュースタァライト,B,65700,350,135/350,,,
2025.10.01,水曜日,蒲田7,,モンハンライズ,S,301200,715,303/715,,,
2025.10.01,水曜日,蒲田7,,ジャグガール,S,301200,715,303/715,,,
2025.10.01,水曜日,蒲田7,,ハッピーVⅢ,B,65700,350,135/350,,,
2025.10.01,水曜日,蒲田7,,DMC5ST,B,65700,350,135/350,,,
2025.10.01,水曜日,蒲田7,,レヴュースタァライト,B,65700,350,135/350,,,
2025.10.05,日曜日,蒲田1,,ダリフラ,B,600,350,143/350,,,
2025.10.05,日曜日,蒲田1,,防振り,B,600,350,143/350,②,,
2025.10.05,日曜日,蒲田1,,防振り,A,185800,715,310/715,⑤,,
2025.10.12,日曜日,蒲田1,,モンキーⅤ,A,110700,350,153/350,,,
2025.10.12,日曜日,蒲田1,,SAO,A,110700,350,153/350,⑤,,
2025.10.12,日曜日,蒲田7,,吉宗,C,-133900,715,261/715,,,
2025.10.12,日曜日,蒲田7,,モンキーⅤ,A,110700,350,153/350,,,
2025.10.12,日曜日,蒲田7,,SAO,A,110700,350,153/350,⑤,,
2025.10.14,火曜日,蒲田7,,DMC5ST,A,243500,715,323/715,,,
2025.10.14,火曜日,蒲田7,,ハッピーVⅢ,A,243500,715,323/715,,,
2025.10.14,火曜日,蒲田7,,ミスタージャグラー,A,243500,715,323/715,,,
2025.10.19,日曜日,蒲田7,,DMC5ST,C,-13900,350,140/350,,,
2025.10.22,水曜日,蒲田1,,ジャグラーガールズ,C,-8800,350,122/350,ゾロ,,
2025.10.26,日曜日,蒲田7,,ディスクアップUR,B,45500,715,305/715,,,
2025.10.26,日曜日,蒲田7,,レヴュースタァライト,B,45500,715,305/715,,,
2025.10.26,日曜日,蒲田7,,ディスクアップUR,B,45500,715,305/715,,,
2025.10.26,日曜日,蒲田7,,レヴュースタァライト,B,45500,715,305/715,,,
2025.10.28,火曜日,蒲田7,,スマスロ炎炎,A,159000,715,321/715,,,
2025.10.28,火曜日,蒲田7,,バジ絆2天膳,A,159000,715,321/715,⑦,,
2025.10.31,金曜日,蒲田7,,新鬼武者3,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,ファンキー2,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,シャーマンキング,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,真一騎当千,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,DMC5ST,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,主役は銭形5,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,東京リベンジャーズ,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,レヴュースタァライト,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,DMC5ST,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,主役は銭形5,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,東京リベンジャーズ,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,レヴュースタァライト,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,新鬼武者3,S,417900,715,330/715,,,
