condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,4,1.0,,0.0,0.0,1050.0
anomaly_direction,low_anomaly,24,3,1.0,,0.0,1000.0,1650.0
anomaly_direction,normal,375,17,0.5882352941176471,0.0,0.018666666666666668,3600.0,11700.0
difficulty_failure,hit_day,420,18,0.8333333333333334,0.0,0.007142857142857143,0.0,2025.0
difficulty_failure,miss_day,12,6,0.3333333333333333,0.0,0.3333333333333333,10700.0,15750.0
pred_span_quartile,Q1,108,14,0.5714285714285714,0.0,0.05555555555555555,4800.0,11275.0
pred_span_quartile,Q2,108,9,0.8888888888888888,0.0,0.009259259259259259,0.0,1000.0
pred_span_quartile,Q3,108,1,1.0,,0.0,0.0,0.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,1,1.0,,0.0,4200.0,4200.0
weekday,Monday,60,2,1.0,,0.0,0.0,0.0
weekday,Saturday,63,4,1.0,,0.0,0.0,250.0
weekday,Sunday,63,6,0.3333333333333333,0.0,0.06349206349206349,16800.0,20025.0
weekday,Thursday,63,4,0.5,0.0,0.031746031746031744,2400.0,5125.0
weekday,Tuesday,60,2,1.0,,0.0,100.0,150.0
weekday,Wednesday,60,5,0.8,0.0,0.016666666666666666,0.0,5400.0
