hall,machine_name,event_type,n_event_days,n_normal_days,hit104_rate_event,hit104_rate_normal,hit104_gap,hit104_chi2_p,hit104_cramers_v,bottom3_rate_event,bottom3_rate_normal,bottom3_gap,bottom3_chi2_p,bottom3_cramers_v,note
蒲田7,BIRDIE WING ‐Golf Girls' Story‐,is_any_event,50,59,24.0,27.11864406779661,-3.118644067796609,0.7103863398803377,0.03556766003267131,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,BIRDIE WING ‐Golf Girls' Story‐,is_weekend,30,79,23.333333333333332,26.582278481012654,-3.248945147679322,0.7287840585447306,0.03321199983220063,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,BIRDIE WING ‐Golf Girls' Story‐,is_x_day,30,79,23.333333333333332,26.582278481012654,-3.248945147679322,0.7287840585447306,0.03321199983220063,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,からくりサーカス,is_any_event,2610,2480,38.42911877394636,34.596774193548384,3.8323445803979723,0.004544373172748034,0.03977438161053044,0.8045977011494253,0.6451612903225806,-0.15943641082684468,0.503307902823748,0.009381193458552069,
蒲田7,からくりサーカス,is_weekend,1500,3590,37.86666666666667,36.016713091922,1.8499535747446672,0.2115147446243672,0.017512432506249467,0.46666666666666673,0.8356545961002786,0.36898792943361186,0.15770716440082702,0.019802932271853275,
蒲田7,からくりサーカス,is_x_day,1534,3556,38.78748370273794,35.60179977502812,3.1856839277098175,0.030353331266013306,0.03035212005236908,1.0430247718383312,0.5905511811023622,-0.45247359073596904,0.08121253300813223,0.024440567220936543,
蒲田7,アクダマドライブ,is_any_event,62,61,29.03225806451613,31.147540983606557,-2.1152829190904257,0.7981365853123066,0.02306105316864612,1.6129032258064515,0.0,-1.6129032258064515,0.3192697850061411,0.08980265101338746,warning: 50.0% of expected cells are below 5
蒲田7,アクダマドライブ,is_weekend,34,89,29.411764705882355,30.337078651685395,-0.9253139458030404,0.9202847025160071,0.00902346798571747,2.941176470588235,0.0,-2.941176470588235,0.10426238461773082,0.14647908872251952,warning: 50.0% of expected cells are below 5
蒲田7,アクダマドライブ,is_x_day,36,87,30.555555555555557,29.88505747126437,0.6704980842911858,0.9411891944564121,0.006652093277463659,0.0,1.1494252873563218,1.1494252873563218,0.5183451021981829,0.058238704909845236,warning: 50.0% of expected cells are below 5
蒲田7,アズールレーン THE ANIMATION,is_any_event,1052,1139,35.551330798479086,28.709394205443374,6.841936593035712,0.000603164953059121,0.07328188531432782,0.8555133079847909,1.0535557506584723,0.19804244267368143,0.6345405040491165,0.010155200257398281,
蒲田7,アズールレーン THE ANIMATION,is_weekend,625,1566,36.32,30.268199233716476,6.051800766283524,0.006104039982159495,0.05858256274507292,0.96,0.9578544061302682,-0.002145593869731788,0.9962863277272297,9.943605660726448e-05,
蒲田7,アズールレーン THE ANIMATION,is_x_day,646,1545,34.36532507739938,31.00323624595469,3.3620888314446944,0.12395996633132543,0.032865295513171536,0.9287925696594427,0.9708737864077669,0.04208121674832421,0.9265527075799996,0.00196937887582039,
蒲田7,ガールズ&パンツァー 最終章,is_any_event,490,504,37.55102040816327,38.88888888888889,-1.337868480725625,0.6643216690346438,0.013764192775336338,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,ガールズ&パンツァー 最終章,is_weekend,291,703,35.738831615120276,39.26031294452347,-3.521481329403194,0.2985252377186931,0.03297414651086823,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,ガールズ&パンツァー 最終章,is_x_day,299,695,40.13377926421405,37.410071942446045,2.7237073217680035,0.41770365922911423,0.02570469474877781,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,ゴッドイーター リザレクション,is_any_event,2546,2670,32.67871170463472,30.262172284644194,2.416539419990528,0.060244465744193475,0.026017049021230084,0.1178318931657502,0.0749063670411985,-0.042925526124551694,0.6165448451791943,0.006933538293310427,warning: 50.0% of expected cells are below 5
蒲田7,ゴッドイーター リザレクション,is_weekend,1485,3731,33.46801346801347,30.63521844009649,2.8327950279169762,0.046749579855266024,0.02753406439266393,0.20202020202020202,0.05360493165371214,-0.14841527036648988,0.11803675419606786,0.02164257345357075,warning: 50.0% of expected cells are below 5
蒲田7,ゴッドイーター リザレクション,is_x_day,1516,3700,32.58575197889182,30.972972972972972,1.6127790059188492,0.2546487757903837,0.015772649228105676,0.06596306068601583,0.10810810810810811,0.04214504742209228,0.6551627494531258,0.006183743555666243,warning: 50.0% of expected cells are below 5
