hall,machine_name,n_machine_days,days_since_last_seen,volatility_score,hit104_rate,bottom3_lift,volatility_rank
蒲田1,シャーマンキング,725,0,0.7076513478399101,34.06896551724138,3.8231876139861756,1
蒲田1,無職転生 ～異世界行ったら本気だす～,376,0,0.5813875132264154,29.25531914893617,1.718395657011283,2
蒲田1,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,192,0,0.5421540828092853,31.770833333333332,0.5674074446976131,3
蒲田1,アズールレーン THE ANIMATION,886,0,0.491422312686851,34.537246049661405,1.7154848369919622,5
蒲田1,鉄拳6,1084,0,0.4838770670106471,32.47232472324723,1.5927078647159014,6
蒲田1,チバリヨ2プラス,1694,0,0.4799201221531781,30.57851239669421,3.572824128868161,7
蒲田1,機動戦士ガンダムユニコーン 覚醒DRIVE,177,0,0.4740665616178539,27.11864406779661,0.0,8
蒲田1,沖ドキ!DUO アンコール,790,0,0.4641176325055198,29.240506329113924,2.7319113209942403,9
蒲田1,モンスターハンターライズ,4933,0,0.45271661183789874,33.367119399959456,0.40049913331599546,11
蒲田1,バイオハザード RE:3,236,0,0.45234375922217257,27.966101694915253,3.6047836662399733,12
蒲田1,からくりサーカス,5735,0,0.44789359845298954,35.39668700959023,2.1683658353897206,13
蒲田1,ビッグドリーム THE GOLDEN PUSHER,145,0,0.42914978807752463,37.93103448275862,13.906238317421561,14
蒲田1,ヨルムンガンド,211,0,0.42622416414453196,30.80568720379147,0.5092141356355513,15
蒲田1,北斗の拳 転生の章2,2852,0,0.42424585269718185,31.100981767180926,1.4660608767086396,16
蒲田1,デビル メイ クライ5 スタイリッシュトライブ,1083,0,0.4218239784551012,31.763619575253927,0.4198046526895051,17
蒲田1,新鬼武者3,1935,0,0.4157459209585671,30.129198966408268,1.2807472386360395,18
蒲田1,ゴッドイーター リザレクション,4321,0,0.40125028753653785,30.826197639435314,0.2950584181629688,19
蒲田1,ミリオンゴッド‐神々の軌跡‐,537,0,0.39882439787800844,23.09124767225326,10.784741941028097,20
蒲田1,いざ！番長,1925,0,0.385931041804337,31.324675324675326,1.5428856503104302,21
蒲田1,真打 吉宗,332,0,0.38189152289577627,37.65060240963856,3.5376603886745737,22
蒲田1,攻殻機動隊,442,0,0.3797469241294346,32.126696832579185,1.209049740639259,23
蒲田1,東京喰種,5283,0,0.3729248637328435,36.89191747113383,6.962238488831094,24
蒲田1,ToLOVEるダークネス TRANCE ver.8.7,1897,0,0.36921661889268775,35.582498682129675,3.149782201731177,25
蒲田1,沖ドキ!ゴージャス 30Φ,1296,0,0.36844133372939075,34.10493827160494,3.9196441597121088,26
蒲田1,吉宗,2319,0,0.35419216588162317,32.21216041397154,2.414827550510235,27
蒲田1,マギアレコード 魔法少女まどか☆マギカ外伝,2922,0,0.35296318914489394,34.770704996577685,0.5790129342320856,28
蒲田1,革命機ヴァルヴレイヴ2,2832,0,0.34927250736532833,32.45056497175141,2.971208332817987,29
