hall,n_volatile_machines_tested,"pct_with_cramers_v_over_0.1(hit104, is_any_event)","pct_with_cramers_v_over_0.1(bottom3, is_any_event)",tokyo_ghoul_machine_name,tokyo_ghoul_volatility_rank,tokyo_ghoul_hit104_gap_any_event,tokyo_ghoul_bottom3_gap_any_event
蒲田1,17,5.88235294117647,6.25,東京喰種,24,4.227902765201641,0.6270008951627677
蒲田7,19,0.0,0.0,東京喰種,22,3.7767014103203422,-0.33172110691490575
みとや,11,0.0,0.0,東京喰種,11,9.346566925797354,-0.6470770384132729
