variant,window,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_test_days
v6a_hit_an,90,all,-11.0,187.8765060240964,-198.8765060240964,40.0,98.91941059604125,1.0,2.0,3.5,1.4280000000000002,1.4280000000000002,0.9996,2
v6a_hit_an,90,event,-266.0,210.84337349397592,-476.84337349397595,38.0,98.38886682239323,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,1
v6a_hit_an,90,non_event,244.0,164.90963855421685,79.09036144578315,42.0,99.44995436968925,1.0,2.0,5.0,1.4280000000000002,1.4280000000000002,1.428,1
v7_lift_weights,90,all,-27.0,189.0813253012048,-216.0813253012048,41.0,99.02673799303963,1.0,1.5,2.5,1.4280000000000002,1.0710000000000002,0.7140000000000001,2
v7_lift_weights,90,event,-444.0,224.24698795180723,-668.2469879518072,36.0,96.6959979635092,1.0,1.0,1.0,1.4280000000000002,0.7140000000000001,0.2856,1
v7_lift_weights,90,non_event,390.0,153.9156626506024,236.0843373493976,46.0,101.35747802257005,1.0,2.0,4.0,1.4280000000000002,1.4280000000000002,1.1424,1
v8_dynamic,90,all,70.0,181.77710843373495,-111.77710843373492,41.0,99.9860791918548,1.0,2.0,3.5,1.4280000000000002,1.4280000000000002,0.9996,2
v8_dynamic,90,event,-284.0,212.1987951807229,-496.19879518072287,38.0,98.23491783681396,1.0,2.0,2.0,1.4280000000000002,1.4280000000000002,0.5712,1
v8_dynamic,90,non_event,424.0,151.35542168674698,272.644578313253,44.0,101.73724054689563,1.0,2.0,5.0,1.4280000000000002,1.4280000000000002,1.428,1
