component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2108,0.1619,0.3311,0.4545,0.001,0.5024,0.3214,0.3268,0.2791
c2,0.2108,1.0,0.0465,0.098,0.025,0.0086,0.1091,0.0744,0.0507,0.0593
c3,0.1619,0.0465,1.0,-0.1059,0.1653,0.0078,0.1071,0.1084,-0.0028,0.0628
c4,0.3311,0.098,-0.1059,1.0,0.1614,0.0006,0.1693,0.0302,0.1937,0.025
c5,0.4545,0.025,0.1653,0.1614,1.0,0.0094,0.3349,0.2214,0.2104,0.1258
c6,0.001,0.0086,0.0078,0.0006,0.0094,1.0,0.0292,0.0546,0.0089,0.0484
hist_diff,0.5024,0.1091,0.1071,0.1693,0.3349,0.0292,1.0,0.6523,0.5896,0.6229
hist_payout,0.3214,0.0744,0.1084,0.0302,0.2214,0.0546,0.6523,1.0,0.2846,0.6797
hist_winrate,0.3268,0.0507,-0.0028,0.1937,0.2104,0.0089,0.5896,0.2846,1.0,0.4763
hist_hit_an,0.2791,0.0593,0.0628,0.025,0.1258,0.0484,0.6229,0.6797,0.4763,1.0
