hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
金時,ジャグラーガールズ,hit104,2026-04-02..2026-06-30,258,0.21576206847724352,0.09447898009628224,木,2026-01-02..2026-04-01,257,0.11018266585758504,0.13019528250043855,月,7,0.198206241793023,0.6700850339168265,False,False,
金時,ジャグラーガールズ,plus,2026-04-02..2026-06-30,258,0.9151352932939314,0.0,月,2026-01-02..2026-04-01,257,0.3344549255343928,0.05699792279160959,木,7,0.5714285714285715,0.18020198891152767,False,True,
金時,スマスロ サンダーV,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=2 < 40
金時,スマスロ サンダーV,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=2 < 40
金時,スマスロ ハナビ,hit104,2026-04-02..2026-06-30,291,0.44588243843498865,0.0,水,2026-03-04..2026-04-01,109,0.12532829295977754,0.19072864563343697,木,7,0.12613124477737828,0.7875721594074738,False,False,
金時,スマスロ ハナビ,plus,2026-04-02..2026-06-30,291,0.47730864780278126,0.0,水,2026-03-04..2026-04-01,109,0.5161413348827659,0.0,木,7,-0.23424374030084535,0.6131550369752419,False,False,
金時,スマスロ北斗の拳,hit104,2026-04-02..2026-06-30,228,0.02496634828282247,0.19267020018067668,月,2026-01-02..2026-04-01,341,0.5408935654202334,0.0,月,7,0.01801874925391118,0.9694153868031988,True,False,
金時,スマスロ北斗の拳,plus,2026-04-02..2026-06-30,228,0.045026030739926996,0.17372594894956114,月,2026-01-02..2026-04-01,341,0.6667300640695699,0.0,木,7,-0.21622499104693418,0.6414455093539174,True,False,
金時,スマスロ炎炎ノ消防隊2,hit104,2026-04-02..2026-06-30,177,0.19707384579145965,0.12085097107212751,火,2026-03-04..2026-04-01,58,0.6491940952670263,0.0,月,7,-0.2000330660496597,0.667166325705988,False,False,
金時,スマスロ炎炎ノ消防隊2,plus,2026-04-02..2026-06-30,177,0.4268786047619316,0.0,火,2026-03-04..2026-04-01,58,0.8992125423261167,0.0,月,7,0.16993235521110622,0.7156610767951223,False,False,
金時,スーパーブラックジャック,hit104,2026-03-31..2026-06-28,59,0.375858910154039,0.07606204231858947,日,2026-01-01..2026-03-30,67,0.8542870937555815,0.0,日,7,0.7818181818181817,0.03782289184415104,False,True,
金時,スーパーブラックジャック,plus,2026-03-31..2026-06-28,59,0.5675567718018641,0.0,日,2026-01-01..2026-03-30,67,0.8542870937555815,0.0,日,7,0.7090909090909091,0.07440093570102731,False,True,
金時,スーパーリオエース2,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 40; window1_n=0 < 40
金時,スーパーリオエース2,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 40; window1_n=0 < 40
金時,タクトオーパス デスティニー,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=19 < 40; window1_n=0 < 40
金時,タクトオーパス デスティニー,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=19 < 40; window1_n=0 < 40
金時,ディスクアップ2,hit104,2026-04-02..2026-06-30,170,0.19505286821554307,0.12406977499159418,金,2026-01-02..2026-04-01,172,0.7148289360332929,0.0,土,7,-0.07207499701564472,0.877959250822513,False,False,
金時,ディスクアップ2,plus,2026-04-02..2026-06-30,170,0.13298612082915967,0.14940424602962246,金,2026-01-02..2026-04-01,172,0.46300271154407235,0.0,水,7,-0.12613124477737825,0.7875721594074738,False,False,
金時,ネオアイムジャグラーEX,hit104,2026-04-02..2026-06-30,878,0.8086713151291082,0.0,月,2026-01-02..2026-04-01,888,0.13955049869684616,0.06420862315040697,金,7,-0.03571428571428572,0.9394082054712856,False,False,
金時,ネオアイムジャグラーEX,plus,2026-04-02..2026-06-30,878,0.8343628767340522,0.0,金,2026-01-02..2026-04-01,888,0.6250480909131377,0.0,土,7,0.5357142857142858,0.21521745567801298,False,True,
金時,ハッピージャグラーVIII,hit104,2026-04-02..2026-06-30,173,0.6004826268621304,0.0,日,2026-01-02..2026-04-01,175,0.7719538465689109,0.0,火,7,0.2545454545454545,0.5817326597313515,False,False,
金時,ハッピージャグラーVIII,plus,2026-04-02..2026-06-30,173,0.7001803122528254,0.0,日,2026-01-02..2026-04-01,175,0.7660259594099009,0.0,金,7,-0.14285714285714288,0.7599453002180927,False,False,
金時,バイオハザード RE:3,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,バイオハザード RE:3,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,バーサスリヴァイズ,hit104,2026-04-02..2026-06-30,83,0.5489985617959539,0.0,水,2026-01-02..2026-03-31,80,0.6512958842381857,0.0,金,7,0.2727723627949905,0.5539606519328917,False,False,
金時,バーサスリヴァイズ,plus,2026-04-02..2026-06-30,83,0.7431875566707531,0.0,金,2026-01-02..2026-03-31,80,0.9122359821320644,0.0,金,7,0.41443123283995714,0.35526894376605234,False,False,
金時,ビッグドリーム THE GOLDEN PUSHER,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=30 < 40; window1_n=0 < 40
金時,ビッグドリーム THE GOLDEN PUSHER,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=30 < 40; window1_n=0 < 40
金時,ファンキージャグラー2,hit104,2026-04-02..2026-06-30,616,0.09647644500423418,0.08777729487771296,火,2026-01-02..2026-04-01,627,0.18249168930357912,0.06729960875974048,土,7,-0.8829187134416479,0.008450342381896618,False,False,
金時,ファンキージャグラー2,plus,2026-04-02..2026-06-30,616,0.554831282908915,0.0,日,2026-01-02..2026-04-01,627,0.5107672303260267,0.0,土,7,0.36037498507822363,0.4271488085609065,False,False,
金時,マイジャグラーV,hit104,2026-04-02..2026-06-30,974,0.9316987530824355,0.0,土,2026-01-02..2026-04-01,981,0.9582191975130762,0.0,水,7,-0.594618725379069,0.1590899937011847,False,False,
金時,マイジャグラーV,plus,2026-04-02..2026-06-30,974,0.35400724051809873,0.02580846731468057,月,2026-01-02..2026-04-01,981,0.9702815422269055,0.0,土,7,0.594618725379069,0.1590899937011847,False,True,
金時,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,2026-04-03..2026-06-30,174,0.24977308371461945,0.10226230646589211,木,2026-01-02..2026-04-01,208,0.22090614871145806,0.10339742121062367,火,7,0.03571428571428572,0.9394082054712856,False,False,
金時,マギアレコード 魔法少女まどか☆マギカ外伝,plus,2026-04-03..2026-06-30,174,0.2295149092442472,0.10976527985240306,木,2026-01-02..2026-04-01,208,0.5436692738556752,0.0,火,7,0.34235623582431246,0.4522512215909064,False,False,
金時,ミスタージャグラー,hit104,2026-04-02..2026-06-30,259,0.3064867611449573,0.06631825578709218,金,2026-01-02..2026-04-01,265,0.19021494893350763,0.10099731980016036,火,7,-0.10714285714285716,0.8191508555699912,False,False,
金時,ミスタージャグラー,plus,2026-04-02..2026-06-30,259,0.4343085229404494,0.0,水,2026-01-02..2026-04-01,265,0.2744244145558758,0.07561349372377468,金,7,0.3119397334524689,0.4958191579101727,False,False,
金時,ミリオンゴッド‐神々の軌跡‐,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,ミリオンゴッド‐神々の軌跡‐,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,モンキーターンV,hit104,2026-04-02..2026-06-30,505,0.7812189461395292,0.0,日,2026-01-02..2026-04-01,502,0.6197673765907126,0.0,月,7,0.6785714285714287,0.09375025395983135,False,True,
金時,モンキーターンV,plus,2026-04-02..2026-06-30,505,0.7753211992469974,0.0,月,2026-01-02..2026-04-01,502,0.8997792986117086,0.0,月,7,0.5714285714285715,0.18020198891152767,False,True,
金時,ヨルムンガンド,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,ヨルムンガンド,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,不二子BT,hit104,2026-04-02..2026-06-30,84,0.8778551126793865,0.0,木,2026-01-22..2026-03-31,67,0.22725274493059283,0.1766908997253706,水,7,0.19266865889711313,0.6789524571942249,False,False,
金時,不二子BT,plus,2026-04-02..2026-06-30,84,0.6892630277518839,0.0,木,2026-01-22..2026-03-31,67,0.3809355478761953,0.06733913901480536,水,7,-0.22438727760202976,0.6285853469476036,False,False,
金時,主役は銭形5,hit104,2026-03-10..2026-06-07,118,0.47261118632903376,0.0,月,2025-12-10..2026-03-09,163,0.1401313446648903,0.14936649459069976,月,7,0.21428571428571433,0.6445115810207203,False,False,
金時,主役は銭形5,plus,2026-03-10..2026-06-07,118,0.46773743091630393,0.0,月,2025-12-10..2026-03-09,163,0.20618392572591845,0.12234483525618474,月,7,0.21622499104693418,0.6414455093539174,False,False,
金時,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,hit104,2026-04-02..2026-06-30,132,0.3549122835926586,0.06764240541101331,木,2026-01-02..2026-04-01,147,0.9515446569033438,0.0,火,7,-0.10811249552346709,0.8175332656241182,False,False,
金時,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,plus,2026-04-02..2026-06-30,132,0.24621204127144222,0.11867983481639179,木,2026-01-02..2026-04-01,147,0.9598127636139832,0.0,木,7,0.1785714285714286,0.7016579425162727,False,False,
金時,化物語,hit104,2026-04-02..2026-06-30,229,0.6302493694794757,0.0,火,2026-01-07..2026-04-01,236,0.08154973820097902,0.14880554113177583,金,7,0.5714285714285715,0.18020198891152767,False,True,
金時,化物語,plus,2026-04-02..2026-06-30,229,0.5399034464898749,0.0,火,2026-01-07..2026-04-01,236,0.09619969003470225,0.14188791918570728,金,7,0.14285714285714288,0.7599453002180927,False,False,
金時,北斗の拳 転生の章2,hit104,2026-04-02..2026-06-30,442,0.2569460468473181,0.06276072147552178,木,2026-02-04..2026-04-01,282,0.7564118995494507,0.0,火,7,0.25226248955475655,0.585241090716058,False,False,
金時,北斗の拳 転生の章2,plus,2026-04-02..2026-06-30,442,0.2888150999550046,0.055258923820256,木,2026-02-04..2026-04-01,282,0.799351519591449,0.0,火,7,0.18018749253911182,0.6990457740939313,False,False,
金時,戦国乙女4 戦乱に閃く炯眼の軍師,hit104,2026-04-02..2026-06-30,143,0.18007473372433153,0.1415253413032171,水,2026-01-02..2026-04-01,151,0.9828196203784342,0.0,土,7,-0.28571428571428575,0.5345092286010406,False,False,
金時,戦国乙女4 戦乱に閃く炯眼の軍師,plus,2026-04-02..2026-06-30,143,0.17213141283989788,0.14495531424001232,金,2026-01-02..2026-04-01,151,0.9355492659967203,0.0,土,7,-0.6306562238868914,0.12888769568495795,False,False,
金時,押忍!番長ZERO,hit104,2026-04-02..2026-06-30,134,0.6605559107962597,0.0,火,2026-01-02..2026-04-01,124,0.30598226540273926,0.09520598094716115,木,7,0.7637626158259735,0.04565912378141159,False,True,
金時,押忍!番長ZERO,plus,2026-04-02..2026-06-30,134,0.7800535376716875,0.0,火,2026-01-02..2026-04-01,124,0.30011261037511977,0.09799420195908638,木,7,0.5,0.2531699951003227,False,True,
金時,攻殻機動隊,hit104,2026-04-02..2026-06-30,171,0.6129640302207437,0.0,日,2026-03-04..2026-04-01,57,0.8314469719047934,0.0,火,7,-0.6055300708194984,0.14960795291230727,False,False,
金時,攻殻機動隊,plus,2026-04-02..2026-06-30,171,0.38708133651167087,0.04175349651986478,土,2026-03-04..2026-04-01,57,0.5341601312575852,0.0,火,7,-0.7064517492894148,0.07598052199598385,False,False,
金時,新鬼武者3,hit104,2026-04-02..2026-06-30,179,0.23971107561489852,0.10451783659084418,火,2026-01-02..2026-04-01,307,0.11371108498659085,0.11786488703773139,日,7,0.7857142857142859,0.03623846267982715,False,True,
金時,新鬼武者3,plus,2026-04-02..2026-06-30,179,0.47595666694863814,0.0,火,2026-01-02..2026-04-01,307,0.03872975981072668,0.1540866933640242,日,7,0.642857142857143,0.11939237342741109,False,True,
金時,東京リベンジャーズ,hit104,2026-03-12..2026-06-07,105,0.250921470955569,0.13050205104491733,月,2025-12-10..2026-03-08,288,0.5237317361651059,0.0,木,7,-0.5,0.2531699951003227,False,False,
金時,東京リベンジャーズ,plus,2026-03-12..2026-06-07,105,0.30335799483805115,0.1044911923449301,月,2025-12-10..2026-03-08,288,0.3619193293648645,0.043948633476019974,木,7,-0.23424374030084535,0.6131550369752419,False,False,
金時,東京喰種,hit104,2026-04-02..2026-06-30,539,0.28343590944725716,0.05123964828968868,月,2026-01-02..2026-04-01,489,0.2197984268828416,0.06783842466014736,金,7,-0.28571428571428575,0.5345092286010406,False,False,
金時,東京喰種,plus,2026-04-02..2026-06-30,539,0.3780983815522209,0.027476855649799115,月,2026-01-02..2026-04-01,489,0.09023967423008962,0.1004906913928762,金,7,-0.3571428571428572,0.431611352038328,False,False,
金時,機動戦士ガンダムユニコーン 覚醒DRIVE,hit104,2026-05-20..2026-06-28,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,機動戦士ガンダムユニコーン 覚醒DRIVE,plus,2026-05-20..2026-06-28,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,沖ドキ!GOLD,hit104,2026-04-02..2026-06-30,137,0.5536535479803397,0.0,木,2026-01-02..2026-04-01,129,0.08044051416752122,0.20197016970450224,火,7,0.7387687194103585,0.057858496895692765,False,True,
金時,沖ドキ!GOLD,plus,2026-04-02..2026-06-30,137,0.8665721518927144,0.0,木,2026-01-02..2026-04-01,129,0.09291704244188992,0.19384725632490452,火,7,0.41443123283995714,0.35526894376605234,False,False,
金時,沖ドキ!ゴージャス 25Φ,hit104,2026-04-02..2026-06-30,153,0.25899671737648416,0.1052882134009519,水,2026-01-02..2026-04-01,162,0.1539281019326097,0.14382973097876325,木,7,0.37839373433213486,0.4026022019217553,False,False,
金時,沖ドキ!ゴージャス 25Φ,plus,2026-04-02..2026-06-30,153,0.13357749855254633,0.1571786647509662,水,2026-01-02..2026-04-01,162,0.13769959051749978,0.1509087174897294,木,7,0.054056247761733546,0.9083652825239955,False,False,
金時,甲鉄城のカバネリ,hit104,2026-04-02..2026-06-30,129,0.9683798544099658,0.0,月,2026-01-02..2026-03-31,139,0.5658770643958715,0.0,水,7,-0.2702812388086677,0.5577307488053694,False,False,
金時,甲鉄城のカバネリ,plus,2026-04-02..2026-06-30,129,0.8948985604612201,0.0,水,2026-01-02..2026-03-31,139,0.4169008869539577,0.00968018940670657,水,7,0.07142857142857144,0.879048193148154,False,False,
金時,甲鉄城のカバネリ 海門(うなと)決戦,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=5 < 40
金時,甲鉄城のカバネリ 海門(うなと)決戦,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=5 < 40
金時,真打 吉宗,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,真打 吉宗,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,鉄拳6,hit104,2026-04-02..2026-06-30,266,0.41133478635817794,0.017819480725638,月,2026-02-04..2026-04-01,202,0.034734831495738916,0.1937759041983096,木,7,0.21428571428571433,0.6445115810207203,False,False,
金時,鉄拳6,plus,2026-04-02..2026-06-30,266,0.5231219921596979,0.0,月,2026-02-04..2026-04-01,202,0.08739781395560461,0.15775315872417175,木,7,0.21428571428571433,0.6445115810207203,False,False,
金時,革命機ヴァルヴレイヴ2,hit104,2026-04-02..2026-06-30,236,0.4839362629121782,0.0,日,2026-01-02..2026-04-01,286,0.5210005689655512,0.0,火,7,-0.39285714285714296,0.3833168704269727,False,False,
金時,革命機ヴァルヴレイヴ2,plus,2026-04-02..2026-06-30,236,0.3596070145616476,0.04936536568766217,日,2026-01-02..2026-04-01,286,0.19997559090195405,0.09435697777775597,火,7,0.14285714285714288,0.7599453002180927,False,False,
