hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,spearman_rho,spearman_p
蒲田7,いざ！番長,plus,2026-04-02..2026-06-30,509.0,0.0062055084562518,0.1536878446986687,水,2026-01-02..2026-04-01,839.0,0.7622564889584639,0.0,水,0.8928571428571429,0.0068071874089353
蒲田7,バーサスリヴァイズ,hit104,2026-04-02..2026-06-30,169.0,0.0218274632870647,0.2284752652414957,水,2026-01-02..2026-04-01,211.0,0.071167154742613,0.1630816824913945,水,0.8288624656799143,0.0211735155810042
みとや,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,2026-04-02..2026-06-30,392.0,0.0296942727045783,0.1428564083980203,土,2026-01-02..2026-04-01,420.0,0.2634394583244473,0.062825526210522,水,0.6785714285714287,0.0937502539598313
レイトギャップ,主役は銭形5,hit104,2026-04-02..2026-06-30,149.0,0.0482223766194302,0.2119772444167054,土,2026-01-02..2026-04-01,340.0,0.5070794930842542,0.0,日,0.6666937223947136,0.1019204602461823
楽園,HEY！エリートサラリーマン鏡,hit104,2026-04-02..2026-06-30,263.0,0.0317317216298855,0.1724943101069665,月,2026-01-02..2026-04-01,273.0,0.942623043204078,0.0,月,0.6181818181818182,0.1389794392475101
楽園,マギアレコード 魔法少女まどか☆マギカ外伝,plus,2026-04-02..2026-06-30,650.0,0.0498197408636788,0.1007845897459022,水,2026-01-02..2026-04-01,726.0,0.9453071169952824,0.0,水,0.642857142857143,0.119392373427411
