day_of_week,seg,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
水,N,15,690,212.0,3723.0,42.2,36.7
水,N,16,476,458.0,3456.8,47.7,39.3
水,N,17,333,-95.0,2972.8,38.7,31.8
水,N,18,76,549.0,2437.9,47.4,35.5
水,N,19,40,-58.0,2265.7,27.5,25.0
水,N,20,44,732.0,2978.7,43.2,40.9
水,N,21,42,133.0,2414.1,47.6,38.1
水,N,22,44,430.0,2808.0,52.3,40.9
木,A,1,554,122.0,1312.8,44.0,26.0
木,A,2,486,432.0,1414.0,56.0,36.0
木,A,3,461,320.0,1312.3,51.4,32.3
木,A,4,465,639.0,1485.7,57.8,43.0
木,A,5,476,515.0,1408.0,53.8,32.6
木,A,6,463,493.0,1372.9,54.9,35.9
木,A,7,449,631.0,1448.0,57.7,39.2
木,A,8,457,512.0,1427.6,52.3,37.2
木,A,9,454,542.0,1396.9,57.7,41.4
木,A,10,458,447.0,1408.6,53.3,36.5
木,A,11,420,541.0,1459.1,55.0,34.8
木,A,12,443,501.0,1406.5,55.1,36.1
木,A,13,376,352.0,1286.8,52.4,30.6
木,A,14,308,238.0,1411.8,45.8,31.5
木,A,15,226,236.0,1241.2,52.2,31.4
木,A,16,162,124.0,1346.7,42.6,26.5
木,A,17,30,220.0,1070.1,43.3,30.0
木,A,18,29,648.0,1320.1,62.1,44.8
木,A,19,33,494.0,1448.0,60.6,36.4
木,A,20,34,562.0,1062.6,64.7,47.1
木,A,21,33,336.0,1231.8,42.4,33.3
木,A,22,41,202.0,1151.2,48.8,19.5
木,N,1,1500,16.0,3029.5,41.7,33.7
木,N,2,1347,368.0,3108.8,45.3,38.1
木,N,3,1349,464.0,3569.1,45.1,39.4
木,N,4,1286,493.0,3275.5,47.2,41.0
木,N,5,1307,495.0,3258.6,48.1,40.9
木,N,6,1299,457.0,3352.4,46.3,40.0
木,N,7,1295,463.0,3376.2,44.6,38.7
木,N,8,1291,320.0,3204.3,44.8,37.9
木,N,9,1284,197.0,3261.7,41.1,34.8
木,N,10,1137,429.0,3200.6,45.6,40.4
木,N,11,1015,224.0,3067.1,44.0,37.3
木,N,12,1048,288.0,3192.2,45.1,39.0
木,N,13,759,420.0,3544.7,44.8,38.2
木,N,14,706,252.0,3408.3,42.1,35.7
木,N,15,615,134.0,3188.8,43.9,38.5
木,N,16,422,126.0,3200.9,42.4,35.8
木,N,17,293,385.0,3197.9,44.4,37.2
木,N,18,72,342.0,1870.4,48.6,37.5
木,N,19,38,-247.0,2254.1,39.5,28.9
木,N,20,39,728.0,2572.0,56.4,46.2
木,N,21,35,337.0,2580.4,45.7,31.4
木,N,22,46,-70.0,2352.3,39.1,30.4
金,A,1,564,-12.0,1224.6,42.0,23.8
金,A,2,493,272.0,1306.0,49.7,31.8
金,A,3,496,316.0,1334.9,49.4,30.4
金,A,4,485,436.0,1397.5,52.6,34.4
金,A,5,479,488.0,1360.2,55.1,35.7
金,A,6,488,356.0,1386.2,51.2,32.2
金,A,7,477,431.0,1370.0,54.1,34.4
金,A,8,470,454.0,1350.5,54.9,36.4
金,A,9,491,300.0,1253.5,50.7,31.4
金,A,10,476,414.0,1343.4,52.9,34.5
金,A,11,464,404.0,1408.0,50.0,36.4
金,A,12,446,308.0,1305.8,51.8,30.0
金,A,13,405,380.0,1365.7,51.4,36.0
金,A,14,319,283.0,1330.4,49.8,31.3
金,A,15,239,188.0,1308.0,44.4,29.7
金,A,16,159,167.0,1321.3,47.8,26.4
金,A,17,32,391.0,1113.7,53.1,34.4
金,A,18,34,500.0,1129.5,64.7,38.2
金,A,19,37,114.0,1160.5,48.6,24.3
金,A,20,29,276.0,1212.6,44.8,31.0
金,A,21,33,155.0,1251.0,45.5,27.3
金,A,22,43,112.0,1029.4,41.9,27.9
金,N,1,1648,109.0,3233.9,42.8,35.6
金,N,2,1534,302.0,3178.3,43.7,37.3
金,N,3,1477,306.0,3254.1,42.5,36.7
金,N,4,1425,414.0,3277.3,45.8,39.2
金,N,5,1473,316.0,3152.3,45.4,37.5
金,N,6,1440,265.0,3154.5,43.9,36.9
金,N,7,1474,342.0,3282.3,44.6,37.7
金,N,8,1419,288.0,3391.4,42.2,35.9
金,N,9,1424,320.0,3289.6,44.6,38.1
金,N,10,1224,144.0,3069.4,42.6,35.9
金,N,11,1133,304.0,3403.1,42.4,36.5
金,N,12,1182,271.0,3385.5,41.5,36.0
金,N,13,865,37.0,3221.8,39.8,32.6
金,N,14,796,197.0,3458.8,42.0,36.4
金,N,15,659,63.0,3654.3,39.8,34.0
金,N,16,465,-48.0,3018.7,40.2,34.0
金,N,17,312,-84.0,3030.4,39.7,32.1
金,N,18,81,254.0,1956.5,44.4,38.3
金,N,19,40,898.0,3608.9,55.0,37.5
金,N,20,41,824.0,2677.0,56.1,46.3
金,N,21,41,980.0,2710.3,58.5,48.8
金,N,22,42,364.0,2169.7,42.9,38.1
土,A,1,653,50.0,1408.3,44.9,23.6
土,A,2,642,295.0,1521.1,48.9,31.0
土,A,3,635,269.0,1545.4,48.8,28.3
