machine_name,seg,n_rows,plus_rate,avg_diff,is_candidate
新ハナビ,N,292,54.8,298.0,True
ネオアイムジャグラーEX,A,721,54.5,419.0,True
七つの魔剣が支配する,N,151,54.3,782.0,True
ガールズ&パンツァー 最終章,N,72,54.2,689.0,True
ディスクアップ ULTRAREMIX,N,402,54.2,406.0,True
防空少女ラブキューレ2～極限の共鳴～,N,13,53.8,1169.0,True
虚構推理,N,45,53.3,424.0,True
ウルトラミラクルジャグラー,A,175,53.1,329.0,True
ゴーゴージャグラー3,A,756,52.8,401.0,True
ソードアート・オンライン,N,184,52.2,842.0,True
翔べ！ハーレムエース,N,25,52.0,836.0,True
アレックス ブライト,N,139,51.8,274.0,True
マジカルハロウィン8,N,39,51.3,205.0,True
バンドリ！,N,61,50.8,1459.0,True
スマスロ ハナビ,N,59,50.8,236.0,True
キングハナハナ-30,A,648,50.5,350.0,True
スマスロ北斗の拳,N,948,50.2,634.0,True
ルパン三世 大航海者の秘宝,N,4,50.0,3100.0,True
真・一騎当千,N,22,50.0,1309.0,True
ゾンビランドサガ,N,86,50.0,509.0,True
A‐SLOT+ 異世界かるてっと,N,28,50.0,4.0,True
SHAKE BONUS TRIGGER,N,91,49.5,201.0,True
マイジャグラーV,A,2357,49.3,296.0,True
ヱヴァンゲリヲン ～約束の扉～,N,167,49.1,246.0,True
いざ！番長,N,289,48.8,1059.0,True
モンキーターンV,N,1314,48.6,615.0,True
痛いのは嫌なので防御力に極振りしたいと思います。,N,233,48.5,787.0,True
わたしの幸せな結婚,N,64,48.4,1417.0,True
バイオハザード5,N,106,48.1,1286.0,True
スーパーブラックジャック,N,336,47.6,538.0,True
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,N,85,47.1,281.0,True
ドッチ,N,17,47.1,224.0,True
回胴黙示録カイジ 狂宴,N,15,46.7,1080.0,True
咲‐Saki‐ 頂上決戦,N,39,46.2,69.0,True
モンスターハンターライズ,N,550,46.0,561.0,True
新鬼武者3,N,311,45.7,577.0,True
ディスクアップ2,N,105,45.7,134.0,True
バイオハザード RE:2,N,22,45.5,459.0,True
バーニングエクスプレス,N,11,45.5,-73.0,True
スマート沖スロ ニューキングハナハナV,A,62,45.2,82.0,True
とある科学の超電磁砲2,N,82,45.1,230.0,True
押忍!番長ZERO,N,25,72.0,1612.0,False
クランキークレスト,N,38,68.4,861.0,False
バーサスリヴァイズ,N,100,67.0,678.0,False
麻雀格闘倶楽部 覚醒,N,6,66.7,933.0,False
戦国†恋姫,N,15,66.7,587.0,False
ハイビリターン‐30,N,21,61.9,790.0,False
スマスロ サンダーV,N,52,61.5,348.0,False
ファンキージャグラー2,A,791,60.7,786.0,False
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,N,147,60.5,672.0,False
ラブ嬢3～Wご指名はいかがですか?～,N,15,60.0,1647.0,False
甲鉄城のカバネリ,N,188,59.0,821.0,False
ハッピージャグラーVIII,A,333,58.3,639.0,False
ネオプラネット,N,28,57.1,875.0,False
ハイパーラッシュ,N,35,57.1,637.0,False
ミスタージャグラー,A,233,57.1,503.0,False
押忍！番長4,N,37,56.8,908.0,False
ジャグラーガールズ,A,293,55.6,551.0,False
アイムジャグラーEX-TP,A,489,55.4,545.0,False
この素晴らしい世界に祝福を！,N,96,55.2,584.0,False
グランベルム,N,58,44.8,538.0,False
からくりサーカス,N,466,44.8,514.0,False
攻殻機動隊,N,58,44.8,114.0,False
マギアレコード 魔法少女まどか☆マギカ外伝,N,1111,44.7,519.0,False
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,N,197,44.7,274.0,False
スマスロ炎炎ノ消防隊,N,92,44.6,597.0,False
東京喰種,N,1587,44.0,144.0,False
戦国乙女4 戦乱に閃く炯眼の軍師,N,428,43.9,438.0,False
ToLOVEるダークネス TRANCE ver.8.7,N,284,43.3,104.0,False
シャーマンキング,N,111,43.2,130.0,False
不二子BT,N,44,43.2,-50.0,False
鉄拳6,N,150,42.7,635.0,False
デビル メイ クライ5 スタイリッシュトライブ,N,122,42.6,256.0,False
東京リベンジャーズ,N,569,42.5,332.0,False
かぐや様は告らせたい,N,690,41.6,558.0,False
スマスロ炎炎ノ消防隊2,N,237,41.4,186.0,False
化物語,N,173,41.0,1.0,False
うみねこのなく頃に2,N,105,41.0,-25.0,False
北斗の拳 転生の章2,N,475,40.8,371.0,False
ゴッドイーター リザレクション,N,450,40.7,236.0,False
甲鉄城のカバネリ 海門(うなと)決戦,N,517,40.6,-155.0,False
革命機ヴァルヴレイヴ,N,211,40.3,692.0,False
革命機ヴァルヴレイヴ2,N,715,39.4,17.0,False
ヨルムンガンド,N,28,39.3,186.0,False
範馬刃牙,N,39,38.5,-164.0,False
麻雀物語,N,47,38.3,309.0,False
マジカルハロウィン ボーナストリガー,N,21,38.1,-395.0,False
主役は銭形5,N,103,37.9,460.0,False
無職転生 ～異世界行ったら本気だす～,N,103,37.9,391.0,False
バイオハザード RE:3,N,37,37.8,-165.0,False
プリズムナナ,N,57,36.8,475.0,False
アズールレーン THE ANIMATION,N,211,35.5,-126.0,False
ダーリン・イン・ザ・フランキス,N,110,35.5,-515.0,False
吉宗,N,167,35.3,47.0,False
スマスロ秘宝伝,N,51,35.3,-27.0,False
銀河英雄伝説 Die Neue These,N,17,35.3,-65.0,False
沖ドキ!DUO アンコール,N,196,33.7,-502.0,False
沖ドキ!ゴージャス 30Φ,N,208,33.2,-738.0,False
真打 吉宗,N,132,32.6,-625.0,False
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,N,74,32.4,126.0,False
スマスロ ドルアーガの塔,N,10,30.0,-460.0,False
スーパーリオエース2,N,44,29.5,-857.0,False
ソードアート・オンラインII,N,24,29.2,-446.0,False
BIRDIE WING ‐Golf Girls' Story‐,N,7,28.6,-900.0,False
ミリオンゴッド‐神々の軌跡‐,N,184,27.2,-1091.0,False
マタドールIII,N,15,26.7,-320.0,False
機動戦士ガンダムユニコーン 覚醒DRIVE,N,38,26.3,-903.0,False
ビッグドリーム THE GOLDEN PUSHER,N,31,25.8,-1713.0,False
戦国乙女5 業火を穿つ宿焔の双刃,N,43,25.6,-1328.0,False
ゴブリンスレイヤーII,N,16,25.0,-1325.0,False
タクトオーパス デスティニー,N,21,23.8,-810.0,False
転生したら剣でした,N,50,22.0,-898.0,False
アクダマドライブ,N,11,18.2,-773.0,False
荒野のコトブキ飛行隊,N,7,14.3,-529.0,False
絶対衝激IV,N,16,12.5,-2175.0,False
とある魔術の禁書目録,N,4,0.0,-675.0,False
バベル,N,1,0.0,-900.0,False
