section,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
3156-3167,5,32,500.0,1368.1,53.1,37.5
3156-3167,6,37,668.0,1585.9,56.8,43.2
3156-3167,7,31,571.0,1409.8,51.6,35.5
3156-3167,8,36,319.0,883.8,58.3,41.7
3156-3167,9,38,245.0,1315.3,47.4,21.1
3156-3167,10,33,594.0,1223.7,69.7,33.3
3156-3167,11,40,550.0,1137.2,52.5,42.5
3156-3167,12,34,215.0,1526.0,47.1,26.5
3168-3180,1,40,-282.0,1058.8,32.5,12.5
3168-3180,2,39,469.0,1310.9,61.5,38.5
3168-3180,3,33,130.0,1407.9,39.4,24.2
3168-3180,4,36,742.0,1311.4,61.1,47.2
3168-3180,5,29,914.0,1415.9,65.5,55.2
3168-3180,6,37,376.0,1279.0,59.5,35.1
3168-3180,7,29,383.0,1329.6,62.1,37.9
3168-3180,8,31,752.0,1413.7,64.5,45.2
3168-3180,9,38,234.0,1190.3,50.0,34.2
3168-3180,10,34,185.0,1133.5,44.1,29.4
3168-3180,11,34,359.0,976.4,52.9,38.2
3168-3180,12,32,112.0,977.7,37.5,15.6
3168-3180,13,43,305.0,1322.0,48.8,27.9
3181-3190,1,39,-100.0,1316.9,41.0,23.1
3181-3190,2,36,289.0,1454.4,52.8,36.1
3181-3190,3,33,297.0,1170.9,60.6,30.3
3181-3190,4,36,850.0,1340.3,61.1,50.0
3181-3190,5,32,738.0,1243.0,71.9,46.9
3181-3190,6,37,492.0,1435.9,48.6,32.4
3181-3190,7,29,572.0,1513.0,65.5,31.0
3181-3190,8,41,329.0,1363.1,46.3,31.7
3181-3190,9,35,491.0,1400.1,60.0,37.1
3181-3190,10,41,80.0,1078.2,48.8,26.8
3191-3208,1,45,349.0,1712.3,44.4,35.6
3191-3208,2,45,369.0,1725.7,46.7,33.3
3191-3208,3,40,10.0,1331.2,42.5,22.5
3191-3208,4,36,431.0,1127.0,58.3,38.9
3191-3208,5,37,497.0,1367.6,64.9,45.9
3191-3208,6,37,297.0,1172.7,43.2,32.4
3191-3208,7,44,543.0,1252.4,61.4,38.6
3191-3208,8,40,185.0,1079.8,50.0,27.5
3191-3208,9,43,270.0,1222.1,46.5,37.2
3191-3208,10,42,140.0,1273.4,50.0,28.6
3191-3208,11,37,622.0,1198.9,64.9,43.2
3191-3208,12,46,289.0,1274.9,52.2,37.0
3191-3208,13,44,-16.0,1236.5,45.5,29.5
3191-3208,14,39,433.0,1181.3,56.4,48.7
3191-3208,15,42,507.0,1470.3,57.1,38.1
3191-3208,16,35,463.0,1381.4,51.4,37.1
3191-3208,17,35,211.0,1723.3,45.7,37.1
3191-3208,18,39,344.0,1646.5,46.2,33.3
3209-3217,1,45,-304.0,3794.6,40.0,37.8
3209-3217,2,42,-1126.0,3353.3,28.6,19.0
3209-3217,3,43,1109.0,4217.0,55.8,53.5
3209-3217,4,41,402.0,5229.5,41.5,41.5
3209-3217,5,41,376.0,4397.3,41.5,36.6
3209-3217,6,42,219.0,3285.2,52.4,45.2
3209-3217,7,44,193.0,3986.2,45.5,45.5
3209-3217,8,43,291.0,3730.6,39.5,34.9
3209-3217,9,46,848.0,3646.9,56.5,52.2
3218-3233,1,46,-741.0,3709.4,37.0,30.4
3218-3233,2,42,398.0,3736.9,50.0,42.9
3218-3233,3,39,-277.0,4377.9,35.9,33.3
3218-3233,4,41,1661.0,4194.4,58.5,53.7
3218-3233,5,44,-373.0,3836.3,34.1,29.5
3218-3233,6,43,-433.0,3788.2,37.2,30.2
3218-3233,7,44,373.0,3191.9,52.3,47.7
3218-3233,8,45,353.0,4319.1,44.4,40.0
3218-3233,9,47,262.0,3385.7,46.8,46.8
3218-3233,10,43,340.0,3742.0,44.2,44.2
3218-3233,11,45,-589.0,2978.0,35.6,31.1
3218-3233,12,44,-382.0,3069.6,34.1,31.8
3218-3233,13,44,139.0,3736.3,43.2,40.9
3218-3233,14,40,885.0,4359.1,45.0,42.5
3218-3233,15,44,-298.0,3677.8,38.6,36.4
3218-3233,16,49,-1392.0,2787.4,24.5,18.4
3234-3249,1,47,-723.0,3894.9,36.2,29.8
3234-3249,2,46,328.0,4003.4,45.7,41.3
3234-3249,3,39,1133.0,4160.5,56.4,53.8
3234-3249,4,45,-869.0,2939.2,33.3,28.9
3234-3249,5,43,240.0,3925.0,39.5,37.2
3234-3249,6,42,876.0,3471.3,64.3,52.4
3234-3249,7,42,776.0,4310.2,47.6,45.2
3234-3249,8,39,-136.0,3994.4,48.7,46.2
3234-3249,9,45,-613.0,3961.2,33.3,31.1
3234-3249,10,41,402.0,4559.4,43.9,41.5
3234-3249,11,42,-1390.0,2918.7,28.6,26.2
3234-3249,12,47,-583.0,2968.7,36.2,31.9
3234-3249,13,41,-754.0,3526.6,39.0,39.0
3234-3249,14,44,-259.0,3362.8,43.2,38.6
3234-3249,15,42,-524.0,4381.5,38.1,35.7
3234-3249,16,48,-835.0,3224.4,31.2,27.1
3250-3264,1,43,-42.0,3817.0,39.5,30.2
3250-3264,2,43,23.0,4398.3,37.2,34.9
3250-3264,3,42,395.0,3781.5,45.2,42.9
3250-3264,4,39,808.0,3871.7,46.2,41.0
3250-3264,5,38,1024.0,5037.7,52.6,47.4
3250-3264,6,41,380.0,4060.2,46.3,41.5
3250-3264,7,41,295.0,3453.0,41.5,39.0
3250-3264,8,41,-351.0,3735.6,34.1,24.4
3250-3264,9,43,195.0,3650.4,37.2,32.6
3250-3264,10,41,605.0,4235.5,46.3,41.5
3250-3264,11,40,-32.0,3368.7,32.5,32.5
3250-3264,12,41,-210.0,3904.9,34.1,29.3
3250-3264,13,39,685.0,3597.7,46.2,43.6
3250-3264,14,43,537.0,4703.8,44.2,41.9
3250-3264,15,42,50.0,4457.4,38.1,38.1
3265-3280,1,47,-294.0,1023.3,34.0,14.9
3265-3280,2,46,124.0,1172.1,47.8,26.1
3265-3280,3,46,207.0,1531.2,43.5,28.3
3265-3280,4,42,262.0,1209.5,42.9,23.8
3265-3280,5,43,449.0,1601.4,48.8,34.9
3265-3280,6,39,744.0,1294.5,66.7,43.6
3265-3280,7,42,188.0,1192.1,47.6,19.0
3265-3280,8,42,119.0,1611.4,35.7,19.0
3265-3280,9,46,267.0,1337.5,58.7,26.1
3265-3280,10,43,507.0,1615.2,46.5,37.2
3265-3280,11,44,673.0,1444.7,52.3,34.1
3265-3280,12,45,224.0,1005.9,55.6,20.0
3265-3280,13,43,358.0,1372.6,51.2,32.6
3265-3280,14,44,402.0,1560.8,56.8,29.5
3265-3280,15,46,30.0,1315.5,41.3,26.1
3265-3280,16,46,-193.0,1332.4,41.3,21.7
3281-3294,1,49,-239.0,1071.6,34.7,16.3
3281-3294,2,45,122.0,1174.7,51.1,15.6
3281-3294,3,42,-69.0,787.6,40.5,16.7
3281-3294,4,41,305.0,1641.0,43.9,24.4
3281-3294,5,44,682.0,1535.2,59.1,31.8
3281-3294,6,40,122.0,1529.3,45.0,22.5
3281-3294,7,40,205.0,1611.8,50.0,27.5
3281-3294,8,41,432.0,1194.7,56.1,29.3
3281-3294,9,41,2.0,1041.8,36.6,24.4
3281-3294,10,40,618.0,1552.0,55.0,30.0
3281-3294,11,44,123.0,1263.8,38.6,29.5
3281-3294,12,40,-80.0,922.1,47.5,22.5
3281-3294,13,44,209.0,1384.6,47.7,29.5
3281-3294,14,48,-67.0,1216.1,41.7,22.9
3295-3309,1,41,244.0,1454.3,46.3,36.6
3295-3309,2,33,336.0,1427.6,48.5,18.2
3295-3309,3,36,864.0,1403.1,63.9,44.4
3295-3309,4,28,446.0,1267.7,57.1,32.1
3295-3309,5,34,309.0,1174.1,50.0,35.3
3295-3309,6,31,652.0,1770.1,54.8,38.7
3295-3309,7,35,1206.0,1501.0,74.3,57.1
3295-3309,8,32,503.0,1488.1,50.0,37.5
3295-3309,9,29,-17.0,1166.2,27.6,24.1
3295-3309,10,39,326.0,1216.3,46.2,30.8
3295-3309,11,38,524.0,1527.7,57.9,39.5
3295-3309,12,39,474.0,1652.5,41.0,30.8
3295-3309,13,39,649.0,1642.0,56.4,41.0
3295-3309,14,36,353.0,1310.7,47.2,33.3
3295-3309,15,41,-46.0,1232.1,41.5,24.4
3310-3324,1,42,-162.0,1089.4,28.6,21.4
3310-3324,2,37,168.0,1344.8,45.9,29.7
3310-3324,3,38,392.0,1304.7,44.7,31.6
3310-3324,4,35,134.0,1393.9,37.1,25.7
3310-3324,5,34,168.0,1142.2,44.1,23.5
3310-3324,6,32,331.0,1317.5,53.1,31.2
3310-3324,7,39,523.0,1157.7,53.8,41.0
3310-3324,8,32,659.0,1608.2,59.4,40.6
3310-3324,9,36,186.0,1232.5,44.4,27.8
3310-3324,10,32,575.0,1379.1,53.1,40.6
3310-3324,11,34,562.0,1555.8,52.9,47.1
3310-3324,12,32,438.0,1525.0,53.1,34.4
3310-3324,13,38,468.0,1274.7,57.9,44.7
3310-3324,14,38,445.0,1256.1,50.0,36.8
3310-3324,15,40,50.0,1157.8,40.0,20.0
3325-3340,1,42,169.0,1284.3,52.4,33.3
3325-3340,2,29,303.0,1022.8,65.5,41.4
3325-3340,3,34,500.0,1346.2,55.9,41.2
3325-3340,4,30,493.0,1091.3,56.7,36.7
3325-3340,5,32,578.0,1380.7,65.6,37.5
3325-3340,6,29,341.0,1001.3,51.7,34.5
3325-3340,7,39,674.0,1466.6,64.1,48.7
3325-3340,8,29,462.0,959.3,65.5,51.7
3325-3340,9,34,438.0,1108.9,67.6,35.3
3325-3340,10,33,891.0,1559.7,66.7,51.5
3325-3340,11,35,391.0,1057.3,54.3,40.0
3325-3340,12,32,469.0,1084.6,62.5,37.5
3325-3340,13,37,497.0,1150.2,56.8,48.6
3325-3340,14,34,494.0,1419.3,52.9,44.1
3325-3340,15,39,377.0,1257.3,43.6,33.3
3325-3340,16,41,439.0,1300.9,61.0,31.7
3341-3362,1,42,43.0,1138.3,47.6,26.2
3341-3362,2,29,403.0,1288.5,48.3,41.4
3341-3362,3,35,371.0,1188.3,54.3,31.4
3341-3362,4,42,407.0,1275.7,59.5,35.7
3341-3362,5,32,216.0,1025.2,50.0,28.1
3341-3362,6,39,213.0,1263.9,46.2,38.5
3341-3362,7,36,39.0,1005.8,41.7,25.0
3341-3362,8,35,369.0,1463.6,54.3,42.9
3341-3362,9,33,433.0,1187.3,63.6,45.5
3341-3362,10,28,339.0,1368.0,57.1,35.7
3341-3362,11,32,594.0,1407.3,59.4,40.6
3341-3362,12,32,394.0,1197.0,59.4,37.5
3341-3362,13,29,772.0,1200.9,69.0,55.2
3341-3362,14,33,833.0,1279.3,66.7,48.5
3341-3362,15,30,560.0,1598.8,50.0,36.7
3341-3362,16,31,297.0,1427.0,45.2,25.8
3341-3362,17,32,391.0,1113.7,53.1,34.4
3341-3362,18,34,500.0,1129.5,64.7,38.2
3341-3362,19,37,114.0,1160.5,48.6,24.3
3341-3362,20,29,276.0,1212.6,44.8,31.0
3341-3362,21,33,155.0,1251.0,45.5,27.3
3341-3362,22,43,112.0,1029.4,41.9,27.9
3400-3401,1,29,690.0,2119.9,51.7,44.8
3400-3401,2,37,300.0,1145.8,59.5,37.8
