condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,57,19,1.0,1.0,757.8947368421053,0.0,0.0,1259.9999999999945,1.0,,0.0
anomaly_direction,normal,375,125,0.9893333333333333,1.0,1044.5333333333333,0.0,0.0,5960.000000000002,0.5882352941176471,0.0,0.018666666666666668
difficulty_failure,hit_day,420,140,1.0,1.0,868.3333333333334,0.0,0.0,4309.999999999991,0.8333333333333334,0.0,0.007142857142857143
difficulty_failure,miss_day,12,4,0.6666666666666666,1.0,5850.0,2650.0,10200.0,18854.999999999996,0.3333333333333333,0.0,0.3333333333333333
pred_span_quartile,Q1,108,86,0.9629629629629629,1.0,3484.259259259259,0.0,3625.0,16574.999999999985,0.5714285714285714,0.0,0.05555555555555555
pred_span_quartile,Q2,108,91,1.0,1.0,496.2962962962963,0.0,0.0,1959.9999999999966,0.8888888888888888,0.0,0.009259259259259259
pred_span_quartile,Q3,108,84,1.0,1.0,34.25925925925926,0.0,0.0,129.9999999999983,1.0,,0.0
pred_span_quartile,Q4,108,82,1.0,1.0,12.037037037037036,0.0,0.0,0.0,,,0.0
weekday,fri_sat,126,42,1.0,1.0,381.74603174603175,0.0,0.0,2000.0,1.0,,0.0
weekday,mon_thu,183,61,0.9890710382513661,1.0,824.5901639344262,0.0,0.0,5740.000000000009,0.75,0.0,0.01092896174863388
weekday,sunday,63,21,0.9841269841269841,1.0,2892.063492063492,0.0,0.0,17040.0,0.3333333333333333,0.0,0.06349206349206349
weekday,wednesday,60,20,0.9833333333333333,1.0,895.0,0.0,0.0,5979.999999999995,0.8,0.0,0.016666666666666666
