test_date,variant,window,DD,dow,is_event,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_machines_scored,n_actual_machines,split_period,a_seg_hist_coverage,a_seg_fallback_count
2025-10-06,v6a_hit_an,90,6,0,False,non_event,166.0,170.78313253012047,-4.783132530120469,42.0,99.75368978256027,1.0,2.0,4.0,1.4280000000000002,1.4280000000000002,1.1424,714,714,front,100.0,0
2025-10-06,v6b_seg_weights,90,6,0,False,non_event,324.0,158.8855421686747,165.1144578313253,40.0,99.65568730658075,1.0,2.0,6.0,1.4280000000000002,1.4280000000000002,1.7136,714,714,front,100.0,0
2025-10-06,v7_lift_weights,90,6,0,False,non_event,64.0,178.46385542168676,-114.46385542168676,34.0,95.22914626462129,0.0,0.0,2.0,0.0,0.0,0.5712,555,714,front,100.0,0
2025-10-07,v6a_hit_an,90,7,1,True,event,-62.0,195.48192771084337,-257.48192771084337,38.0,98.31366200162392,2.0,4.0,5.0,2.8560000000000003,2.8560000000000003,1.428,714,714,front,100.0,0
2025-10-07,v6b_seg_weights,90,7,1,True,event,328.0,166.1144578313253,161.8855421686747,36.0,100.85174181055568,1.0,3.0,6.0,1.4280000000000002,2.1420000000000003,1.7136,714,714,front,100.0,0
2025-10-07,v7_lift_weights,90,7,1,True,event,-432.0,223.34337349397592,-655.343373493976,32.0,95.44598576763592,1.0,2.0,3.0,1.4280000000000002,1.4280000000000002,0.8568,555,714,front,100.0,0
2025-10-08,v6a_hit_an,90,8,2,False,non_event,-40.0,148.19277108433735,-188.19277108433735,30.0,100.88063438657417,2.0,2.0,4.0,2.8560000000000003,1.4280000000000002,1.1424,714,714,front,100.0,0
2025-10-08,v6b_seg_weights,90,8,2,False,non_event,-554.0,186.8975903614458,-740.8975903614457,32.0,95.35061966279811,0.0,0.0,2.0,0.0,0.0,0.5712,714,714,front,100.0,0
2025-10-08,v7_lift_weights,90,8,2,False,non_event,-106.0,153.16265060240963,-259.1626506024096,32.0,98.05565979935604,1.0,1.0,2.0,1.4280000000000002,0.7140000000000001,0.5712,555,714,front,100.0,0
2025-10-09,v6a_hit_an,90,9,3,False,non_event,498.0,189.00602409638554,308.99397590361446,42.0,99.09154072518764,2.0,2.0,5.0,2.8560000000000003,1.4280000000000002,1.428,714,714,front,100.0,0
2025-10-09,v6b_seg_weights,90,9,3,False,non_event,-122.0,235.69277108433735,-357.6927710843373,34.0,93.92204707982935,1.0,1.0,2.0,1.4280000000000002,0.7140000000000001,0.5712,714,714,front,100.0,0
2025-10-09,v7_lift_weights,90,9,3,False,non_event,82.0,220.33132530120483,-138.33132530120483,32.0,94.72223210529269,1.0,1.0,1.0,1.4280000000000002,0.7140000000000001,0.2856,555,714,front,100.0,0
