component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2569,0.1881,0.4042,-0.0372,0.0286,0.508,0.2524,0.3239,0.2032
c2,0.2569,1.0,0.0403,0.091,-0.0486,0.0086,0.1322,0.0614,0.0819,0.0823
c3,0.1881,0.0403,1.0,0.0886,-0.0171,0.0141,0.0994,0.0403,0.069,0.0293
c4,0.4042,0.091,0.0886,1.0,-0.0318,0.0225,0.2094,0.0955,0.1431,0.0649
c5,-0.0372,-0.0486,-0.0171,-0.0318,1.0,-0.0192,0.0591,0.1184,0.0501,0.0937
c6,0.0286,0.0086,0.0141,0.0225,-0.0192,1.0,0.0164,0.0208,-0.0049,0.0209
hist_diff,0.508,0.1322,0.0994,0.2094,0.0591,0.0164,1.0,0.6028,0.587,0.5285
hist_payout,0.2524,0.0614,0.0403,0.0955,0.1184,0.0208,0.6028,1.0,0.4627,0.7049
hist_winrate,0.3239,0.0819,0.069,0.1431,0.0501,-0.0049,0.587,0.4627,1.0,0.5152
hist_hit_an,0.2032,0.0823,0.0293,0.0649,0.0937,0.0209,0.5285,0.7049,0.5152,1.0
