weekday,machine_type,mean_diff,rank_pct_mean,n_days,top1_rate
土,AT系,218.2079051581355,0.5062736215902602,46,0.02212166918049271
土,A型,220.2991526341702,0.4562582667228441,46,0.0
土,BT,74.39033234376372,0.5113449284837085,46,0.0032679738562091504
日,AT系,227.38924310669583,0.5192194360219625,44,0.020515518148342977
日,A型,263.5330780732374,0.46646285870756193,44,0.004705882352941176
日,BT,286.1623447777294,0.4619096361906588,44,0.005128205128205128
月,AT系,207.2432537962597,0.513591385798104,46,0.022635814889336015
月,A型,225.6442340530066,0.4543825217224648,46,0.0022522522522522522
月,BT,153.1425518925519,0.4889812465612292,46,0.0
木,AT系,221.22729700010615,0.510662233434788,46,0.020613373554550025
木,A型,242.04833874988464,0.4518582626313306,46,0.006756756756756757
木,BT,143.01486140946923,0.5002740998200912,46,0.0032679738562091504
水,AT系,227.0817641788065,0.5104803470356061,46,0.021618903971845148
水,A型,202.63611194821559,0.4662967258752237,46,0.0045045045045045045
水,BT,197.4152658343835,0.4903902670875491,46,0.0016339869281045752
火,AT系,226.32323021579367,0.5172586804193028,46,0.022658610271903322
火,A型,240.8190419255445,0.46292759093372265,46,0.0
火,BT,269.685312421854,0.47093704781842055,46,0.0016313213703099511
金,AT系,142.7150827316955,0.517977584279047,46,0.021116138763197588
金,A型,165.30944205350482,0.4573784783932394,46,0.0022522522522522522
金,BT,180.29077993538777,0.4724943471607468,46,0.004901960784313725
