entity,machine_type,n_streaks,mean_streak_days,median_streak_days,pct_streak_1day,pct_streak_ge2days
A‐SLOT+ 異世界かるてっと,BT,0,0.0,0.0,0.0,0.0
L麻雀物語,AT系,8,1.0,1.0,100.0,0.0
SHAKE BONUS TRIGGER,BT,0,0.0,0.0,0.0,0.0
ToLOVEるダークネス TRANCE ver.8.7,AT系,12,1.0833333333333333,1.0,91.66666666666666,8.333333333333332
いざ！番長,AT系,4,1.0,1.0,100.0,0.0
うみねこのなく頃に2,BT,0,0.0,0.0,0.0,0.0
かぐや様は告らせたい,AT系,7,1.0,1.0,100.0,0.0
からくりサーカス,AT系,8,1.0,1.0,100.0,0.0
この素晴らしい世界に祝福を！,AT系,1,1.0,1.0,100.0,0.0
とある科学の超電磁砲2,AT系,3,1.3333333333333333,1.0,66.66666666666666,33.33333333333333
とある魔術の禁書目録,AT系,5,1.2,1.0,80.0,20.0
わたしの幸せな結婚,AT系,1,1.0,1.0,100.0,0.0
アイムジャグラーEX-TP,A型,0,0.0,0.0,0.0,0.0
アクダマドライブ,AT系,5,1.0,1.0,100.0,0.0
アズールレーン THE ANIMATION,AT系,7,1.0,1.0,100.0,0.0
アレックス ブライト,BT,0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,A型,2,1.0,1.0,100.0,0.0
ガールズ&パンツァー 最終章,AT系,7,1.1428571428571428,1.0,85.71428571428571,14.285714285714285
キングハナハナ-30,A型,1,1.0,1.0,100.0,0.0
クランキークレスト,BT,0,0.0,0.0,0.0,0.0
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,BT,2,1.0,1.0,100.0,0.0
グランベルム,AT系,2,1.0,1.0,100.0,0.0
ゴッドイーター リザレクション,AT系,2,1.0,1.0,100.0,0.0
ゴブリンスレイヤーII,AT系,0,0.0,0.0,0.0,0.0
ゴーゴージャグラー3,A型,0,0.0,0.0,0.0,0.0
シャーマンキング,AT系,16,1.0,1.0,100.0,0.0
ジャグラーガールズ,A型,0,0.0,0.0,0.0,0.0
スマスロ サンダーV,BT,0,0.0,0.0,0.0,0.0
スマスロ ドルアーガの塔,BT,0,0.0,0.0,0.0,0.0
スマスロ ハナビ,BT,0,0.0,0.0,0.0,0.0
スマスロ北斗の拳,AT系,1,1.0,1.0,100.0,0.0
スマスロ炎炎ノ消防隊,AT系,7,1.0,1.0,100.0,0.0
スマスロ炎炎ノ消防隊2,AT系,1,1.0,1.0,100.0,0.0
スマスロ秘宝伝,AT系,1,1.0,1.0,100.0,0.0
スマート沖スロ ニューキングハナハナV,A型,0,0.0,0.0,0.0,0.0
スーパーブラックジャック,AT系,6,1.0,1.0,100.0,0.0
スーパーリオエース2,AT系,0,0.0,0.0,0.0,0.0
ソードアート・オンライン,AT系,5,1.0,1.0,100.0,0.0
ゾンビランドサガ,AT系,13,1.0,1.0,100.0,0.0
タクトオーパス デスティニー,AT系,0,0.0,0.0,0.0,0.0
ダーリン・イン・ザ・フランキス,AT系,3,1.0,1.0,100.0,0.0
ディスクアップ ULTRAREMIX,BT,0,0.0,0.0,0.0,0.0
ディスクアップ2,BT,3,1.0,1.0,100.0,0.0
デビル メイ クライ5 スタイリッシュトライブ,AT系,5,1.0,1.0,100.0,0.0
ドッチ,AT系,0,0.0,0.0,0.0,0.0
ネオアイムジャグラーEX,A型,0,0.0,0.0,0.0,0.0
ネオプラネット,AT系,1,1.0,1.0,100.0,0.0
ハイパーラッシュ,BT,0,0.0,0.0,0.0,0.0
ハイビリターン‐30,BT,0,0.0,0.0,0.0,0.0
ハッピージャグラーVIII,A型,1,1.0,1.0,100.0,0.0
バイオハザード RE:2,AT系,2,1.0,1.0,100.0,0.0
バイオハザード RE:3,AT系,0,0.0,0.0,0.0,0.0
バイオハザード5,AT系,1,1.0,1.0,100.0,0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,AT系,17,1.0588235294117647,1.0,94.11764705882352,5.88235294117647
バベル,AT系,0,0.0,0.0,0.0,0.0
