machine_type,n_streaks,mean_streak_days,median_streak_days,pct_streak_1day,pct_streak_ge2days
AT系,19,15.736842105263158,14.0,5.263157894736842,94.73684210526315
A型,9,1.0,1.0,100.0,0.0
BT,10,1.2,1.0,80.0,20.0
