machine_type,lag,acf_value,significance_threshold,is_significant
AT系,1,0.07258926905412076,0.11162911443718952,0
AT系,2,-0.025238001873515888,0.11162911443718952,0
AT系,3,-0.02546721868135924,0.11162911443718952,0
AT系,4,0.0719016186305906,0.11162911443718952,0
AT系,5,-0.025925652297046037,0.11162911443718952,0
AT系,6,-0.026154869104889445,0.11162911443718952,0
AT系,7,0.022414941147163806,0.11162911443718952,0
AT系,8,-0.026613302720576184,0.11162911443718952,0
AT系,9,-0.07564154658831616,0.11162911443718952,0
AT系,10,-0.07587076339615957,0.11162911443718952,0
AT系,11,-0.027300953144106337,0.11162911443718952,0
AT系,12,-0.027530169951949728,0.11162911443718952,0
AT系,13,-0.02775938675979311,0.11162911443718952,0
AT系,14,-0.02129964035693414,0.11162911443718952,0
AT系,15,-0.014839893954075183,0.11162911443718952,0
AT系,16,0.033729916297978044,0.11162911443718952,0
AT系,17,-0.0607528730243074,0.11162911443718952,0
AT系,18,0.08541499134753905,0.11162911443718952,0
AT系,19,-0.012412279580097529,0.11162911443718952,0
AT系,20,-0.06144052344783754,0.11162911443718952,0
AT系,21,-0.06166974025568093,0.11162911443718952,0
AT系,22,0.13329715117606217,0.11162911443718952,1
AT系,23,0.03546988024842552,0.11162911443718952,0
AT系,24,0.0840396905004788,0.11162911443718952,0
AT系,25,-0.013787580427157815,0.11162911443718952,0
AT系,26,-0.06281582429489783,0.11162911443718952,0
AT系,27,-0.06304504110274121,0.11162911443718952,0
AT系,28,0.03432379620920864,0.11162911443718952,0
AT系,29,-0.014704447658531364,0.11162911443718952,0
AT系,30,-0.01493366446637472,0.11162911443718952,0
A型,1,-0.028936017253774267,0.11162911443718952,0
A型,2,-0.02902588066139469,0.11162911443718952,0
A型,3,-0.029115744069015095,0.11162911443718952,0
A型,4,-0.0292056074766355,0.11162911443718952,0
A型,5,-0.029295470884255922,0.11162911443718952,0
A型,6,-0.02938533429187635,0.11162911443718952,0
A型,7,0.08484104161674257,0.11162911443718952,0
A型,8,-0.029565061107117176,0.11162911443718952,0
A型,9,-0.029654924514737568,0.11162911443718952,0
A型,10,-0.02974478792235801,0.11162911443718952,0
A型,11,0.08448158798626089,0.11162911443718952,0
A型,12,-0.029924514737598856,0.11162911443718952,0
A型,13,-0.030014378145219282,0.11162911443718952,0
A型,14,-0.030104241552839684,0.11162911443718952,0
A型,15,-0.02698897675533188,0.11162911443718952,0
A型,16,0.08723739915328702,0.11162911443718952,0
A型,17,-0.027168703570572723,0.11162911443718952,0
A型,18,0.08705767233804615,0.11162911443718952,0
A型,19,-0.027348430385813555,0.11162911443718952,0
A型,20,-0.027438293793433977,0.11162911443718952,0
A型,21,-0.0275281572010544,0.11162911443718952,0
A型,22,-0.027618020608674822,0.11162911443718952,0
A型,23,-0.02770788401629523,0.11162911443718952,0
A型,24,0.200834731208563,0.11162911443718952,1
A型,25,-0.027887610831536066,0.11162911443718952,0
A型,26,-0.027977474239156475,0.11162911443718952,0
A型,27,-0.028067337646776897,0.11162911443718952,0
A型,28,-0.028157201054397316,0.11162911443718952,0
A型,29,-0.02824706446201773,0.11162911443718952,0
A型,30,-0.02833692786963816,0.11162911443718952,0
BT,1,0.13418322596255636,0.11162911443718952,1
BT,2,-0.03907691377068021,0.11162911443718952,0
BT,3,0.047371684360160926,0.11162911443718952,0
BT,4,0.047250703202976134,0.11162911443718952,0
BT,5,0.04712972204579138,0.11162911443718952,0
BT,6,-0.03956083839941929,0.11162911443718952,0
BT,7,-0.03968181955660406,0.11162911443718952,0
BT,8,-0.039802800713788826,0.11162911443718952,0
BT,9,-0.03992378187097361,0.11162911443718952,0
BT,10,-0.04004476302815836,0.11162911443718952,0
BT,11,-0.040165744185343154,0.11162911443718952,0
BT,12,-0.040286725342527904,0.11162911443718952,0
BT,13,-0.040407706499712676,0.11162911443718952,0
BT,14,-0.034056195747512334,0.11162911443718952,0
BT,15,-0.030940930950004535,0.11162911443718952,0
BT,16,-0.031061912107189293,0.11162911443718952,0
BT,17,-0.02794664730968152,0.11162911443718952,0
BT,18,0.058501950821159596,0.11162911443718952,0
BT,19,0.05838096966397485,0.11162911443718952,0
BT,20,-0.028309590781235808,0.11162911443718952,0
BT,21,-0.028430571938420607,0.11162911443718952,0
BT,22,0.05801802619242052,0.11162911443718952,0
BT,23,0.05789704503523576,0.11162911443718952,0
BT,24,-0.02879351540997491,0.11162911443718952,0
BT,25,-0.028914496567159664,0.11162911443718952,0
BT,26,-0.02903547772434445,0.11162911443718952,0
BT,27,-0.02915645888152921,0.11162911443718952,0
BT,28,-0.029277440038713964,0.11162911443718952,0
BT,29,-0.029398421195898736,0.11162911443718952,0
BT,30,-0.029519402353083514,0.11162911443718952,0
