lag,cv_auc,spearman_r,spearman_p_value,direction,n_samples
1,0.510843842905284,0.009853344856435454,0.15269485324615675,near-zero,21066
2,0.5212680894424528,0.026857133913156375,0.00010107892623047646,positive,20952
3,0.5188464905146604,0.00674082720994724,0.33054522739156866,near-zero,20838
5,0.5009188642195224,0.00809931603728954,0.24495075269308889,near-zero,20610
7,0.5087296922319895,0.010262673112604263,0.14289232461150875,near-zero,20382
10,0.5254427143335079,0.013013559371329341,0.06544622534904879,near-zero,20040
14,0.5615954209089354,0.026417077841650618,0.00021742760277842742,positive,19590
21,0.5251671878227018,0.023445619784006205,0.0012920023916732574,positive,18833
28,0.4866476128310674,0.01595685473963373,0.03192095424516315,near-zero,18077
