weekday,entity,machine_type,mean_diff,rank_pct_mean,n_days,top1_rate
土,A‐SLOT+ 異世界かるてっと,BT,-261.9047619047619,0.5471719204113571,7,0.0
土,L麻雀物語,AT系,545.0,0.4388806021027739,15,0.0
土,SHAKE BONUS TRIGGER,BT,-387.9032258064516,0.6195731964948535,31,0.0
土,ToLOVEるダークネス TRANCE ver.8.7,AT系,214.6014492753623,0.49196862155554294,46,0.0
土,いざ！番長,AT系,-64.18219461697723,0.5738466503598472,46,0.021739130434782608
土,うみねこのなく頃に2,BT,64.95535714285712,0.49939507212356266,16,0.0
土,かぐや様は告らせたい,AT系,138.21128909229594,0.5108206854251304,46,0.021739130434782608
土,からくりサーカス,AT系,-48.87434529488502,0.5448656111489786,46,0.021739130434782608
土,この素晴らしい世界に祝福を！,AT系,369.38405797101444,0.4386072284171453,46,0.0
土,とある科学の超電磁砲2,AT系,-180.0,0.5927428048972769,27,0.0
土,とある魔術の禁書目録,AT系,1716.6666666666667,0.34216520945317636,12,0.25
土,わたしの幸せな結婚,AT系,340.8333333333333,0.5209612563200667,9,0.0
土,アイムジャグラーEX-TP,A型,280.7322943848211,0.4192691136104584,26,0.0
土,アクダマドライブ,AT系,657.1428571428571,0.41798010283925774,7,0.0
土,アズールレーン THE ANIMATION,AT系,65.29761904761905,0.5452645243747325,42,0.023809523809523808
土,アレックス ブライト,BT,104.34782608695652,0.5236955088851349,46,0.0
土,ウルトラミラクルジャグラー,A型,-42.608695652173914,0.5651470022506525,46,0.0
土,ガールズ&パンツァー 最終章,AT系,357.9710144927536,0.4814021048596238,46,0.043478260869565216
土,キングハナハナ-30,A型,416.7119565217391,0.3874685750300845,46,0.0
土,クランキークレスト,BT,-95.45454545454545,0.6118741342768925,22,0.0
土,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,BT,7.857142857142857,0.5139172831378787,35,0.0
土,グランベルム,AT系,217.14285714285714,0.4890132030646375,35,0.0
土,ゴッドイーター リザレクション,AT系,553.5933503836317,0.42536510108018794,46,0.021739130434782608
土,ゴブリンスレイヤーII,AT系,-67.09956709956708,0.5269543258673693,11,0.0
土,ゴーゴージャグラー3,A型,136.95652173913044,0.4792695045851122,46,0.0
土,シャーマンキング,AT系,402.35507246376807,0.495070555108316,46,0.08695652173913043
土,ジャグラーガールズ,A型,340.33816425120773,0.4331045884813551,46,0.0
土,スマスロ サンダーV,BT,68.75,0.5384410934204259,12,0.0
土,スマスロ ドルアーガの塔,BT,-100.0,0.4833029751062538,6,0.0
土,スマスロ ハナビ,BT,122.5,0.49770095512689666,16,0.0
土,スマスロ北斗の拳,AT系,409.60680986702516,0.39879931283425035,46,0.0
土,スマスロ炎炎ノ消防隊,AT系,124.78632478632477,0.5224321851700544,39,0.0
