feature,baseline_n,recent_n,psi,ks_stat,ks_p_value
rank_pct,19017,2163,0.0029811215885662467,0.011543215913756122,0.9554522738377869
lag1_rank_pct,18907,2159,0.003006164399870871,0.01171194280637389,0.9502329320492028
lag7_rank_pct,18256,2126,0.0015659137727207333,0.012555930786399019,0.9211661139145558
roll7_rank_pct,18907,2159,0.01637709518579208,0.038339584362286405,0.006531909104122757
prior_top1_rate,19017,2163,0.019349765172525474,0.15957391798578352,1.1498548346005084e-43
weekday_prior_top1_rate,19017,2163,0.008855405119293844,0.10448786715907954,6.484172315881691e-19
